
[Name]
Streamline 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
2.43098680e-02, 3.24800164e-02, -3.74848247e-02, 1.84637532e-01, -2.29657851e-02, 1.49252433e-02, 1.82594702e-01
2.43098680e-02, 3.24800164e-02, -3.74848247e-02, 1.84637532e-01, -2.29657851e-02, 1.49252433e-02, 1.82594702e-01
6.50844499e-02, 1.66418832e-02, 3.67999251e-04, 8.03847462e-02, -4.94998097e-02, 6.04147576e-02, 1.90140251e-02
6.50844499e-02, 1.66418832e-02, 3.67999251e-04, 8.03847462e-02, -4.94998097e-02, 6.04147576e-02, 1.90140251e-02
5.39137647e-02, -2.35901549e-02, 4.16627387e-03, 1.69049084e-01, 1.14352427e-01, 3.87119539e-02, -1.18332148e-01
5.39137647e-02, -2.35901549e-02, 4.16627387e-03, 1.69049084e-01, 1.14352427e-01, 3.87119539e-02, -1.18332148e-01
1.24997245e-02, 2.78303772e-03, -3.71182375e-02, 4.50324029e-01, -2.85938382e-02, 4.41116333e-01, -8.59680176e-02
1.24997245e-02, 2.78303772e-03, -3.71182375e-02, 4.50324029e-01, -2.85938382e-02, 4.41116333e-01, -8.59680176e-02
1.25738150e-02, 2.80963304e-03, -3.75512242e-02, 3.76520723e-01, -2.84142159e-02, 3.67639661e-01, -7.61678219e-02
1.25738150e-02, 2.80963304e-03, -3.75512242e-02, 3.76520723e-01, -2.84142159e-02, 3.67639661e-01, -7.61678219e-02
6.35553226e-02, 1.43782692e-02, -3.82259116e-02, 7.80884326e-02, 7.39911944e-02, -3.51914484e-03, 2.47128010e-02
6.35553226e-02, 1.43782692e-02, -3.82259116e-02, 7.80884326e-02, 7.39911944e-02, -3.51914484e-03, 2.47128010e-02
1.75885931e-02, 2.37644427e-02, -3.61804813e-02, 2.45946065e-01, -1.03520326e-01, 1.84501737e-01, 1.25427738e-01
1.75885931e-02, 2.37644427e-02, -3.61804813e-02, 2.45946065e-01, -1.03520326e-01, 1.84501737e-01, 1.25427738e-01
1.79022364e-02, 2.36619357e-02, -3.59902009e-02, 2.23545894e-01, -9.54667628e-02, 1.66988239e-01, 1.13902539e-01
1.79022364e-02, 2.36619357e-02, -3.59902009e-02, 2.23545894e-01, -9.54667628e-02, 1.66988239e-01, 1.13902539e-01
2.50691622e-02, 5.93737047e-03, 2.38640122e-02, 8.24307129e-02, -1.60476174e-02, 8.07674900e-02, -3.72937438e-03
2.50691622e-02, 5.93737047e-03, 2.38640122e-02, 8.24307129e-02, -1.60476174e-02, 8.07674900e-02, -3.72937438e-03
7.98224285e-02, 1.56907160e-02, -1.46759246e-02, 4.56463136e-02, 2.41923910e-02, 3.84120792e-02, 4.77768015e-03
7.98224285e-02, 1.56907160e-02, -1.46759246e-02, 4.56463136e-02, 2.41923910e-02, 3.84120792e-02, 4.77768015e-03
4.58806492e-02, 2.47632433e-02, -4.46944647e-02, 9.58591253e-02, 5.46403304e-02, 7.74751306e-02, 1.41778067e-02
4.58806492e-02, 2.47632433e-02, -4.46944647e-02, 9.58591253e-02, 5.46403304e-02, 7.74751306e-02, 1.41778067e-02
6.68653771e-02, 5.59786558e-02, -2.21621618e-03, 1.31985685e-02, 8.69492476e-04, 6.39190385e-03, 1.15147624e-02
6.68653771e-02, 5.59786558e-02, -2.21621618e-03, 1.31985685e-02, 8.69492476e-04, 6.39190385e-03, 1.15147624e-02
1.09345084e-02, -2.85467505e-03, -2.54285056e-02, 4.41006482e-01, 1.58817023e-01, 4.10815418e-01, 2.22384818e-02
1.09345084e-02, -2.85467505e-03, -2.54285056e-02, 4.41006482e-01, 1.58817023e-01, 4.10815418e-01, 2.22384818e-02
5.18910848e-02, -1.99580961e-03, 9.53105651e-03, 2.09673971e-01, 6.58405051e-02, 1.95241064e-01, -3.88474837e-02
5.18910848e-02, -1.99580961e-03, 9.53105651e-03, 2.09673971e-01, 6.58405051e-02, 1.95241064e-01, -3.88474837e-02
6.42654151e-02, -1.22584123e-02, -1.95154678e-02, 1.92739442e-01, 1.07604876e-01, 1.54020011e-01, -4.29827645e-02
6.42654151e-02, -1.22584123e-02, -1.95154678e-02, 1.92739442e-01, 1.07604876e-01, 1.54020011e-01, -4.29827645e-02
2.11050455e-02, -2.59219054e-02, -2.73525398e-02, 2.38518387e-01, 1.86547130e-01, 9.31961611e-02, -1.15782820e-01
2.11050455e-02, -2.59219054e-02, -2.73525398e-02, 2.38518387e-01, 1.86547130e-01, 9.31961611e-02, -1.15782820e-01
3.56637724e-02, -3.23865120e-03, -4.11834978e-02, 1.36698544e-01, 1.12905532e-01, 7.37737045e-02, -2.22771522e-02
3.56637724e-02, -3.23865120e-03, -4.11834978e-02, 1.36698544e-01, 1.12905532e-01, 7.37737045e-02, -2.22771522e-02
2.43262928e-02, 3.24699469e-02, -3.76177505e-02, 1.88212812e-01, -2.26227194e-02, 1.30274193e-02, 1.86393559e-01
