
[Name]
lca_wall

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
5.46580516e-02, -2.46953517e-02, -1.38094742e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.01421118e+00, 1.58774662e+00, 1.23939764e+00, 1.06157747e-03
5.45934811e-02, -2.47722417e-02, -1.37971006e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.01502967e+00, 1.50239468e+00, 1.33359718e+00, 1.57077685e-01
5.47069274e-02, -2.47765649e-02, -1.37639176e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.03297472e+00, 1.59011602e+00, 1.26216829e+00, 1.06995218e-01
5.85971996e-02, -2.09517721e-02, -1.47653604e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.40279603e+00, 1.35604465e+00, 1.66108239e+00, -1.08414805e+00
5.84960133e-02, -2.10079309e-02, -1.47810150e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.81429243e+00, 1.51700389e+00, 1.97800112e+00, -1.30631280e+00
5.85226342e-02, -2.10786741e-02, -1.46758342e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.62513947e+00, 1.51013947e+00, 1.75468671e+00, -1.23770392e+00
6.29705712e-02, -1.37862274e-02, -1.85026564e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.28540373e+00, 1.77975070e+00, 2.62068129e+00, -8.70858133e-01
6.28589764e-02, -1.37153929e-02, -1.85541622e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.17443347e+00, 1.78833365e+00, 2.50091481e+00, -7.90136397e-01
6.28436208e-02, -1.38308005e-02, -1.84980668e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.96323180e+00, 1.61682022e+00, 2.39224839e+00, -6.66169941e-01
6.19779117e-02, -1.52267562e-02, -1.79527849e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.33341360e+00, 1.72494626e+00, 2.52942133e+00, -1.31842113e+00
6.18264377e-02, -1.52632063e-02, -1.79575607e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.26709294e+00, 1.60177171e+00, 2.58913279e+00, -1.18516421e+00
6.18921667e-02, -1.53685706e-02, -1.78877488e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.26479530e+00, 1.61077046e+00, 2.57528067e+00, -1.19676101e+00
6.18834645e-02, -1.51507724e-02, -1.80117711e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.25899386e+00, 1.55576682e+00, 2.54641700e+00, -1.31011105e+00
5.50981201e-02, -2.42488571e-02, -1.38371494e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.31802392e+00, 1.73036516e+00, 1.52523112e+00, 2.29655579e-01
5.49721532e-02, -2.43696999e-02, -1.38383210e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.33204055e+00, 1.79568088e+00, 1.48280108e+00, 1.23465188e-01
5.51572777e-02, -2.43510250e-02, -1.37306452e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.22676635e+00, 1.65532386e+00, 1.48496401e+00, 1.15209892e-01
5.82948253e-02, -2.12960988e-02, -1.45411948e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.43211007e+00, 1.40799344e+00, 1.65359533e+00, -1.09468532e+00
5.82106709e-02, -2.12659780e-02, -1.46091869e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.42915821e+00, 1.41855526e+00, 1.63843274e+00, -1.09729147e+00
5.81696779e-02, -2.13750154e-02, -1.45084485e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.47290468e+00, 1.46935332e+00, 1.66183543e+00, -1.09295976e+00
6.29763678e-02, -1.36706019e-02, -1.85467023e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.24834156e+00, 1.86281860e+00, 2.52493644e+00, -8.40431929e-01
6.27532229e-02, -1.42017854e-02, -1.83648169e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.44903398e+00, 2.01228809e+00, 2.65285921e+00, -8.99372280e-01
6.27107024e-02, -1.40827456e-02, -1.84042770e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.04231286e+00, 1.88743329e+00, 2.24563813e+00, -8.06456685e-01
6.26040921e-02, -1.41672110e-02, -1.83923431e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.52414060e+00, 2.03036022e+00, 2.74093151e+00, -8.85719180e-01
6.24647886e-02, -1.45018008e-02, -1.82486009e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.21751785e+00, 1.63445795e+00, 2.61900568e+00, -9.06519651e-01
6.24975786e-02, -1.43672954e-02, -1.83032639e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.34581566e+00, 1.84768307e+00, 2.59288383e+00, -1.02834940e+00
6.23282529e-02, -1.44332508e-02, -1.83136612e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.29748845e+00, 1.81637478e+00, 2.62575626e+00, -8.24388742e-01
5.39192855e-02, -2.54224706e-02, -1.37463212e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.06775451e+00, 1.66555154e+00, 1.21839082e+00, -1.30653888e-01
5.40222861e-02, -2.53955573e-02, -1.37315262e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.10092807e+00, 1.66909897e+00, 1.27349746e+00, -7.88118392e-02
5.39466292e-02, -2.53367461e-02, -1.37975113e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.27614617e+00, 1.80285192e+00, 1.38697684e+00, -8.28342289e-02
6.29164129e-02, -1.35981208e-02, -1.86038520e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.36653805e+00, 1.94722307e+00, 2.60008526e+00, -8.84001136e-01
5.84769510e-02, -2.09395289e-02, -1.48542374e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.55654073e+00, 1.39696634e+00, 1.74192178e+00, -1.24502802e+00
6.30555600e-02, -1.35783553e-02, -1.85782574e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.50875092e+00, 2.01888227e+00, 2.70787287e+00, -9.50195670e-01
6.20403588e-02, -1.48351798e-02, -1.81663204e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.26212978e+00, 1.81594849e+00, 2.54587460e+00, -9.28625166e-01
6.19530566e-02, -1.49475029e-02, -1.81278717e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.47966480e+00, 1.87357640e+00, 2.75287485e+00, -1.00968266e+00
6.20635599e-02, -1.49304615e-02, -1.80997550e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.15366673e+00, 1.76813114e+00, 2.47933006e+00, -8.19907904e-01
6.29899055e-02, -1.34681603e-02, -1.86579116e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.55152631e+00, 2.05320001e+00, 2.74915957e+00, -9.16422367e-01
5.85945696e-02, -2.07677912e-02, -1.49914529e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.41030550e+00, 1.29474890e+00, 1.70588851e+00, -1.10595787e+00
5.86309098e-02, -2.08088737e-02, -1.49072614e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.46345997e+00, 1.24704432e+00, 1.82698345e+00, -1.08427274e+00
5.86791448e-02, -2.07271706e-02, -1.49679761e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.40041971e+00, 1.24019849e+00, 1.69610250e+00, -1.16067207e+00
