
[Name]
rca_wall

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
-2.32105795e-02, 1.89845450e-02, 2.65182904e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.59094572e+00, -3.00667554e-01, -1.06095088e+00, 1.14677393e+00
-2.32741982e-02, 1.91525724e-02, 2.57395743e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.55206335e+00, -3.05373937e-01, -1.03208435e+00, 1.11823487e+00
-2.33671870e-02, 1.90716591e-02, 2.71205255e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.54130197e+00, -2.78376162e-01, -1.03289616e+00, 1.10961425e+00
-2.33514924e-02, 1.93115361e-02, 2.48413533e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.48521876e+00, -2.92739123e-01, -9.87878084e-01, 1.06970811e+00
-2.31824908e-02, 1.92367118e-02, 2.42493860e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.53985929e+00, -3.04159790e-01, -1.02435708e+00, 1.10875881e+00
-2.34533288e-02, 1.92193352e-02, 2.61686649e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.49628305e+00, -2.78962165e-01, -9.93808866e-01, 1.08322990e+00
-2.41081174e-02, 1.87772475e-02, 2.95528374e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.62443817e+00, -2.21113592e-01, -1.08106482e+00, 1.19214392e+00
-2.39503011e-02, 1.88476536e-02, 2.95784278e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.74068189e+00, -2.59305894e-01, -1.15097988e+00, 1.27983570e+00
-2.40850225e-02, 1.89069342e-02, 2.80973548e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.62433887e+00, -2.52564222e-01, -1.07558334e+00, 1.19071770e+00
-2.42221169e-02, 1.87776722e-02, 2.86081270e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.49888551e+00, -2.15116978e-01, -9.87151980e-01, 1.10720980e+00
