
[Name]
Streamline 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
-8.99493881e-03, 9.25832707e-03, 4.84018624e-02, 1.31997094e-01, 7.27673322e-02, 1.04910314e-01, 3.34958583e-02
-8.99493881e-03, 9.25832707e-03, 4.84018624e-02, 1.31997094e-01, 7.27673322e-02, 1.04910314e-01, 3.34958583e-02
-8.52131657e-03, 8.37060343e-03, 4.91848402e-02, 1.29773840e-01, 5.38619794e-02, 1.13585353e-01, 3.22258510e-02
-8.52131657e-03, 8.37060343e-03, 4.91848402e-02, 1.29773840e-01, 5.38619794e-02, 1.13585353e-01, 3.22258510e-02
-9.37179849e-03, 8.97624809e-03, 4.98906486e-02, 1.66567743e-01, 8.73122066e-02, 1.34290665e-01, 4.56881709e-02
-9.37179849e-03, 8.97624809e-03, 4.98906486e-02, 1.66567743e-01, 8.73122066e-02, 1.34290665e-01, 4.56881709e-02
-9.55744646e-03, 9.54003353e-03, 4.91226427e-02, 1.47498786e-01, 6.91328198e-02, 1.26648679e-01, 3.06048822e-02
-9.55744646e-03, 9.54003353e-03, 4.91226427e-02, 1.47498786e-01, 6.91328198e-02, 1.26648679e-01, 3.06048822e-02
-9.18817427e-03, 9.33573395e-03, 4.86908443e-02, 2.17860684e-01, 1.06576279e-01, 1.84002504e-01, 4.74115163e-02
-9.18817427e-03, 9.33573395e-03, 4.86908443e-02, 2.17860684e-01, 1.06576279e-01, 1.84002504e-01, 4.74115163e-02
-8.73165391e-03, 8.88114888e-03, 4.85886335e-02, 1.73662722e-01, 8.30386579e-02, 1.43838629e-01, 5.07323220e-02
-8.73165391e-03, 8.88114888e-03, 4.85886335e-02, 1.73662722e-01, 8.30386579e-02, 1.43838629e-01, 5.07323220e-02
-8.70276801e-03, 8.66213720e-03, 4.89886329e-02, 2.22625628e-01, 9.02739540e-02, 1.94366500e-01, 6.02863729e-02
-8.70276801e-03, 8.66213720e-03, 4.89886329e-02, 2.22625628e-01, 9.02739540e-02, 1.94366500e-01, 6.02863729e-02
-8.80184956e-03, 8.43735505e-03, 4.97018509e-02, 1.43832475e-01, 7.06062540e-02, 1.22652262e-01, 2.56702434e-02
-8.80184956e-03, 8.43735505e-03, 4.97018509e-02, 1.43832475e-01, 7.06062540e-02, 1.22652262e-01, 2.56702434e-02
-9.09935404e-03, 8.71919002e-03, 4.97992411e-02, 2.02267945e-01, 1.04912512e-01, 1.66880220e-01, 4.53506224e-02
-9.09935404e-03, 8.71919002e-03, 4.97992411e-02, 2.02267945e-01, 1.04912512e-01, 1.66880220e-01, 4.53506224e-02
-9.29258298e-03, 9.11086239e-03, 4.94167805e-02, 2.88590312e-01, 1.25342131e-01, 2.49626532e-01, 7.25280046e-02
-9.29258298e-03, 9.11086239e-03, 4.94167805e-02, 2.88590312e-01, 1.25342131e-01, 2.49626532e-01, 7.25280046e-02
4.34969179e-02, 9.91769880e-03, 6.20424449e-02, 4.68107313e-02, 3.91854160e-02, 2.24453323e-02, 1.23269968e-02
4.34969179e-02, 9.91769880e-03, 6.20424449e-02, 4.68107313e-02, 3.91854160e-02, 2.24453323e-02, 1.23269968e-02
4.29238677e-02, 1.02166682e-02, 6.27511144e-02, 5.00758700e-02, 3.99023257e-02, 2.68656425e-02, 1.39152538e-02
4.29238677e-02, 1.02166682e-02, 6.27511144e-02, 5.00758700e-02, 3.99023257e-02, 2.68656425e-02, 1.39152538e-02
4.25014906e-02, 1.06633436e-02, 6.27899468e-02, 5.64218350e-02, 4.54893820e-02, 2.93106902e-02, 1.59694385e-02
4.25014906e-02, 1.06633436e-02, 6.27899468e-02, 5.64218350e-02, 4.54893820e-02, 2.93106902e-02, 1.59694385e-02
4.31852266e-02, 1.05520049e-02, 6.14201315e-02, 5.63937239e-02, 4.69345376e-02, 2.76564360e-02, 1.45781580e-02
4.31852266e-02, 1.05520049e-02, 6.14201315e-02, 5.63937239e-02, 4.69345376e-02, 2.76564360e-02, 1.45781580e-02
4.35247794e-02, 1.00944340e-02, 6.15993291e-02, 5.63535690e-02, 4.76167426e-02, 2.75134258e-02, 1.23037463e-02
4.35247794e-02, 1.00944340e-02, 6.15993291e-02, 5.63535690e-02, 4.76167426e-02, 2.75134258e-02, 1.23037463e-02
4.32202220e-02, 1.02230115e-02, 6.20407425e-02, 1.17336087e-01, 9.90150943e-02, 5.63716926e-02, 2.80356966e-02
4.32202220e-02, 1.02230115e-02, 6.20407425e-02, 1.17336087e-01, 9.90150943e-02, 5.63716926e-02, 2.80356966e-02
4.28436324e-02, 1.04641318e-02, 6.24110699e-02, 1.22362070e-01, 1.01548605e-01, 6.07759431e-02, 3.10908686e-02
4.28436324e-02, 1.04641318e-02, 6.24110699e-02, 1.22362070e-01, 1.01548605e-01, 6.07759431e-02, 3.10908686e-02
4.23957258e-02, 1.10138580e-02, 6.22897632e-02, 5.91786280e-02, 4.84574474e-02, 3.05394419e-02, 1.48771061e-02
4.23957258e-02, 1.10138580e-02, 6.22897632e-02, 5.91786280e-02, 4.84574474e-02, 3.05394419e-02, 1.48771061e-02
4.26364504e-02, 1.09917652e-02, 6.17709346e-02, 5.30156530e-02, 4.18983661e-02, 2.83827614e-02, 1.57989021e-02
4.26364504e-02, 1.09917652e-02, 6.17709346e-02, 5.30156530e-02, 4.18983661e-02, 2.83827614e-02, 1.57989021e-02
4.27693091e-02, 1.06717395e-02, 6.21422827e-02, 1.30162895e-01, 1.08204573e-01, 6.46354705e-02, 3.25023942e-02
4.27693091e-02, 1.06717395e-02, 6.21422827e-02, 1.30162895e-01, 1.08204573e-01, 6.46354705e-02, 3.25023942e-02
4.93890829e-02, -2.23173685e-02, -1.06179202e-02, 5.84732480e-02, 1.39570227e-02, 1.67683046e-02, -5.42507730e-02
4.93890829e-02, -2.23173685e-02, -1.06179202e-02, 5.84732480e-02, 1.39570227e-02, 1.67683046e-02, -5.42507730e-02
