
[Name]
Streamline 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
6.24350607e-02, 5.12022115e-02, 6.86811730e-02, 2.43669488e-02, 2.12484244e-02, 3.26938648e-03, 1.14701260e-02
6.24350607e-02, 5.12022115e-02, 6.86811730e-02, 2.43669488e-02, 2.12484244e-02, 3.26938648e-03, 1.14701260e-02
6.26651496e-02, 5.15723452e-02, 6.83384612e-02, 1.89956166e-02, 1.61511935e-02, 3.27834627e-03, 9.44588892e-03
6.26651496e-02, 5.15723452e-02, 6.83384612e-02, 1.89956166e-02, 1.61511935e-02, 3.27834627e-03, 9.44588892e-03
9.79276523e-02, 3.06925122e-02, 7.44453818e-02, 1.34252599e-02, 3.94539349e-03, -1.14945685e-02, -5.70494216e-03
9.79276523e-02, 3.06925122e-02, 7.44453818e-02, 1.34252599e-02, 3.94539349e-03, -1.14945685e-02, -5.70494216e-03
9.68964025e-02, 3.03447656e-02, 7.40360692e-02, 1.23889381e-02, 4.27020434e-03, -1.04196323e-02, -5.16550196e-03
9.68964025e-02, 3.03447656e-02, 7.40360692e-02, 1.23889381e-02, 4.27020434e-03, -1.04196323e-02, -5.16550196e-03
9.72046256e-02, 3.02420855e-02, 7.46441260e-02, 1.42496778e-02, 5.29334089e-03, -1.19212028e-02, -5.73748956e-03
9.72046256e-02, 3.02420855e-02, 7.46441260e-02, 1.42496778e-02, 5.29334089e-03, -1.19212028e-02, -5.73748956e-03
9.76361260e-02, 3.06095779e-02, 7.42935464e-02, 1.87640749e-02, 6.04679342e-03, -1.62235387e-02, -7.23350793e-03
9.76361260e-02, 3.06095779e-02, 7.42935464e-02, 1.87640749e-02, 6.04679342e-03, -1.62235387e-02, -7.23350793e-03
5.49151264e-02, 5.50511293e-02, 6.15603998e-02, 2.62806937e-02, 2.42051184e-02, 8.02224316e-03, 6.35851733e-03
5.49151264e-02, 5.50511293e-02, 6.15603998e-02, 2.62806937e-02, 2.42051184e-02, 8.02224316e-03, 6.35851733e-03
5.51497489e-02, 5.48446290e-02, 6.08849190e-02, 2.68455353e-02, 2.47592703e-02, 7.79360859e-03, 6.84988638e-03
5.51497489e-02, 5.48446290e-02, 6.08849190e-02, 2.68455353e-02, 2.47592703e-02, 7.79360859e-03, 6.84988638e-03
5.54376915e-02, 5.40862456e-02, 6.12615496e-02, 2.22274568e-02, 2.06213128e-02, 6.58170972e-03, 5.04998630e-03
5.54376915e-02, 5.40862456e-02, 6.12615496e-02, 2.22274568e-02, 2.06213128e-02, 6.58170972e-03, 5.04998630e-03
5.51724322e-02, 5.44152185e-02, 6.17972091e-02, 2.41940469e-02, 2.21098624e-02, 7.72288907e-03, 6.07147906e-03
5.51724322e-02, 5.44152185e-02, 6.17972091e-02, 2.41940469e-02, 2.21098624e-02, 7.72288907e-03, 6.07147906e-03
