
[Name]
g2_wall

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
-4.46614437e-02, 3.05192601e-02, 6.58177678e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.28323013e-01, -5.51235024e-03, 1.39355540e-01, -1.80778995e-01
-4.45262343e-02, 3.08060218e-02, 6.30180398e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.29518846e-01, -5.80772059e-03, 1.43369213e-01, -1.79138049e-01
-4.43414710e-02, 3.07039302e-02, 6.55425806e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.22067550e-01, 4.09270078e-03, 1.36331916e-01, -1.75245136e-01
-4.48623076e-02, 3.06472648e-02, 6.31375564e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.32621178e-01, -1.32540306e-02, 1.44611537e-01, -1.81726307e-01
-4.47670743e-02, 3.08405217e-02, 6.12902921e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.32606083e-01, -1.31643079e-02, 1.47060245e-01, -1.79737508e-01
-4.66489457e-02, 2.82107145e-02, 8.58303253e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.63283080e-01, -1.77176297e-02, 8.70089382e-02, -1.37028813e-01
-4.67890538e-02, 2.83315070e-02, 8.32946040e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.52452230e-01, -1.65495239e-02, 8.29684287e-02, -1.26822859e-01
-4.64683808e-02, 2.84021348e-02, 8.40570033e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.71537191e-01, -1.86133701e-02, 9.13455039e-02, -1.43994957e-01
-4.69624959e-02, 2.81386245e-02, 8.51099379e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.43483177e-01, -1.45996111e-02, 7.86920786e-02, -1.19087487e-01
-4.63471897e-02, 2.82799210e-02, 8.65751132e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.79515585e-01, -1.87507365e-02, 9.38974991e-02, -1.51847020e-01
-4.65319902e-02, 2.80836578e-02, 8.83831177e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.71891198e-01, -1.84742585e-02, 8.97377431e-02, -1.45438731e-01
