
[Name]
Streamline 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
7.10260719e-02, -8.92856531e-03, 3.42305913e-03, 1.11006111e-01, 1.80550516e-02, 7.16637000e-02, -8.28292519e-02
7.10260719e-02, -8.92856531e-03, 3.42305913e-03, 1.11006111e-01, 1.80550516e-02, 7.16637000e-02, -8.28292519e-02
7.06067234e-02, -8.42677336e-03, 3.39216692e-03, 2.64764041e-01, 1.84033573e-01, 1.53469652e-01, -1.12599745e-01
7.06067234e-02, -8.42677336e-03, 3.39216692e-03, 2.64764041e-01, 1.84033573e-01, 1.53469652e-01, -1.12599745e-01
7.07616210e-02, -8.61177407e-03, 3.40328668e-03, 3.17772329e-01, 2.85197496e-01, 1.16425991e-01, -7.80169070e-02
7.07616210e-02, -8.61177407e-03, 3.40328668e-03, 3.17772329e-01, 2.85197496e-01, 1.16425991e-01, -7.80169070e-02
7.10205138e-02, -9.12125595e-03, 3.58776026e-03, 2.24716023e-01, 1.34770632e-01, 5.27808480e-02, -1.71896338e-01
7.10205138e-02, -9.12125595e-03, 3.58776026e-03, 2.24716023e-01, 1.34770632e-01, 5.27808480e-02, -1.71896338e-01
7.09369481e-02, -9.38170310e-03, 3.88014317e-03, 2.73505539e-01, 1.86991438e-01, 4.84548360e-02, -1.93627506e-01
7.09369481e-02, -9.38170310e-03, 3.88014317e-03, 2.73505539e-01, 1.86991438e-01, 4.84548360e-02, -1.93627506e-01
7.04953521e-02, -9.26961564e-03, 4.19243751e-03, 2.91263640e-01, 2.58349925e-01, -1.32398382e-01, -2.36748904e-02
7.04953521e-02, -9.26961564e-03, 4.19243751e-03, 2.91263640e-01, 2.58349925e-01, -1.32398382e-01, -2.36748904e-02
7.00314119e-02, -8.46699998e-03, 3.95329343e-03, 1.12542605e+00, 8.60672653e-01, 3.78307015e-01, 6.18635893e-01
7.00314119e-02, -8.46699998e-03, 3.95329343e-03, 1.12542605e+00, 8.60672653e-01, 3.78307015e-01, 6.18635893e-01
7.03041479e-02, -8.34396575e-03, 3.60117108e-03, 9.92169917e-01, 6.22404099e-01, 7.42509961e-01, 2.13759750e-01
7.03041479e-02, -8.34396575e-03, 3.60117108e-03, 9.92169917e-01, 6.22404099e-01, 7.42509961e-01, 2.13759750e-01
