
[Name]
g1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
-1.79991871e-02, 1.44943120e-02, -2.42124945e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.20020652e+00, 1.82062209e+00, -1.47767151e-02, -1.23532391e+00
-1.81195047e-02, 1.44280251e-02, -2.44226642e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.21003127e+00, 1.85232878e+00, 3.02167572e-02, -1.20507407e+00
-1.82698388e-02, 1.44323371e-02, -2.43116710e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.25277853e+00, 1.85920417e+00, -2.85025127e-02, -1.27183270e+00
3.90024334e-02, 1.29080378e-02, -5.12790270e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.63979733e-01, 7.60949850e-01, -1.51265748e-02, 6.62681460e-02
3.92217450e-02, 1.29344389e-02, -5.12850732e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.31201112e-01, 7.28498578e-01, -1.53008970e-02, 6.09165505e-02
3.91755961e-02, 1.28004225e-02, -5.11610471e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.14701736e-01, 8.11742246e-01, -1.24560380e-02, 6.82516620e-02
3.49188000e-02, 1.31168412e-02, -5.13730533e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.30897164e-01, 6.26015425e-01, -9.99967009e-03, -7.76910856e-02
3.47797349e-02, 1.32490341e-02, -5.13903946e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.19415402e-01, 6.14424288e-01, -1.00972895e-02, -7.78221115e-02
3.49662043e-02, 1.33144921e-02, -5.14244288e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.98356843e-01, 5.93896210e-01, -7.55184609e-03, -7.25338086e-02
1.29480371e-02, 1.37805240e-02, -4.16719839e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.34195709e+00, 1.20839453e+00, -7.64007494e-02, -5.78614116e-01
1.30640939e-02, 1.39221903e-02, -4.14956510e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.31258667e+00, 1.18171096e+00, -6.98138028e-02, -5.67070544e-01
1.27977217e-02, 1.38373962e-02, -4.15015928e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.37294924e+00, 1.23416281e+00, -6.30304143e-02, -5.98213017e-01
