
[Name]
Streamline 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
7.86338653e-03, 4.89966609e-02, -3.79720107e-02, 4.36466724e-01, 4.09344971e-01, 1.13023162e-01, -1.00824960e-01
7.86338653e-03, 4.89966609e-02, -3.79720107e-02, 4.36466724e-01, 4.09344971e-01, 1.13023162e-01, -1.00824960e-01
8.07582308e-03, 4.86838333e-02, -3.74291539e-02, 7.22227991e-01, 6.16105914e-01, 2.08096385e-01, -3.14201653e-01
8.07582308e-03, 4.86838333e-02, -3.74291539e-02, 7.22227991e-01, 6.16105914e-01, 2.08096385e-01, -3.14201653e-01
7.91549962e-03, 4.89251688e-02, -3.78460698e-02, 8.00623000e-01, 7.47874200e-01, 1.91892251e-01, -2.11798832e-01
7.91549962e-03, 4.89251688e-02, -3.78460698e-02, 8.00623000e-01, 7.47874200e-01, 1.91892251e-01, -2.11798832e-01
7.88508914e-03, 4.92508113e-02, -3.74696851e-02, 7.54491210e-01, 6.80659831e-01, 1.91716477e-01, -2.63066500e-01
7.88508914e-03, 4.92508113e-02, -3.74696851e-02, 7.54491210e-01, 6.80659831e-01, 1.91716477e-01, -2.63066500e-01
8.03817343e-03, 4.86073717e-02, -3.77328321e-02, 8.01700056e-01, 7.18650103e-01, 2.26474300e-01, -2.73814559e-01
8.03817343e-03, 4.86073717e-02, -3.77328321e-02, 8.01700056e-01, 7.18650103e-01, 2.26474300e-01, -2.73814559e-01
8.01856443e-03, 4.88109477e-02, -3.75009924e-02, 8.49895835e-01, 7.50228226e-01, 2.30895951e-01, -3.25833738e-01
8.01856443e-03, 4.88109477e-02, -3.75009924e-02, 8.49895835e-01, 7.50228226e-01, 2.30895951e-01, -3.25833738e-01
7.93830305e-03, 4.89058234e-02, -3.77582051e-02, 8.48053813e-01, 7.86415219e-01, 2.04157501e-01, -2.43035048e-01
7.93830305e-03, 4.89058234e-02, -3.77582051e-02, 8.48053813e-01, 7.86415219e-01, 2.04157501e-01, -2.43035048e-01
-9.20465402e-03, 4.29244600e-02, 3.72084901e-02, 1.34033054e-01, 9.28673148e-02, -8.13536998e-03, 9.63033587e-02
-9.20465402e-03, 4.29244600e-02, 3.72084901e-02, 1.34033054e-01, 9.28673148e-02, -8.13536998e-03, 9.63033587e-02
-9.55149997e-03, 4.30596136e-02, 3.75849716e-02, 1.28350526e-01, 1.00370921e-01, -1.09668532e-02, 7.92417973e-02
-9.55149997e-03, 4.30596136e-02, 3.75849716e-02, 1.28350526e-01, 1.00370921e-01, -1.09668532e-02, 7.92417973e-02
-9.40136705e-03, 4.37841825e-02, 3.74773629e-02, 1.65867940e-01, 1.26796067e-01, 1.38942692e-02, 1.06027730e-01
-9.40136705e-03, 4.37841825e-02, 3.74773629e-02, 1.65867940e-01, 1.26796067e-01, 1.38942692e-02, 1.06027730e-01
-8.99000373e-03, 4.37744297e-02, 3.69975939e-02, 1.35087639e-01, 1.05759628e-01, 1.41165238e-02, 8.28510448e-02
-8.99000373e-03, 4.37744297e-02, 3.69975939e-02, 1.35087639e-01, 1.05759628e-01, 1.41165238e-02, 8.28510448e-02
-9.07017384e-03, 4.32182178e-02, 3.71085890e-02, 2.56816685e-01, 1.90706879e-01, -2.64502643e-03, 1.71984583e-01
-9.07017384e-03, 4.32182178e-02, 3.71085890e-02, 2.56816685e-01, 1.90706879e-01, -2.64502643e-03, 1.71984583e-01
-9.32076201e-03, 4.28964384e-02, 3.73371542e-02, 2.32150182e-01, 1.59694925e-01, -2.76873298e-02, 1.66206643e-01
-9.32076201e-03, 4.28964384e-02, 3.73371542e-02, 2.32150182e-01, 1.59694925e-01, -2.76873298e-02, 1.66206643e-01
-9.48962104e-03, 4.31942269e-02, 3.75577584e-02, 2.31942132e-01, 1.72871411e-01, -1.32693835e-02, 1.54066712e-01
-9.48962104e-03, 4.31942269e-02, 3.75577584e-02, 2.31942132e-01, 1.72871411e-01, -1.32693835e-02, 1.54066712e-01
-9.30855703e-03, 4.39555682e-02, 3.73582244e-02, 1.48383722e-01, 1.11159727e-01, 1.62311699e-02, 9.69422162e-02
-9.30855703e-03, 4.39555682e-02, 3.73582244e-02, 1.48383722e-01, 1.11159727e-01, 1.62311699e-02, 9.69422162e-02
-9.40973498e-03, 4.34856787e-02, 3.74997035e-02, 2.78040588e-01, 2.07425788e-01, -1.10941706e-03, 1.85148254e-01
-9.40973498e-03, 4.34856787e-02, 3.74997035e-02, 2.78040588e-01, 2.07425788e-01, -1.10941706e-03, 1.85148254e-01
-9.09590162e-03, 4.37236801e-02, 3.71317267e-02, 2.39646688e-01, 1.84517607e-01, 1.53375939e-02, 1.52146474e-01
-9.09590162e-03, 4.37236801e-02, 3.71317267e-02, 2.39646688e-01, 1.84517607e-01, 1.53375939e-02, 1.52146474e-01
-9.14160628e-03, 4.34194133e-02, 3.72032337e-02, 3.38417798e-01, 2.53434479e-01, -2.88898055e-03, 2.24252582e-01
-9.14160628e-03, 4.34194133e-02, 3.72032337e-02, 3.38417798e-01, 2.53434479e-01, -2.88898055e-03, 2.24252582e-01
-9.26381256e-03, 4.32348773e-02, 3.73371728e-02, 3.67485642e-01, 2.65565842e-01, -2.31293198e-02, 2.52953589e-01
-9.26381256e-03, 4.32348773e-02, 3.73371728e-02, 3.67485642e-01, 2.65565842e-01, -2.31293198e-02, 2.52953589e-01
5.69086671e-02, 5.49031757e-02, 6.19160645e-02, 3.35695237e-01, 2.96418786e-01, -1.22025780e-01, 9.96840894e-02
5.69086671e-02, 5.49031757e-02, 6.19160645e-02, 3.35695237e-01, 2.96418786e-01, -1.22025780e-01, 9.96840894e-02
5.72213084e-02, 5.54154590e-02, 6.20974824e-02, 5.43778658e-01, 4.40306246e-01, -3.09510916e-01, 7.76444301e-02
5.72213084e-02, 5.54154590e-02, 6.20974824e-02, 5.43778658e-01, 4.40306246e-01, -3.09510916e-01, 7.76444301e-02
5.71413413e-02, 5.52242100e-02, 6.16847090e-02, 5.27491093e-01, 4.47805285e-01, -2.63059527e-01, 9.22874287e-02
