
[Name]
lca geom_geom_geom_patch_body

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
2.68247386e-04, 3.85875963e-02, -4.12739068e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.51172101e+00, 1.51041591e+00, -8.10390245e-03, -6.22765906e-02
3.47562600e-04, 3.87028977e-02, -4.14116606e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.70292509e+00, 1.70104730e+00, -7.96192661e-02, 7.25707645e-03
4.16537107e-04, 3.86202112e-02, -4.13220637e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.65493286e+00, 1.65416563e+00, -4.69980687e-02, -1.81664806e-02
-3.13040204e-02, 1.68099105e-02, -1.33637488e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.42348731e-01, 1.63527116e-01, 6.44334733e-01, 3.30413848e-01
-3.13538425e-02, 1.68597903e-02, -1.32168140e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.36342549e-01, 1.66438788e-01, 6.39708400e-01, 3.24455947e-01
-3.12518179e-02, 1.69534739e-02, -1.33157410e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.45421886e-01, 1.73608273e-01, 6.46715462e-01, 3.27525735e-01
-3.18070613e-02, 1.38470521e-02, -1.26460744e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.23558146e-01, 3.73752601e-02, 3.97936821e-01, 1.40181601e-01
-3.19099613e-02, 1.39346747e-02, -1.27337817e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.14727122e-01, 3.91543396e-02, 3.90345722e-01, 1.34520397e-01
-3.18975411e-02, 1.37607064e-02, -1.27630662e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.87241215e-01, 2.01715268e-02, 3.64933282e-01, 1.27955377e-01
-3.17903236e-02, 1.36806052e-02, -1.26764793e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.94638211e-01, 1.73312835e-02, 3.70904922e-01, 1.33673072e-01
-3.12856734e-02, 1.28091490e-02, -1.27559640e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.49903816e-01, -5.89830950e-02, 3.97264481e-01, 2.02769309e-01
-3.12306453e-02, 1.26719149e-02, -1.28088696e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.56333995e-01, -7.07367659e-02, 3.97195488e-01, 2.13243425e-01
-3.11424509e-02, 1.27631323e-02, -1.27055896e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.65747893e-01, -4.78627980e-02, 4.11351591e-01, 2.13119924e-01
-3.13347727e-02, 1.29548358e-02, -1.27026225e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.50292438e-01, -4.96718697e-02, 3.98889273e-01, 2.02936798e-01
-3.14204320e-02, 1.28627345e-02, -1.28133278e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.32357401e-01, -6.55067340e-02, 3.81184816e-01, 1.93235412e-01
-3.07025481e-02, 1.16773993e-02, -1.31432246e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.94580925e-01, 4.80169244e-02, 4.21881706e-01, 2.53614843e-01
-3.05959843e-02, 1.17753083e-02, -1.30499145e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.90455538e-01, 3.65904123e-02, 4.28037018e-01, 2.36626476e-01
-3.07489429e-02, 1.18208630e-02, -1.30864140e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.12525141e-01, 1.70770809e-02, 4.42688227e-01, 2.57716030e-01
-3.07980683e-02, 1.19554242e-02, -1.30314026e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.14123499e-01, -1.49091333e-02, 4.47425425e-01, 2.52806604e-01
-3.08915880e-02, 1.18709775e-02, -1.31309964e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.32693386e-01, -6.95344154e-03, 4.56238091e-01, 2.74883032e-01
-3.06468643e-02, 1.19130071e-02, -1.29947439e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.98882264e-01, 2.87046633e-03, 4.40057576e-01, 2.34999150e-01
-3.14993598e-02, 1.23798363e-02, -1.33156301e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.25263667e-01, -1.35904714e-01, 4.26967442e-01, 2.74099708e-01
