
[Name]
Streamline 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
4.61674407e-02, -2.51152012e-02, -1.68328022e-03, 3.95020008e-01, -6.97985590e-02, 3.60795081e-01, -1.44899547e-01
4.61674407e-02, -2.51152012e-02, -1.68328022e-03, 3.95020008e-01, -6.97985590e-02, 3.60795081e-01, -1.44899547e-01
4.63194512e-02, -2.50881705e-02, -1.78206444e-03, 5.46472192e-01, -7.33357370e-02, 5.18967628e-01, -1.54681295e-01
4.63194512e-02, -2.50881705e-02, -1.78206444e-03, 5.46472192e-01, -7.33357370e-02, 5.18967628e-01, -1.54681295e-01
4.60283980e-02, -2.51431558e-02, -1.73154636e-03, 3.71306092e-01, -4.27333862e-02, 3.39261740e-01, -1.44718826e-01
4.60283980e-02, -2.51431558e-02, -1.73154636e-03, 3.71306092e-01, -4.27333862e-02, 3.39261740e-01, -1.44718826e-01
4.64119613e-02, -2.51308866e-02, -2.10361928e-03, 5.36307573e-01, -1.18683614e-01, 5.22911668e-01, -1.01687750e-02
4.64119613e-02, -2.51308866e-02, -2.10361928e-03, 5.36307573e-01, -1.18683614e-01, 5.22911668e-01, -1.01687750e-02
4.63743955e-02, -2.50854492e-02, -1.87249214e-03, 5.92847884e-01, -8.89731571e-02, 5.71952105e-01, -1.28153011e-01
4.63743955e-02, -2.50854492e-02, -1.87249214e-03, 5.92847884e-01, -8.89731571e-02, 5.71952105e-01, -1.28153011e-01
4.58987840e-02, -2.51849275e-02, -1.76677364e-03, 4.34401244e-01, -9.95916650e-02, 3.88764024e-01, -1.66278318e-01
4.58987840e-02, -2.51849275e-02, -1.76677364e-03, 4.34401244e-01, -9.95916650e-02, 3.88764024e-01, -1.66278318e-01
4.62000184e-02, -2.51103416e-02, -1.90351508e-03, 6.14938855e-01, -6.99261874e-02, 5.92243850e-01, -1.50024429e-01
4.62000184e-02, -2.51103416e-02, -1.90351508e-03, 6.14938855e-01, -6.99261874e-02, 5.92243850e-01, -1.50024429e-01
4.59645800e-02, -2.51681581e-02, -1.92320778e-03, 5.79683125e-01, -1.09423317e-01, 5.35924077e-01, -1.91949010e-01
4.59645800e-02, -2.51681581e-02, -1.92320778e-03, 5.79683125e-01, -1.09423317e-01, 5.35924077e-01, -1.91949010e-01
4.62693721e-02, -2.51455605e-02, -2.09748209e-03, 5.74904084e-01, -9.67691839e-02, 5.64599752e-01, -4.87602279e-02
4.62693721e-02, -2.51455605e-02, -2.09748209e-03, 5.74904084e-01, -9.67691839e-02, 5.64599752e-01, -4.87602279e-02
