
[Name]
rca

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
-1.73895899e-02, -1.69634037e-02, 1.45619167e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.55650473e+00, -3.44033390e-02, -1.55196571e+00, 1.13693178e-01
-1.75488517e-02, -1.68634038e-02, 1.45465471e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.54484642e+00, -8.18813220e-02, -1.53824759e+00, 1.16791546e-01
-1.75430682e-02, -1.70084387e-02, 1.45572899e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.52890813e+00, -7.98113346e-02, -1.52253151e+00, 1.14402726e-01
-1.76685844e-02, -1.69132818e-02, 1.45460684e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.46362531e+00, -1.17384143e-01, -1.45354235e+00, 1.25039488e-01
-1.76945645e-02, -1.70298405e-02, 1.45549849e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.45353198e+00, -8.75260681e-02, -1.44552052e+00, 1.24759503e-01
-1.77081656e-02, -1.67699605e-02, 1.45286089e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.49629414e+00, -1.32283494e-01, -1.48466349e+00, 1.31039470e-01
-1.74008515e-02, -1.67736318e-02, 1.45478481e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.56058729e+00, -4.79326025e-02, -1.55574822e+00, 1.13060474e-01
-1.79948267e-02, -1.53961452e-02, 1.42128132e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.98345971e+00, -4.51826960e-01, -1.92364514e+00, 1.71913743e-01
-1.79046560e-02, -1.54759567e-02, 1.42925745e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.92059159e+00, -4.16404188e-01, -1.86662936e+00, 1.75995663e-01
-1.78833436e-02, -1.53327826e-02, 1.42726880e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.01779985e+00, -4.33474094e-01, -1.96181047e+00, 1.86859444e-01
-1.77864674e-02, -1.54153202e-02, 1.43380314e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.97599709e+00, -4.11043674e-01, -1.92474735e+00, 1.75940260e-01
-1.74618568e-02, -1.66129041e-02, 1.45323472e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.56056070e+00, -8.75314325e-02, -1.55333257e+00, 1.21843904e-01
-1.73150469e-02, -1.66330431e-02, 1.45397335e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.54763317e+00, -4.47328314e-02, -1.54196787e+00, 1.24510080e-01
-1.72764603e-02, -1.62904244e-02, 1.45095764e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.68746662e+00, -4.67416085e-02, -1.67891324e+00, 1.63123041e-01
-1.74028371e-02, -1.62692387e-02, 1.45047195e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.73063004e+00, -1.05248682e-01, -1.71942103e+00, 1.66115627e-01
-1.73700526e-02, -1.64523851e-02, 1.45233665e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.65516186e+00, -5.50733395e-02, -1.64804351e+00, 1.43108174e-01
