
[Name]
lca

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
-2.01092958e-02, -3.18441540e-02, 8.41256813e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.03752649e-01, -2.91426871e-02, -1.16642900e-01, -4.89195108e-01
-2.00170260e-02, -3.17436531e-02, 9.30386246e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.22450507e-01, -4.41142768e-02, -1.34531543e-01, -5.02901316e-01
-1.99963693e-02, -3.17605697e-02, 7.59650953e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.80032355e-01, -1.36633711e-02, -1.08520932e-01, -4.67405140e-01
-2.01078914e-02, -3.35312076e-02, 1.88847678e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.81043720e-01, -1.77546516e-01, -1.84753194e-01, -5.21493316e-01
-2.00121012e-02, -3.36355530e-02, 1.80313084e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.85039496e-01, -1.58767626e-01, -1.91237032e-01, -5.29615402e-01
-1.99657045e-02, -3.35847400e-02, 1.94700027e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.94980299e-01, -1.52981400e-01, -2.06477270e-01, -5.36624074e-01
-2.01564245e-02, -3.35804522e-02, 1.74689398e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.68999469e-01, -1.75786585e-01, -1.79630220e-01, -5.10482609e-01
-2.07823236e-02, -3.28433551e-02, 8.63150461e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.88897806e-01, -3.61988768e-02, -8.19517076e-02, -3.78437668e-01
-2.08067037e-02, -3.29990499e-02, 8.48160300e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.95581126e-01, -3.25415656e-02, -8.59682932e-02, -3.84753078e-01
-2.07826048e-02, -3.29124220e-02, 1.01275917e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.78187865e-01, -4.79871742e-02, -7.59616420e-02, -3.67359668e-01
-2.06367597e-02, -3.34429629e-02, 1.23887404e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.88388336e-01, -8.32090005e-02, -1.03998192e-01, -3.64837140e-01
