
[Name]
aorta

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
-2.71523520e-02, -2.52167066e-03, 1.68094914e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.06722140e-01, 3.66964340e-01, -5.99724650e-01, -7.15801045e-02
-2.70794071e-02, -2.67926045e-03, 1.67879201e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.34601188e+00, 5.55748343e-01, -1.16001368e+00, 3.96560222e-01
-2.69832499e-02, -2.59478553e-03, 1.68011859e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.30346048e+00, 5.25197923e-01, -1.13749158e+00, 3.59568179e-01
-2.72708703e-02, -2.64182081e-03, 1.67907346e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.10001528e-01, 3.99343282e-01, -5.83124459e-01, -6.77714571e-02
-2.71832161e-02, -2.77450029e-03, 1.67724490e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.51635754e+00, 7.19709933e-01, -1.22682393e+00, 5.25605321e-01
-2.69950535e-02, -2.04203068e-03, 1.68726407e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.65334958e-01, 8.63449797e-02, -3.52855682e-01, -3.88207212e-02
-2.72637736e-02, -2.11529969e-03, 1.68637130e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.64680952e-01, 8.51961672e-02, -2.48879135e-01, -2.92712152e-02
-2.70412788e-02, -2.23439001e-03, 1.68495905e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.68464047e-01, 1.71301961e-01, -4.33173686e-01, -4.97469641e-02
-2.68498547e-02, -2.14136392e-03, 1.68612562e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.33266783e-01, 1.38272107e-01, -5.12316585e-01, -5.27827032e-02
-2.68554538e-02, -2.31355918e-03, 1.68422163e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.07381749e-01, 2.98558176e-01, -7.45582759e-01, -8.26720148e-02
-2.70266794e-02, -2.42360262e-03, 1.68243609e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.74506092e-01, 3.43608379e-01, -6.89515829e-01, -7.97555074e-02
-2.77403183e-02, -1.94390595e-03, 1.68831144e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.07201937e-02, -6.44053444e-02, -4.82911021e-02, -5.97244501e-03
-2.75076516e-02, -1.85129256e-03, 1.68945044e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.23001494e-01, -3.21137644e-02, -1.18014522e-01, -1.30631467e-02
-2.77105123e-02, -1.73830776e-03, 1.69074535e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.09495573e-01, -9.34462324e-02, -5.67431487e-02, -6.10707654e-03
-2.72259414e-02, -2.34131655e-03, 1.68337729e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.02741581e-01, 1.91245109e-01, -3.51691365e-01, -4.40370999e-02
-2.73553282e-02, -2.48572370e-03, 1.68119445e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.76332790e-01, 2.06078336e-01, -3.12474519e-01, -3.89582217e-02
-2.74651535e-02, -2.63122795e-03, 1.67905036e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.58314514e-01, 2.30369210e-01, -2.72589475e-01, -3.18482295e-02
-2.84079760e-02, -6.47142343e-03, 1.57117546e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.57260430e-01, -2.40191072e-01, -3.54055583e-01, -1.61369115e-01
-2.84323022e-02, -6.30157487e-03, 1.57893300e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.16332328e-01, -3.32485139e-01, -3.63369614e-01, -1.54968470e-01
-2.86318492e-02, -6.41546352e-03, 1.57353133e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.86405635e-01, -4.52388257e-01, -3.39671463e-01, -1.54401079e-01
-2.72773653e-02, -1.56392739e-03, 1.69282891e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.58038110e-01, -6.63951337e-02, -1.42853737e-01, -1.26704099e-02
-2.73296591e-02, -1.77898374e-03, 1.69027913e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.63598061e-01, -2.15755645e-02, -1.61178023e-01, -1.79015882e-02
-2.71560010e-02, -1.73928030e-03, 1.69073436e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.09374785e-01, -1.76472664e-02, -2.07341194e-01, -2.31516920e-02
-2.75096279e-02, -1.60712004e-03, 1.69242416e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.25116140e-01, -7.57505596e-02, -9.91815031e-02, -8.88436660e-03
-2.85743270e-02, -6.63001509e-03, 1.56381615e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.81426656e-01, -3.13677222e-01, -3.32257837e-01, -1.51601315e-01
-2.88914181e-02, -5.59113454e-03, 1.60334874e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.10806358e-01, -9.00552094e-01, -1.29226655e-01, -4.32965569e-02
-2.88871266e-02, -5.82439825e-03, 1.59541480e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.62461925e-01, -8.26456726e-01, -2.33477443e-01, -7.93607756e-02
-2.87034120e-02, -5.69865154e-03, 1.59969181e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.58345568e-01, -8.32112908e-01, -1.97039664e-01, -7.43008852e-02
-2.71558650e-02, -1.91383495e-03, 1.68873351e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.45467246e-01, 3.11019588e-02, -2.41988555e-01, -2.69884765e-02
-2.68221758e-02, -1.95902656e-03, 1.68821551e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.19756263e-01, 5.78170642e-02, -4.13272649e-01, -4.53676805e-02
-2.66484171e-02, -2.25370750e-03, 1.68503299e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.06676912e+00, 2.74276584e-01, -1.02509749e+00, -1.09287985e-01
-2.68626697e-02, -2.50803982e-03, 1.68143604e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.28121293e+00, 4.41719055e-01, -1.14467251e+00, 3.68938804e-01
-2.65033524e-02, -2.32522399e-03, 1.68406107e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.33320737e+00, 2.00935602e-01, -1.28534114e+00, 2.91487485e-01
