
[Name]
Streamline 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
1.73635390e-02, -1.73139423e-02, 4.19891216e-02, 2.21078128e-01, 3.83490622e-02, 1.38375789e-01, 1.68098271e-01
1.73635390e-02, -1.73139423e-02, 4.19891216e-02, 2.21078128e-01, 3.83490622e-02, 1.38375789e-01, 1.68098271e-01
6.76167458e-02, 6.88653346e-03, 4.80655348e-03, 2.80477852e-01, 6.19226843e-02, 2.08570644e-01, 1.77007586e-01
6.76167458e-02, 6.88653346e-03, 4.80655348e-03, 2.80477852e-01, 6.19226843e-02, 2.08570644e-01, 1.77007586e-01
6.75331131e-02, 7.28321262e-03, 4.61766403e-03, 3.18760961e-01, 8.63819197e-02, 2.24023074e-01, 2.09667325e-01
6.75331131e-02, 7.28321262e-03, 4.61766403e-03, 3.18760961e-01, 8.63819197e-02, 2.24023074e-01, 2.09667325e-01
6.78754076e-02, 6.67008385e-03, 4.34095412e-03, 2.10313991e-01, 7.30667710e-02, 1.56102076e-01, 1.20521225e-01
6.78754076e-02, 6.67008385e-03, 4.34095412e-03, 2.10313991e-01, 7.30667710e-02, 1.56102076e-01, 1.20521225e-01
3.95788141e-02, 8.56356055e-05, -2.15965118e-02, 4.87396777e-01, 1.99817106e-01, 5.48409410e-02, -4.41158950e-01
3.95788141e-02, 8.56356055e-05, -2.15965118e-02, 4.87396777e-01, 1.99817106e-01, 5.48409410e-02, -4.41158950e-01
3.95807698e-02, -8.12221551e-05, -2.16709971e-02, 5.95978141e-01, 2.43608579e-01, 8.38630944e-02, -5.37412107e-01
3.95807698e-02, -8.12221551e-05, -2.16709971e-02, 5.95978141e-01, 2.43608579e-01, 8.38630944e-02, -5.37412107e-01
3.94701138e-02, -4.91488900e-04, -2.19127741e-02, 5.59515238e-01, 2.42235139e-01, 1.29341215e-01, -4.87493873e-01
3.94701138e-02, -4.91488900e-04, -2.19127741e-02, 5.59515238e-01, 2.42235139e-01, 1.29341215e-01, -4.87493873e-01
3.99285071e-02, -5.52818237e-04, -2.17077620e-02, 5.57737827e-01, 2.20662504e-01, 1.28904596e-01, -4.95745063e-01
3.99285071e-02, -5.52818237e-04, -2.17077620e-02, 5.57737827e-01, 2.20662504e-01, 1.28904596e-01, -4.95745063e-01
