
[Name]
Streamline 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
-5.85144199e-03, -3.38936895e-02, -9.78831667e-03, 6.08827710e-01, 5.93245447e-01, 1.19741008e-01, -6.62807599e-02
-5.85144199e-03, -3.38936895e-02, -9.78831667e-03, 6.08827710e-01, 5.93245447e-01, 1.19741008e-01, -6.62807599e-02
-5.91179356e-03, -3.37475836e-02, -9.78996325e-03, 8.59599650e-01, 8.40048730e-01, 1.67277545e-01, -7.24425539e-02
-5.91179356e-03, -3.37475836e-02, -9.78996325e-03, 8.59599650e-01, 8.40048730e-01, 1.67277545e-01, -7.24425539e-02
-5.80047071e-03, -3.37660387e-02, -9.58061125e-03, 7.13439167e-01, 7.02780962e-01, 7.94755518e-02, -9.36909840e-02
-5.80047071e-03, -3.37660387e-02, -9.58061125e-03, 7.13439167e-01, 7.02780962e-01, 7.94755518e-02, -9.36909840e-02
-5.86330378e-03, -3.39378864e-02, -9.84856114e-03, 2.92642832e-01, 2.83948779e-01, 6.06082566e-02, -3.66000533e-02
-5.86330378e-03, -3.39378864e-02, -9.84856114e-03, 2.92642832e-01, 2.83948779e-01, 6.06082566e-02, -3.66000533e-02
-6.06412860e-03, -3.36763263e-02, -1.00386385e-02, 7.36927450e-01, 7.23226309e-01, 1.31413251e-01, -5.23100942e-02
-6.06412860e-03, -3.36763263e-02, -1.00386385e-02, 7.36927450e-01, 7.23226309e-01, 1.31413251e-01, -5.23100942e-02
-5.95704699e-03, -3.35869491e-02, -9.74922162e-03, 7.94502735e-01, 7.85142124e-01, 9.80853438e-02, -7.18727559e-02
-5.95704699e-03, -3.35869491e-02, -9.74922162e-03, 7.94502735e-01, 7.85142124e-01, 9.80853438e-02, -7.18727559e-02
-5.88337192e-03, -3.36058736e-02, -9.61618125e-03, 7.01806962e-01, 6.93206131e-01, 7.68571571e-02, -7.80465379e-02
-5.88337192e-03, -3.36058736e-02, -9.61618125e-03, 7.01806962e-01, 6.93206131e-01, 7.68571571e-02, -7.80465379e-02
4.00596112e-02, -5.48047014e-02, 1.50594003e-02, 1.60846427e-01, 1.41254425e-01, -6.55182153e-02, -4.03252244e-02
4.00596112e-02, -5.48047014e-02, 1.50594003e-02, 1.60846427e-01, 1.41254425e-01, -6.55182153e-02, -4.03252244e-02
4.00519334e-02, -5.47699407e-02, 1.52402008e-02, 2.67629206e-01, 2.43708611e-01, -9.09003317e-02, -6.29970804e-02
4.00519334e-02, -5.47699407e-02, 1.52402008e-02, 2.67629206e-01, 2.43708611e-01, -9.09003317e-02, -6.29970804e-02
4.00046222e-02, -5.49270362e-02, 1.49339139e-02, 1.77180037e-01, 1.57400414e-01, -6.64005652e-02, -4.69983071e-02
4.00046222e-02, -5.49270362e-02, 1.49339139e-02, 1.77180037e-01, 1.57400414e-01, -6.64005652e-02, -4.69983071e-02
3.98967452e-02, -5.51441945e-02, 1.47751151e-02, 8.39949027e-02, 7.53340572e-02, -2.67324056e-02, -2.57934388e-02
3.98967452e-02, -5.51441945e-02, 1.47751151e-02, 8.39949027e-02, 7.53340572e-02, -2.67324056e-02, -2.57934388e-02
4.00326326e-02, -5.49076982e-02, 1.48334187e-02, 1.88023727e-02, 1.60936713e-02, -7.81351142e-03, -5.78550249e-03
4.00326326e-02, -5.49076982e-02, 1.48334187e-02, 1.88023727e-02, 1.60936713e-02, -7.81351142e-03, -5.78550249e-03
3.99617851e-02, -5.47958948e-02, 1.57024898e-02, 2.17052385e-01, 1.83145314e-01, -1.08365625e-01, -4.27366942e-02
3.99617851e-02, -5.47958948e-02, 1.57024898e-02, 2.17052385e-01, 1.83145314e-01, -1.08365625e-01, -4.27366942e-02
3.99717502e-02, -5.48423566e-02, 1.54626556e-02, 3.29938829e-01, 3.12101841e-01, -9.43512619e-02, -5.04966527e-02
3.99717502e-02, -5.48423566e-02, 1.54626556e-02, 3.29938829e-01, 3.12101841e-01, -9.43512619e-02, -5.04966527e-02
