
[Name]
lca

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
3.94850112e-02, -5.56102619e-02, 1.55568849e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.24023619e+01, 1.11906729e+01, 3.99522805e+00, -3.55324864e+00
3.94629873e-02, -5.56102730e-02, 1.56940408e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.22771730e+01, 1.09834166e+01, 3.51473713e+00, -4.21190643e+00
3.93592045e-02, -5.56535013e-02, 1.55819990e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.12109270e+01, 9.78560925e+00, 3.92162180e+00, -3.81413317e+00
3.93500887e-02, -5.56514300e-02, 1.57388225e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00573673e+01, 8.92906189e+00, 2.37131572e+00, -3.97483921e+00
3.94589789e-02, -5.55811860e-02, 1.58303045e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.19965839e+01, 1.03637562e+01, 1.95685351e+00, -5.71675777e+00
3.94855104e-02, -5.53145334e-02, 1.61120761e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.95480824e+00, 7.23929834e+00, -2.99987030e+00, -6.13934422e+00
3.95327620e-02, -5.54163903e-02, 1.60011537e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.25615797e+01, 9.42806816e+00, -1.70387661e+00, -8.12413788e+00
3.95899229e-02, -5.53121716e-02, 1.60438083e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.32837095e+01, 9.38149643e+00, -4.41856098e+00, -8.30185413e+00
3.94059755e-02, -5.55208027e-02, 1.59818437e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.06078587e+01, 8.59129715e+00, 1.70058027e-01, -6.21991539e+00
3.94871682e-02, -5.55096306e-02, 1.59284584e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.41280298e+01, 1.13232002e+01, 8.00291240e-01, -8.41105747e+00
3.99742909e-02, -5.47680855e-02, 1.57309603e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.61347237e+01, 1.02357025e+01, -1.14003048e+01, -5.05892706e+00
3.98773253e-02, -5.47089055e-02, 1.58193260e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.90254402e+00, 6.81634855e+00, -6.14761972e+00, -3.71544766e+00
3.99190634e-02, -5.48302419e-02, 1.58372186e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.58170910e+01, 9.61526775e+00, -1.13668680e+01, -5.34053469e+00
3.99087481e-02, -5.48603609e-02, 1.48509853e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.44328070e+00, 5.26499557e+00, -2.90510106e+00, -2.31431961e+00
4.00564186e-02, -5.48602492e-02, 1.48667712e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.17821646e+00, 6.11051607e+00, -3.09764719e+00, -2.14312124e+00
4.00177091e-02, -5.49455993e-02, 1.47813605e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.38533211e+00, 4.50123215e+00, -2.33417130e+00, -1.81448519e+00
3.95039096e-02, -5.56154326e-02, 1.54193994e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.04771566e+01, 9.92321205e+00, 2.64187312e+00, -2.07874799e+00
3.94172594e-02, -5.56358695e-02, 1.54390307e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.09716425e+01, 1.00892334e+01, 3.27687073e+00, -2.80114532e+00
3.96542437e-02, -5.52038997e-02, 1.60573386e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.31465073e+01, 8.58700371e+00, -6.33868742e+00, -7.67561483e+00
3.95450965e-02, -5.52143008e-02, 1.61270853e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00923405e+01, 7.01296091e+00, -4.52598476e+00, -5.67354965e+00
4.01069038e-02, -5.47237881e-02, 1.50743593e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.03981466e+01, 8.97938919e+00, -4.78559256e+00, -2.14245939e+00
4.00099307e-02, -5.46727106e-02, 1.50964055e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.11554337e+00, 7.72188425e+00, -4.05015516e+00, -2.65741968e+00
4.01156396e-02, -5.46789095e-02, 1.51916286e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.17213297e+01, 1.00290270e+01, -5.56841040e+00, -2.40852499e+00
3.98437902e-02, -5.52506894e-02, 1.46975722e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.58536148e+00, 2.31209397e+00, -4.18190569e-01, -1.07862484e+00
3.97841334e-02, -5.51257357e-02, 1.47456722e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.93863225e+00, 3.41507912e+00, -1.22447300e+00, -1.53320718e+00
3.99081595e-02, -5.51502258e-02, 1.46809369e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.94479847e+00, 2.52586341e+00, -9.28346694e-01, -1.19583607e+00
4.00139838e-02, -5.47276475e-02, 1.50198052e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.07075405e+00, 7.66239882e+00, -4.10215473e+00, -2.59587288e+00
4.00848314e-02, -5.47879077e-02, 1.49665456e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.16229534e+00, 7.93180704e+00, -4.03850317e+00, -2.17361283e+00
3.98418419e-02, -5.50454594e-02, 1.47515954e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.28874445e+00, 3.50383329e+00, -1.75867319e+00, -1.73883581e+00
3.99679653e-02, -5.50432988e-02, 1.47174718e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.92572427e+00, 3.25373626e+00, -1.61221957e+00, -1.49173057e+00
3.97578292e-02, -5.48796020e-02, 1.60086956e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.09661198e+01, 6.86626911e+00, -7.53884029e+00, -4.03435469e+00
3.97906676e-02, -5.49992062e-02, 1.59906261e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.50284443e+01, 9.05367947e+00, -1.02008076e+01, -6.31098795e+00
3.98572385e-02, -5.49087077e-02, 1.59221571e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.54817791e+01, 9.07640362e+00, -1.10754223e+01, -5.88552475e+00
3.98275144e-02, -5.47846630e-02, 1.59231573e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.03560619e+01, 6.59078598e+00, -7.02038956e+00, -3.81099534e+00
3.96877006e-02, -5.49752600e-02, 1.60706583e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.08441372e+01, 6.94612217e+00, -7.04729033e+00, -4.43648338e+00
