
[Name]
Streamline 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
2.44269129e-02, 3.26137058e-02, -3.74880470e-02, 1.80986896e-01, -2.11424343e-02, 1.03603108e-02, 1.79448932e-01
2.44269129e-02, 3.26137058e-02, -3.74880470e-02, 1.80986896e-01, -2.11424343e-02, 1.03603108e-02, 1.79448932e-01
2.44566724e-02, 3.19019333e-02, -3.73404473e-02, 1.74515605e-01, -1.96109656e-02, 1.30372383e-02, 1.72919452e-01
2.44566724e-02, 3.19019333e-02, -3.73404473e-02, 1.74515605e-01, -1.96109656e-02, 1.30372383e-02, 1.72919452e-01
2.39342973e-02, 3.21727283e-02, -3.74987014e-02, 1.61510944e-01, -2.12718807e-02, 1.79197527e-02, 1.59097999e-01
2.39342973e-02, 3.21727283e-02, -3.74987014e-02, 1.61510944e-01, -2.12718807e-02, 1.79197527e-02, 1.59097999e-01
6.52781129e-02, 1.66878682e-02, 4.83782729e-04, 7.92633742e-02, -4.89987694e-02, 5.92491478e-02, 1.92702189e-02
6.52781129e-02, 1.66878682e-02, 4.83782729e-04, 7.92633742e-02, -4.89987694e-02, 5.92491478e-02, 1.92702189e-02
6.49439320e-02, 1.65995713e-02, 3.58892285e-04, 8.16694126e-02, -5.14768884e-02, 6.03724718e-02, 1.93697605e-02
6.49439320e-02, 1.65995713e-02, 3.58892285e-04, 8.16694126e-02, -5.14768884e-02, 6.03724718e-02, 1.93697605e-02
5.38687222e-02, -2.34255120e-02, 4.18081833e-03, 1.89675823e-01, 1.28218308e-01, 4.88886945e-02, -1.30946100e-01
5.38687222e-02, -2.34255120e-02, 4.18081833e-03, 1.89675823e-01, 1.28218308e-01, 4.88886945e-02, -1.30946100e-01
5.37075363e-02, -2.38759369e-02, 3.87396384e-03, 9.67971012e-02, 6.69535771e-02, 2.25418918e-02, -6.61721975e-02
5.37075363e-02, -2.38759369e-02, 3.87396384e-03, 9.67971012e-02, 6.69535771e-02, 2.25418918e-02, -6.61721975e-02
1.25689078e-02, 2.76066340e-03, -3.69147472e-02, 4.66741323e-01, -2.81280074e-02, 4.58919108e-01, -8.03088918e-02
1.25689078e-02, 2.76066340e-03, -3.69147472e-02, 4.66741323e-01, -2.81280074e-02, 4.58919108e-01, -8.03088918e-02
1.21783633e-02, 2.82622222e-03, -3.72813530e-02, 3.56300980e-01, -1.69276148e-02, 3.49668086e-01, -6.63028881e-02
1.21783633e-02, 2.82622222e-03, -3.72813530e-02, 3.56300980e-01, -1.69276148e-02, 3.49668086e-01, -6.63028881e-02
1.24338605e-02, 2.83888029e-03, -3.77566777e-02, 2.24115640e-01, -2.18196400e-02, 2.19133735e-01, -4.16188464e-02
1.24338605e-02, 2.83888029e-03, -3.77566777e-02, 2.24115640e-01, -2.18196400e-02, 2.19133735e-01, -4.16188464e-02
6.35734200e-02, 1.42065920e-02, -3.82052734e-02, 6.77904114e-02, 6.42976910e-02, -3.65690468e-03, 2.11653858e-02
6.35734200e-02, 1.42065920e-02, -3.82052734e-02, 6.77904114e-02, 6.42976910e-02, -3.65690468e-03, 2.11653858e-02
