
[Name]
lca_wall

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
5.46580516e-02, -2.46953517e-02, -1.38094742e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.76496017e+00, 1.41482270e+00, 1.04987013e+00, 1.05517730e-01
5.45934811e-02, -2.47722417e-02, -1.37971006e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.72238421e+00, 1.34171259e+00, 1.07282603e+00, 1.24334268e-01
5.47069274e-02, -2.47765649e-02, -1.37639176e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.83293629e+00, 1.45402265e+00, 1.11005223e+00, 1.15141802e-01
5.85971996e-02, -2.09517721e-02, -1.47653604e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.17667365e+00, 1.12615347e+00, 1.53728974e+00, -1.05186820e+00
5.84960133e-02, -2.10079309e-02, -1.47810150e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.42499495e+00, 1.29650426e+00, 1.64917743e+00, -1.21650767e+00
5.85226342e-02, -2.10786741e-02, -1.46758342e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.24889970e+00, 1.20808303e+00, 1.53522301e+00, -1.11408067e+00
6.29705712e-02, -1.37862274e-02, -1.85026564e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.86536479e+00, 1.64512217e+00, 2.24037814e+00, -6.96128070e-01
6.28589764e-02, -1.37153929e-02, -1.85541622e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.81603408e+00, 1.63652360e+00, 2.19175100e+00, -6.69377327e-01
6.28436208e-02, -1.38308005e-02, -1.84980668e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.72988343e+00, 1.52227902e+00, 2.19035339e+00, -5.80760062e-01
6.19779117e-02, -1.52267562e-02, -1.79527849e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.91111374e+00, 1.46820605e+00, 2.23345256e+00, -1.15353584e+00
