
[Name]
Streamline 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
4.67739403e-02, 2.75082029e-02, 1.08178863e-02, 3.77303883e-02, 2.40303371e-02, 2.65392773e-02, -1.19076408e-02
4.67739403e-02, 2.75082029e-02, 1.08178863e-02, 3.77303883e-02, 2.40303371e-02, 2.65392773e-02, -1.19076408e-02
4.64840792e-02, 2.79921237e-02, 1.10777905e-02, 3.58744711e-02, 2.41094138e-02, 2.38158964e-02, -1.17693162e-02
4.64840792e-02, 2.79921237e-02, 1.10777905e-02, 3.58744711e-02, 2.41094138e-02, 2.38158964e-02, -1.17693162e-02
4.61932272e-02, 2.81233452e-02, 1.05612846e-02, 2.60847099e-02, 1.66790374e-02, 1.80683080e-02, -8.70391168e-03
4.61932272e-02, 2.81233452e-02, 1.05612846e-02, 2.60847099e-02, 1.66790374e-02, 1.80683080e-02, -8.70391168e-03
-2.28405511e-03, 7.24620670e-02, -3.91059881e-03, 1.06425680e-01, 7.37986416e-02, -6.08025156e-02, -4.67251502e-02
-2.28405511e-03, 7.24620670e-02, -3.91059881e-03, 1.06425680e-01, 7.37986416e-02, -6.08025156e-02, -4.67251502e-02
-2.38138600e-03, 7.23001659e-02, -4.15422954e-03, 1.28040031e-01, 8.81947055e-02, -7.15893954e-02, -5.90838641e-02
-2.38138600e-03, 7.23001659e-02, -4.15422954e-03, 1.28040031e-01, 8.81947055e-02, -7.15893954e-02, -5.90838641e-02
-2.59918324e-03, 7.19309822e-02, -4.67701070e-03, 5.10495380e-02, 3.50754112e-02, -2.86613610e-02, -2.35435143e-02
-2.59918324e-03, 7.19309822e-02, -4.67701070e-03, 5.10495380e-02, 3.50754112e-02, -2.86613610e-02, -2.35435143e-02
-2.67695030e-03, 7.15489835e-02, -4.05278383e-03, 6.95691928e-02, 4.89273183e-02, -4.05000895e-02, -2.83854380e-02
-2.67695030e-03, 7.15489835e-02, -4.05278383e-03, 6.95691928e-02, 4.89273183e-02, -4.05000895e-02, -2.83854380e-02
-2.48344638e-03, 7.18107894e-02, -3.37374513e-03, 6.77552000e-02, 4.87090610e-02, -3.60799544e-02, -3.02726254e-02
-2.48344638e-03, 7.18107894e-02, -3.37374513e-03, 6.77552000e-02, 4.87090610e-02, -3.60799544e-02, -3.02726254e-02
-2.14062110e-02, -2.65192846e-03, 1.26966648e-02, 1.47643372e-01, 2.19707992e-02, -1.45188779e-01, -1.53645575e-02
-2.14062110e-02, -2.65192846e-03, 1.26966648e-02, 1.47643372e-01, 2.19707992e-02, -1.45188779e-01, -1.53645575e-02
-2.11179871e-02, -2.58431234e-03, 1.30465254e-02, 1.41446114e-01, 2.07364764e-02, -1.39154300e-01, -1.45973172e-02
-2.11179871e-02, -2.58431234e-03, 1.30465254e-02, 1.41446114e-01, 2.07364764e-02, -1.39154300e-01, -1.45973172e-02
-2.67412532e-02, 3.26559693e-02, -1.63898245e-02, 2.88019359e-01, -1.62784547e-01, 1.71661913e-01, -1.64281845e-01
-2.67412532e-02, 3.26559693e-02, -1.63898245e-02, 2.88019359e-01, -1.62784547e-01, 1.71661913e-01, -1.64281845e-01
-2.69120745e-02, 3.29648592e-02, -1.59398969e-02, 2.03328550e-01, -1.17885888e-01, 1.18959412e-01, -1.15299925e-01
-2.69120745e-02, 3.29648592e-02, -1.59398969e-02, 2.03328550e-01, -1.17885888e-01, 1.18959412e-01, -1.15299925e-01
-2.24264693e-02, 2.57566776e-02, -2.59080026e-02, 8.35660622e-02, 5.61500825e-02, -2.86707841e-02, -5.48492596e-02
-2.24264693e-02, 2.57566776e-02, -2.59080026e-02, 8.35660622e-02, 5.61500825e-02, -2.86707841e-02, -5.48492596e-02
-2.23423392e-02, 2.60532070e-02, -2.61526965e-02, 7.10657462e-02, 4.92604673e-02, -2.41354816e-02, -4.51799259e-02
-2.23423392e-02, 2.60532070e-02, -2.61526965e-02, 7.10657462e-02, 4.92604673e-02, -2.41354816e-02, -4.51799259e-02
-3.17553207e-02, 5.30433878e-02, -2.08342029e-03, 2.74603665e-01, 7.66009390e-02, 1.78015158e-01, -1.94550946e-01
-3.17553207e-02, 5.30433878e-02, -2.08342029e-03, 2.74603665e-01, 7.66009390e-02, 1.78015158e-01, -1.94550946e-01
-3.20141613e-02, 5.31120487e-02, -2.19272985e-03, 3.13872367e-01, 8.61926228e-02, 2.02236354e-01, -2.24024907e-01
-3.20141613e-02, 5.31120487e-02, -2.19272985e-03, 3.13872367e-01, 8.61926228e-02, 2.02236354e-01, -2.24024907e-01
-5.03138313e-03, 5.83145730e-02, 2.02564765e-02, 6.52993098e-02, 4.71890420e-02, -4.51051444e-02, 1.64914853e-03
-5.03138313e-03, 5.83145730e-02, 2.02564765e-02, 6.52993098e-02, 4.71890420e-02, -4.51051444e-02, 1.64914853e-03
-4.78990749e-03, 5.88936694e-02, 2.02858187e-02, 7.79194534e-02, 5.71848862e-02, -5.28875515e-02, 2.05830368e-03
-4.78990749e-03, 5.88936694e-02, 2.02858187e-02, 7.79194534e-02, 5.71848862e-02, -5.28875515e-02, 2.05830368e-03
-4.72313818e-03, 5.92507012e-02, 1.96556970e-02, 7.19511732e-02, 5.10098264e-02, -5.07319756e-02, 1.11168390e-03
-4.72313818e-03, 5.92507012e-02, 1.96556970e-02, 7.19511732e-02, 5.10098264e-02, -5.07319756e-02, 1.11168390e-03
-5.07814623e-03, 5.85106947e-02, 1.92516018e-02, 5.08445278e-02, 3.79360020e-02, -3.38523537e-02, 2.09101447e-04
-5.07814623e-03, 5.85106947e-02, 1.92516018e-02, 5.08445278e-02, 3.79360020e-02, -3.38523537e-02, 2.09101447e-04
-5.12694893e-03, 5.82008064e-02, 1.98707748e-02, 6.99152797e-02, 5.06423526e-02, -4.81968410e-02, 7.49998318e-04
-5.12694893e-03, 5.82008064e-02, 1.98707748e-02, 6.99152797e-02, 5.06423526e-02, -4.81968410e-02, 7.49998318e-04
4.66560274e-02, 2.73748208e-02, 1.08777918e-02, 3.73958498e-02, 2.31198445e-02, 2.68084705e-02, -1.20510710e-02
4.64358404e-02, 2.71175951e-02, 1.09952549e-02, 3.40576023e-02, 2.07760558e-02, 2.44831890e-02, -1.13511775e-02
4.61981036e-02, 2.68417392e-02, 1.11276228e-02, 3.30472067e-02, 2.03892943e-02, 2.32947972e-02, -1.15649104e-02
4.59543802e-02, 2.65711639e-02, 1.12700993e-02, 3.24846469e-02, 2.04491820e-02, 2.20338758e-02, -1.23122586e-02
4.56692353e-02, 2.62788404e-02, 1.14463018e-02, 3.27017121e-02, 2.13233158e-02, 2.07842365e-02, -1.35178966e-02
4.54092659e-02, 2.60398742e-02, 1.16144903e-02, 3.27409655e-02, 2.21489649e-02, 1.91648621e-02, -1.46322362e-02
4.51347567e-02, 2.58198082e-02, 1.17998011e-02, 3.40136476e-02, 2.38972232e-02, 1.77131444e-02, -1.64953135e-02
4.48646434e-02, 2.56349389e-02, 1.19901123e-02, 3.60020176e-02, 2.60216780e-02, 1.63991340e-02, -1.87105872e-02
4.45801057e-02, 2.54729968e-02, 1.21990554e-02, 3.56424600e-02, 2.63944119e-02, 1.34632373e-02, -1.98106337e-02
4.42455597e-02, 2.53272578e-02, 1.24573605e-02, 3.82219441e-02, 2.87575573e-02, 1.04623623e-02, -2.29010656e-02
4.39448096e-02, 2.52376366e-02, 1.27003472e-02, 3.81206125e-02, 2.89802551e-02, 6.77586952e-03, -2.38204449e-02
4.36338261e-02, 2.51856521e-02, 1.29606528e-02, 4.21672836e-02, 3.19847576e-02, 3.22029367e-03, -2.72889175e-02
4.33329158e-02, 2.51719374e-02, 1.32184234e-02, 4.36049812e-02, 3.30440626e-02, -3.36501485e-04, -2.84494441e-02
4.30395529e-02, 2.51881592e-02, 1.34677533e-02, 4.16606814e-02, 3.18275094e-02, -3.21250618e-03, -2.66889855e-02
4.27402146e-02, 2.52284408e-02, 1.37088541e-02, 4.32386026e-02, 3.39258499e-02, -5.64584043e-03, -2.62056869e-02
4.24718522e-02, 2.52764113e-02, 1.39047140e-02, 4.29951847e-02, 3.50033268e-02, -6.66045025e-03, -2.40622424e-02
4.21585590e-02, 2.53369771e-02, 1.41003318e-02, 4.18563113e-02, 3.59397233e-02, -7.00265775e-03, -2.02792995e-02
4.18552756e-02, 2.53933072e-02, 1.42508904e-02, 4.17687409e-02, 3.78513038e-02, -6.62879366e-03, -1.63696632e-02
4.14804220e-02, 2.54493076e-02, 1.43865244e-02, 4.10462432e-02, 3.91245410e-02, -4.69440781e-03, -1.14903012e-02
4.11217771e-02, 2.54735574e-02, 1.44763505e-02, 4.03610840e-02, 3.94950174e-02, -5.86437644e-04, -8.29559937e-03
4.08361442e-02, 2.54536476e-02, 1.45355938e-02, 4.17067520e-02, 4.03883532e-02, 6.26341719e-03, -8.30684602e-03
4.07708399e-02, 2.54417155e-02, 1.45492796e-02, 4.22735997e-02, 4.04935479e-02, 8.51744227e-03, -8.64773057e-03
4.06425223e-02, 2.54065096e-02, 1.45794880e-02, 4.18206230e-02, 3.84819731e-02, 1.30232833e-02, -9.92453750e-03
4.05469798e-02, 2.53679175e-02, 1.46067236e-02, 4.29093204e-02, 3.73319983e-02, 1.76098570e-02, -1.17228236e-02
4.04212847e-02, 2.52949726e-02, 1.46517539e-02, 4.45028767e-02, 3.46252397e-02, 2.41542086e-02, -1.40773961e-02
4.03755717e-02, 2.52598822e-02, 1.46717727e-02, 4.54664752e-02, 3.27090696e-02, 2.75573879e-02, -1.54242525e-02
4.02934588e-02, 2.51796953e-02, 1.47155579e-02, 4.44116890e-02, 2.73656324e-02, 3.08406428e-02, -1.65037885e-02
4.01604325e-02, 2.49909349e-02, 1.48142092e-02, 4.59220409e-02, 2.01255772e-02, 3.67040895e-02, -1.88839845e-02
4.00497913e-02, 2.47336552e-02, 1.49423508e-02, 4.62085269e-02, 1.30527904e-02, 3.99007909e-02, -1.93074960e-02
4.00057398e-02, 2.45707743e-02, 1.50205456e-02, 4.75587025e-02, 9.10363812e-03, 4.21404317e-02, -2.00783014e-02
3.99785452e-02, 2.43996475e-02, 1.51020261e-02, 4.84316237e-02, 4.49000066e-03, 4.35474142e-02, -2.07143575e-02
3.99699360e-02, 2.42582113e-02, 1.51693868e-02, 4.87565286e-02, 8.07704695e-04, 4.40091193e-02, -2.09700745e-02
3.99839059e-02, 2.39768475e-02, 1.53060053e-02, 4.66156565e-02, -5.04017156e-03, 4.15723547e-02, -2.04781760e-02
4.00230438e-02, 2.37415340e-02, 1.54258376e-02, 4.29550260e-02, -7.98267871e-03, 3.73562835e-02, -1.96448229e-02
4.00904603e-02, 2.34689731e-02, 1.55745773e-02, 4.10789028e-02, -9.80869867e-03, 3.47177237e-02, -1.96454879e-02
4.01954092e-02, 2.31265184e-02, 1.57772601e-02, 3.83454710e-02, -1.04528042e-02, 3.13611701e-02, -1.94317009e-02
4.02996652e-02, 2.28115432e-02, 1.59783848e-02, 3.53085101e-02, -9.35933460e-03, 2.84349453e-02, -1.87229179e-02
4.03797403e-02, 2.25612707e-02, 1.61465947e-02, 3.19609791e-02, -7.92232808e-03, 2.55274158e-02, -1.75240375e-02
4.04611826e-02, 2.22713929e-02, 1.63492486e-02, 2.97270995e-02, -5.94998710e-03, 2.37172265e-02, -1.69053618e-02
4.05175574e-02, 2.19834484e-02, 1.65557526e-02, 2.85281222e-02, -3.17430450e-03, 2.29776669e-02, -1.66073591e-02
4.05405946e-02, 2.16812491e-02, 1.67734474e-02, 2.52835695e-02, -2.76094797e-04, 2.05318984e-02, -1.47520769e-02
4.05379869e-02, 2.15608962e-02, 1.68600250e-02, 2.63182502e-02, 1.23358122e-03, 2.13296879e-02, -1.53679224e-02
4.05071788e-02, 2.13201102e-02, 1.70339458e-02, 2.64061186e-02, 4.27669659e-03, 2.10922435e-02, -1.53006613e-02
4.04354855e-02, 2.10694093e-02, 1.72178224e-02, 2.52583548e-02, 7.30428426e-03, 1.94133371e-02, -1.44136827e-02
4.03741077e-02, 2.09297258e-02, 1.73226595e-02, 2.61589289e-02, 9.79524478e-03, 1.93144381e-02, -1.46729415e-02
4.03210111e-02, 2.08340194e-02, 1.73960868e-02, 2.63425242e-02, 1.13598462e-02, 1.87833924e-02, -1.45625100e-02
4.01918702e-02, 2.06523668e-02, 1.75408032e-02, 2.72760391e-02, 1.46969622e-02, 1.77592617e-02, -1.45804752e-02
3.99528369e-02, 2.04145219e-02, 1.77472830e-02, 2.91243494e-02, 1.93813145e-02, 1.59344673e-02, -1.47880074e-02
3.96677405e-02, 2.02156156e-02, 1.79475285e-02, 3.15138102e-02, 2.36144438e-02, 1.40282968e-02, -1.54494382e-02
3.93546596e-02, 2.00537741e-02, 1.81447379e-02, 3.35126705e-02, 2.67407075e-02, 1.19458009e-02, -1.62889976e-02
3.89898270e-02, 1.99096240e-02, 1.83634479e-02, 3.58578898e-02, 2.95776892e-02, 1.02516729e-02, -1.74886156e-02
3.86317372e-02, 1.97932553e-02, 1.85736455e-02, 3.79360095e-02, 3.16945277e-02, 9.65131260e-03, -1.84783638e-02
3.82631458e-02, 1.96814518e-02, 1.87867694e-02, 3.87183093e-02, 3.24883983e-02, 9.82338842e-03, -1.86309516e-02
3.79297733e-02, 1.95777863e-02, 1.89760197e-02, 3.84677611e-02, 3.23047638e-02, 1.03248609e-02, -1.81540102e-02
3.75945568e-02, 1.94656048e-02, 1.91630051e-02, 3.95956561e-02, 3.31232101e-02, 1.15909949e-02, -1.83389671e-02
3.72655503e-02, 1.93481147e-02, 1.93440318e-02, 3.86179835e-02, 3.22739705e-02, 1.17617147e-02, -1.76465716e-02
3.69323678e-02, 1.92265771e-02, 1.95258725e-02, 3.87344584e-02, 3.23902108e-02, 1.18262786e-02, -1.76457223e-02
3.65926921e-02, 1.91055760e-02, 1.97107326e-02, 3.97122279e-02, 3.33700515e-02, 1.15913851e-02, -1.81422345e-02
3.62630561e-02, 1.89947616e-02, 1.98900905e-02, 3.78466621e-02, 3.19619402e-02, 1.03893541e-02, -1.74030289e-02
3.59342918e-02, 1.88932065e-02, 2.00690031e-02, 3.76616977e-02, 3.20396610e-02, 9.38614924e-03, -1.74288191e-02
3.55020724e-02, 1.87751893e-02, 2.03080028e-02, 3.79207283e-02, 3.22739519e-02, 8.18119105e-03, -1.81505326e-02
3.51848044e-02, 1.86977480e-02, 2.04881635e-02, 3.63933891e-02, 3.09362840e-02, 7.25537632e-03, -1.77421737e-02
3.48395631e-02, 1.86193176e-02, 2.06880141e-02, 3.66406403e-02, 3.10810488e-02, 6.83446229e-03, -1.81602556e-02
3.44987772e-02, 1.85470171e-02, 2.08903551e-02, 3.76339331e-02, 3.17408182e-02, 6.49062032e-03, -1.91495530e-02
