
[Name]
rca_wall

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
-2.32105795e-02, 1.89845450e-02, 2.65182904e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.44448173e+00, -2.62873590e-01, -9.75721538e-01, 1.03217840e+00
-2.32741982e-02, 1.91525724e-02, 2.57395743e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.41345990e+00, -2.51359463e-01, -9.55736458e-01, 1.01057172e+00
-2.33671870e-02, 1.90716591e-02, 2.71205255e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.41488206e+00, -2.35813737e-01, -9.59478498e-01, 1.01276064e+00
-2.33514924e-02, 1.93115361e-02, 2.48413533e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.37629354e+00, -2.43075058e-01, -9.26169217e-01, 9.88589466e-01
-2.31824908e-02, 1.92367118e-02, 2.42493860e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.42409182e+00, -2.66944379e-01, -9.56309259e-01, 1.02090681e+00
-2.34533288e-02, 1.92193352e-02, 2.61686649e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.37596822e+00, -2.32587770e-01, -9.26967561e-01, 9.89910305e-01
-2.41081174e-02, 1.87772475e-02, 2.95528374e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.56676745e+00, -1.56431973e-01, -1.01623702e+00, 1.18218076e+00
-2.39503011e-02, 1.88476536e-02, 2.95784278e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.62350273e+00, -2.12538660e-01, -1.07333791e+00, 1.19938910e+00
-2.40850225e-02, 1.89069342e-02, 2.80973548e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.51082981e+00, -1.99084356e-01, -1.00033641e+00, 1.11458480e+00
-2.42221169e-02, 1.87776722e-02, 2.86081270e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.38990128e+00, -1.57341838e-01, -9.09801602e-01, 1.03890824e+00
-2.40088943e-02, 1.87525321e-02, 3.04286811e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.66610706e+00, -1.91853940e-01, -1.10318315e+00, 1.23373079e+00
-2.37377696e-02, 1.95393749e-02, 2.21547321e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.50185418e+00, -2.75299042e-01, -9.89427924e-01, 1.09581423e+00
-2.38249898e-02, 1.96241140e-02, 2.06564390e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.44724524e+00, -2.83879697e-01, -9.49491143e-01, 1.05470264e+00
-2.39290018e-02, 1.94957666e-02, 2.16523139e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.38708723e+00, -2.61286974e-01, -9.12697673e-01, 1.01129770e+00
-2.36335397e-02, 1.96628086e-02, 2.11026915e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.48724759e+00, -2.87241936e-01, -9.77697849e-01, 1.08328402e+00
-2.37241071e-02, 1.97483785e-02, 1.96236721e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.49086809e+00, -2.99184650e-01, -9.82013047e-01, 1.08112288e+00
-2.41072774e-02, 1.86761077e-02, 3.07998830e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.60719717e+00, -1.84811845e-01, -1.06710196e+00, 1.18752718e+00
-2.45139468e-02, 1.81061272e-02, 3.06480471e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.45146215e+00, -1.51943639e-01, -9.27543521e-01, 1.10603726e+00
-2.44831648e-02, 1.82711519e-02, 2.95263785e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.41191077e+00, -1.83288246e-01, -9.02686477e-01, 1.07007217e+00
-2.45008040e-02, 1.80962514e-02, 2.89677316e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.46834278e+00, -1.97049990e-01, -9.27721500e-01, 1.12095261e+00
