
[Name]
graft_3_wall

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
2.48033442e-02, 2.02744585e-02, -3.70381959e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.26548266e+00, 7.19838500e-01, 7.72709176e-02, 1.03793454e+00
2.50503793e-02, 2.02587489e-02, -3.70004550e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.51688874e+00, 9.00946975e-01, 1.29137710e-01, 1.21349478e+00
2.48906668e-02, 2.02371553e-02, -3.72033902e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.44139540e+00, 8.41443598e-01, 1.02057412e-01, 1.16583776e+00
3.12167350e-02, 3.67603451e-02, -1.49768777e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.88824964e-01, 7.57645249e-01, 2.21525267e-01, 5.95546007e-01
3.14035416e-02, 3.68672609e-02, -1.48574430e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.91175175e-01, 7.84570336e-01, 1.94313183e-01, 5.73689759e-01
3.13063525e-02, 3.69755514e-02, -1.50545286e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.04836798e+00, 8.11079741e-01, 2.22715512e-01, 6.25797689e-01
3.15048508e-02, 3.70628498e-02, -1.49569316e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.10459507e+00, 8.89331281e-01, 2.04236373e-01, 6.22501016e-01
1.81410536e-02, 1.90010946e-02, -4.36126664e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.78388357e+00, 2.27102447e+00, 1.97779465e+00, 3.71703053e+00
1.82482675e-02, 1.91411469e-02, -4.36031185e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.51349688e+00, 1.38151205e+00, 1.59620786e+00, 2.80859494e+00
1.81593522e-02, 1.90162249e-02, -4.34883647e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.34604692e+00, 1.47428596e+00, 2.02018905e+00, 3.55435491e+00
2.00871509e-02, 1.95897911e-02, -4.32164967e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.89560616e-01, 5.57437658e-01, 4.63073403e-02, 5.57247579e-01
1.99282132e-02, 1.95630752e-02, -4.34116013e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.10367727e-01, 6.53111696e-01, 8.47074911e-02, 6.28521383e-01
1.99043807e-02, 1.95938628e-02, -4.31199633e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.21087563e-01, 6.59629822e-01, 7.36696124e-02, 6.38642013e-01
1.84036531e-02, 1.91808827e-02, -4.32091430e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.12934971e+00, 1.01969802e+00, 6.41470253e-01, 1.75580812e+00
