
[Name]
Streamline 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
6.25478327e-02, 5.10045104e-02, 6.85028508e-02, 2.74584293e-02, 2.36405618e-02, 3.66838672e-03, 1.34770954e-02
6.25478327e-02, 5.10045104e-02, 6.85028508e-02, 2.74584293e-02, 2.36405618e-02, 3.66838672e-03, 1.34770954e-02
6.25513867e-02, 5.13877198e-02, 6.85078576e-02, 3.51023562e-02, 3.02819964e-02, 5.32435160e-03, 1.69359799e-02
6.25513867e-02, 5.13877198e-02, 6.85078576e-02, 3.51023562e-02, 3.02819964e-02, 5.32435160e-03, 1.69359799e-02
9.80224535e-02, 3.07996795e-02, 7.43062347e-02, 2.10827999e-02, 5.83181297e-03, -1.82854608e-02, -8.72446876e-03
9.80224535e-02, 3.07996795e-02, 7.43062347e-02, 2.10827999e-02, 5.83181297e-03, -1.82854608e-02, -8.72446876e-03
9.74758267e-02, 3.07446495e-02, 7.37853274e-02, 2.57602837e-02, 8.17272812e-03, -2.21513286e-02, -1.03013311e-02
9.74758267e-02, 3.07446495e-02, 7.37853274e-02, 2.57602837e-02, 8.17272812e-03, -2.21513286e-02, -1.03013311e-02
9.68822613e-02, 3.03275138e-02, 7.40598068e-02, 2.46952977e-02, 8.77271872e-03, -2.06156783e-02, -1.03870556e-02
9.68822613e-02, 3.03275138e-02, 7.40598068e-02, 2.46952977e-02, 8.77271872e-03, -2.06156783e-02, -1.03870556e-02
9.76379961e-02, 3.04801241e-02, 7.46000856e-02, 3.14245261e-02, 9.36669763e-03, -2.66458914e-02, -1.37754213e-02
9.76379961e-02, 3.04801241e-02, 7.46000856e-02, 3.14245261e-02, 9.36669763e-03, -2.66458914e-02, -1.37754213e-02
9.71695557e-02, 3.02222464e-02, 7.46490434e-02, 2.64314804e-02, 9.92682017e-03, -2.18030140e-02, -1.11673586e-02
9.71695557e-02, 3.02222464e-02, 7.46490434e-02, 2.64314804e-02, 9.92682017e-03, -2.18030140e-02, -1.11673586e-02
5.49151264e-02, 5.50511293e-02, 6.15603998e-02, 3.43830474e-02, 3.17350216e-02, 1.00660706e-02, 8.58816504e-03
5.49151264e-02, 5.50511293e-02, 6.15603998e-02, 3.43830474e-02, 3.17350216e-02, 1.00660706e-02, 8.58816504e-03
5.50364777e-02, 5.50008304e-02, 6.10761270e-02, 3.71508300e-02, 3.43054645e-02, 9.96799860e-03, 1.01960022e-02
5.50364777e-02, 5.50008304e-02, 6.10761270e-02, 3.71508300e-02, 3.43054645e-02, 9.96799860e-03, 1.01960022e-02
5.53789474e-02, 5.43733351e-02, 6.08686693e-02, 2.82723699e-02, 2.58196164e-02, 9.18398798e-03, 6.95188390e-03
5.53789474e-02, 5.43733351e-02, 6.08686693e-02, 2.82723699e-02, 2.58196164e-02, 9.18398798e-03, 6.95188390e-03
5.54175600e-02, 5.39948232e-02, 6.15800917e-02, 2.18455549e-02, 2.02895850e-02, 6.67917728e-03, 4.57707467e-03
5.54175600e-02, 5.39948232e-02, 6.15800917e-02, 2.18455549e-02, 2.02895850e-02, 6.67917728e-03, 4.57707467e-03
5.51130734e-02, 5.45637496e-02, 6.17382079e-02, 3.85867432e-02, 3.53431031e-02, 1.19865285e-02, 9.80433822e-03
5.51130734e-02, 5.45637496e-02, 6.17382079e-02, 3.85867432e-02, 3.53431031e-02, 1.19865285e-02, 9.80433822e-03
2.89955754e-02, 4.84267920e-02, 4.13806774e-02, 5.29299378e-02, -3.55909914e-02, -9.54619236e-03, -3.79964486e-02
2.89955754e-02, 4.84267920e-02, 4.13806774e-02, 5.29299378e-02, -3.55909914e-02, -9.54619236e-03, -3.79964486e-02
2.78081968e-02, 4.88625616e-02, 4.22096588e-02, 4.19377089e-02, -2.72422954e-02, -7.22880056e-03, -3.10543589e-02
2.78081968e-02, 4.88625616e-02, 4.22096588e-02, 4.19377089e-02, -2.72422954e-02, -7.22880056e-03, -3.10543589e-02
2.76852511e-02, 4.74466905e-02, 4.25082520e-02, 4.42342497e-02, -2.87148431e-02, -7.17622507e-03, -3.28729153e-02
2.76852511e-02, 4.74466905e-02, 4.25082520e-02, 4.42342497e-02, -2.87148431e-02, -7.17622507e-03, -3.28729153e-02
2.86834687e-02, 4.70124632e-02, 4.18212190e-02, 4.98674326e-02, -3.28959525e-02, -9.36889276e-03, -3.62883061e-02
2.86834687e-02, 4.70124632e-02, 4.18212190e-02, 4.98674326e-02, -3.28959525e-02, -9.36889276e-03, -3.62883061e-02
2.91019641e-02, 4.76744622e-02, 4.14102748e-02, 5.05924113e-02, -3.43267806e-02, -7.59080891e-03, -3.63819152e-02
2.91019641e-02, 4.76744622e-02, 4.14102748e-02, 5.05924113e-02, -3.43267806e-02, -7.59080891e-03, -3.63819152e-02
2.87016332e-02, 4.85870503e-02, 4.15782705e-02, 7.19956756e-02, -4.78829741e-02, -1.36889117e-02, -5.19924201e-02
2.87016332e-02, 4.85870503e-02, 4.15782705e-02, 7.19956756e-02, -4.78829741e-02, -1.36889117e-02, -5.19924201e-02
2.80526988e-02, 4.85378429e-02, 4.20731790e-02, 8.42367560e-02, -5.59891164e-02, -1.53109245e-02, -6.10460863e-02
