
[Name]
lca_wall

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
-4.19248454e-03, 2.22682785e-02, -2.13221926e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.60049188e-01, 7.29295075e-01, 2.65168995e-01, 3.70808095e-01
-4.24342649e-03, 2.19342206e-02, -2.12725662e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.42920661e-01, 7.17062533e-01, 2.48089030e-01, 3.67135406e-01
-4.45151562e-03, 2.21386403e-02, -2.14442536e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.56699586e-01, 7.27770984e-01, 2.64055490e-01, 3.66821736e-01
-4.40813601e-03, 2.24724058e-02, -2.14867592e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.62783968e-01, 7.28834450e-01, 2.87531197e-01, 3.61278802e-01
2.61342656e-02, 3.46351080e-02, -2.60140635e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.89845324e+00, 4.16901731e+00, 1.65619016e+00, -1.96752989e+00
2.62212139e-02, 3.46494690e-02, -2.58749630e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.59914827e+00, 3.68869281e+00, 1.59966600e+00, -2.23310947e+00
2.60899756e-02, 3.46029028e-02, -2.57874858e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.03160763e+00, 4.04321194e+00, 1.35771596e+00, -2.66947889e+00
2.57435106e-02, 3.45630497e-02, -2.61228606e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.22811460e+00, 4.39397383e+00, 1.85779977e+00, -2.13886786e+00
2.58761495e-02, 3.47107686e-02, -2.63734553e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.19027901e+00, 4.30748367e+00, 2.01111817e+00, -2.08326340e+00
-5.60115604e-03, 2.34257616e-02, -2.18755528e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.01409721e-01, 6.18663907e-01, 4.21112120e-01, 2.86665648e-01
-5.84534928e-03, 2.31790524e-02, -2.20117588e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.82289922e-01, 6.13579392e-01, 4.04502153e-01, 2.68096775e-01
-5.95722208e-03, 2.35127732e-02, -2.19105184e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.62664855e-01, 5.80041468e-01, 4.20452178e-01, 2.61590451e-01
-5.50382631e-03, 2.30743568e-02, -2.19539721e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.95853496e-01, 6.37456536e-01, 3.81580502e-01, 2.85356402e-01
-5.26040420e-03, 2.33256947e-02, -2.18127295e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.27269733e-01, 6.53373063e-01, 4.05568600e-01, 3.04947346e-01
-5.35694091e-03, 2.36707646e-02, -2.17310786e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.25246751e-01, 6.30023956e-01, 4.41379756e-01, 2.98807621e-01
-4.14313423e-03, 2.26087607e-02, -2.13569738e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.67549896e-01, 7.29459941e-01, 2.90150791e-01, 3.69247288e-01
-3.92931793e-03, 2.23938618e-02, -2.11926289e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.65368366e-01, 7.31292009e-01, 2.68253088e-01, 3.76980960e-01
-3.98464361e-03, 2.20632348e-02, -2.11515054e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.32790494e-01, 7.06884980e-01, 2.45267913e-01, 3.65646362e-01
-4.70892992e-03, 2.20094435e-02, -2.15683989e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.29517066e-01, 7.05636740e-01, 2.52320141e-01, 3.55682313e-01
-4.66452586e-03, 2.23393850e-02, -2.16078144e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.35543990e-01, 7.05961704e-01, 2.77624428e-01, 3.50252032e-01
