
[Name]
g1_wall

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
3.25015895e-02, -2.90802252e-02, 1.24711059e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.57467151e+00, 1.47570944e+00, 8.55144382e-01, -3.14154196e+00
3.23544554e-02, -2.89076269e-02, 1.23315947e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.77481580e+00, 1.14260352e+00, 1.26189649e+00, -3.36917043e+00
3.22765559e-02, -2.89925765e-02, 1.25643238e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.80460787e+00, 1.31874800e+00, 1.11089087e+00, -3.39144015e+00
3.32889445e-02, -3.02528255e-02, 1.15217371e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.20584083e-01, -1.16921127e-01, -3.52959722e-01, -8.42154324e-01
3.33424062e-02, -3.00992113e-02, 1.12229260e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.51461971e-01, -1.40612960e-01, -2.08221987e-01, -9.17688131e-01
3.33423950e-02, -2.99996063e-02, 1.15367649e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.17770863e+00, 1.30160362e-01, -3.27808589e-01, -1.12365365e+00
2.45254859e-02, -3.68709378e-02, 1.55490162e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.45851624e-01, 6.21499598e-01, 7.13003039e-01, 4.73102235e-04
2.43038945e-02, -3.69676016e-02, 1.56761892e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.49601531e-01, 6.24246120e-01, 7.15509772e-01, 1.02761099e-02
2.44580377e-02, -3.67603265e-02, 1.57041661e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.89161670e-01, 6.52916253e-01, 7.42915094e-01, -1.47744957e-02
2.46372093e-02, -3.66678946e-02, 1.56084541e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.90177870e-01, 6.53025448e-01, 7.44038343e-01, -2.04192996e-02
2.93260366e-02, -3.03944368e-02, 1.66044608e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.28176904e+00, -7.88377583e-01, 3.41170192e-01, 9.51312602e-01
2.94605158e-02, -3.02371513e-02, 1.67382583e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.51398194e+00, -1.01827753e+00, 3.62375647e-01, 1.06015861e+00
2.92237587e-02, -3.03015281e-02, 1.67953148e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.43314695e+00, -8.60616386e-01, 4.21708822e-01, 1.06555688e+00
2.86680385e-02, -3.00959647e-02, 1.74725726e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.62800062e+00, -7.93270350e-01, 4.92902637e-01, 1.33347487e+00
2.87641045e-02, -3.01804002e-02, 1.72649231e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.52850974e+00, -7.40459502e-01, 4.43091422e-01, 1.26163840e+00
2.89031658e-02, -3.00142821e-02, 1.74122136e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.74626160e+00, -9.13696945e-01, 4.99669999e-01, 1.40175498e+00
2.85647698e-02, -2.99990755e-02, 1.76982377e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.75316322e+00, -8.12172472e-01, 4.93190765e-01, 1.47333634e+00
2.84170527e-02, -3.01248562e-02, 1.75269097e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.63267446e+00, -7.31451154e-01, 4.68789905e-01, 1.38233173e+00
2.88022086e-02, -2.99176350e-02, 1.76193286e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.87018836e+00, -9.70544457e-01, 5.42340040e-01, 1.50383353e+00
3.26713547e-02, -2.27616727e-02, 6.21751323e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.37183845e+00, 6.56322896e-01, 4.35584247e-01, -1.12314165e+00
3.24355625e-02, -2.26220582e-02, 6.31163456e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.26085651e+00, 6.15381360e-01, 3.82537007e-01, -1.03185773e+00
3.25855501e-02, -2.25459039e-02, 6.06847275e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.29419589e+00, 6.17002845e-01, 3.85501593e-01, -1.07034528e+00
2.64747832e-02, -3.36480252e-02, 1.62213389e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.40521598e+00, 9.58259761e-01, 7.82951951e-01, -6.65850222e-01
2.65132636e-02, -3.37045342e-02, 1.59796234e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.50445056e+00, 1.06424534e+00, 8.01331401e-01, -6.99014425e-01
2.63350215e-02, -3.38287279e-02, 1.61172692e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.39681590e+00, 9.81516182e-01, 7.67209411e-01, -6.31751895e-01
3.18286791e-02, -2.33473126e-02, 7.52378302e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.03233039e+00, 5.25911093e-01, 3.61290753e-01, -8.11537087e-01
3.19293551e-02, -2.32658219e-02, 7.35992752e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.08205354e+00, 5.78985453e-01, 3.57632309e-01, -8.41257930e-01
3.20353284e-02, -2.34733857e-02, 7.50973169e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.05773747e+00, 5.63144565e-01, 3.29245448e-01, -8.32630813e-01
3.35854478e-02, -2.73959655e-02, 3.14180925e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.02470970e+00, 1.96878457e+00, -8.08076024e-01, -4.55176973e+00
3.33365016e-02, -2.73598209e-02, 3.00496095e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.62050772e+00, 2.57940245e+00, -1.09674621e+00, -4.87174892e+00
3.35572511e-02, -2.74227876e-02, 2.86699552e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.58112192e+00, 2.20316100e+00, -1.04369152e+00, -5.02052879e+00
3.13717462e-02, -2.75050569e-02, 9.54047590e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.04569960e+00, -9.18368995e-02, 1.16734517e+00, -2.81161118e+00
3.15415487e-02, -2.73621790e-02, 9.35949851e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.94915986e+00, 1.40601635e-01, 1.19774699e+00, -2.69131517e+00
3.12918164e-02, -2.74369493e-02, 9.27602127e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.40385175e+00, 7.37466216e-02, 9.24761593e-01, -2.21762943e+00
3.10030226e-02, -2.74130329e-02, 7.96965696e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.92187059e+00, 3.96787703e-01, 8.32837343e-01, -1.68597984e+00
3.10943853e-02, -2.72563919e-02, 8.17552488e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.95419443e+00, 3.38001519e-01, 8.15279543e-01, -1.74354517e+00
3.11081316e-02, -2.72017140e-02, 7.95557350e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.99229491e+00, 3.73205006e-01, 8.27232838e-01, -1.77359605e+00
3.10672261e-02, -2.72797830e-02, 7.72290677e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.05271125e+00, 4.53873426e-01, 8.40626419e-01, -1.81685710e+00
3.04408558e-02, -2.56580021e-02, 1.15716513e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.09571427e-01, -4.34622951e-02, 9.21760052e-02, -4.02555801e-02
3.06187421e-02, -2.57797185e-02, 1.17266141e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.25184882e-02, -3.90209854e-02, 6.97658435e-02, -2.04790067e-02
3.05819865e-02, -2.55387127e-02, 1.17092412e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.09443329e-01, -5.22697046e-02, 8.85487050e-02, -3.74812894e-02
3.27794068e-02, -2.60679089e-02, 2.27484084e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.04509783e+00, -5.84445536e-01, 1.47102213e+00, -3.72254395e+00
3.26884016e-02, -2.62018628e-02, 2.45014671e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.54992533e+00, -8.32285166e-01, 1.45211947e+00, -4.23089457e+00
3.25409733e-02, -2.61644106e-02, 2.29972019e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.39220619e+00, -9.04030561e-01, 1.38210058e+00, -4.06989002e+00
3.27300504e-02, -2.62971837e-02, 2.70882482e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.83303738e+00, -1.37347198e+00, 2.27972078e+00, -6.29339695e+00
3.25131901e-02, -2.62393169e-02, 2.55352259e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.65254641e+00, -1.20405233e+00, 1.83539462e+00, -5.20892191e+00
