
[Name]
g3_wall

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
9.92796570e-03, 1.54476054e-02, -5.99673577e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.06280786e-01, 3.91227454e-01, -8.00133124e-02, -7.48533458e-02
9.67103802e-03, 1.55007038e-02, -5.99193312e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.00659323e-01, 3.86145979e-01, -7.76505619e-02, -7.34135732e-02
9.79890954e-03, 1.56235909e-02, -6.01081662e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.91386867e-01, 3.77639532e-01, -7.39570111e-02, -7.14313015e-02
9.80286021e-03, 1.53478710e-02, -5.97801991e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.83984476e-01, 3.69953632e-01, -7.70744458e-02, -6.81023523e-02
9.01441462e-03, 1.62935052e-02, -6.02441244e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.57504344e-01, 2.47130275e-01, -5.10437936e-02, -5.12800701e-02
9.32635646e-03, 1.63778141e-02, -6.02736659e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.94090360e-01, 2.84134150e-01, -4.85577174e-02, -5.83015941e-02
9.26841889e-03, 1.60939135e-02, -6.02651723e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.88072854e-01, 2.78435141e-01, -5.06862625e-02, -5.37656248e-02
5.61950449e-03, 1.63829029e-02, -5.81560880e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.82411605e-01, 2.42383957e-01, -8.98899138e-02, -1.13693155e-01
5.43868169e-03, 1.64239779e-02, -5.79279847e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.61563033e-01, 2.25676462e-01, -8.11403096e-02, -1.04410745e-01
5.40172448e-03, 1.64951514e-02, -5.81438057e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.98681349e-01, 2.56299466e-01, -9.34024081e-02, -1.21643424e-01
1.02981813e-02, 1.52255632e-02, -5.91257401e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.52617532e-01, 3.39688778e-01, -6.38083145e-02, -6.98508695e-02
1.02052148e-02, 1.51120946e-02, -5.93729429e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.07944119e-01, 2.97180682e-01, -5.64858131e-02, -5.76418117e-02
1.04855057e-02, 1.51020437e-02, -5.93139455e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.29764098e-01, 3.19995224e-01, -5.28959148e-02, -5.95772602e-02
1.04137603e-02, 1.50683010e-02, -5.95689900e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.15862298e-01, 3.06576818e-01, -5.11678830e-02, -5.62272817e-02
-1.02097811e-02, 2.35555284e-02, -4.67209518e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.27007389e+00, 2.67749763e+00, -8.79909813e-01, -1.65835714e+00
-1.01657584e-02, 2.36032866e-02, -4.69390377e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.05886936e+00, 2.51882815e+00, -8.53373885e-01, -1.51127064e+00
-1.04042254e-02, 2.36974861e-02, -4.68926728e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.13280487e+00, 2.51944375e+00, -8.12716544e-01, -1.67521989e+00
-9.99049377e-03, 2.35526115e-02, -4.71114963e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.90481806e+00, 2.39421535e+00, -9.28915024e-01, -1.35750401e+00
-1.02651576e-02, 2.36555990e-02, -4.71435972e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.94257569e+00, 2.33325911e+00, -8.16904247e-01, -1.59603286e+00
-1.05386367e-02, 2.37211511e-02, -4.71606404e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.07074380e+00, 2.33769608e+00, -8.33239138e-01, -1.80841279e+00
-1.04043204e-02, 2.36346610e-02, -4.73829843e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.97431374e+00, 2.16679645e+00, -9.14012372e-01, -1.82102072e+00
-1.00017069e-02, 2.29270961e-02, -4.63471301e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.59301329e+00, 2.76415277e+00, -1.11630976e+00, -2.00575590e+00
-9.80416499e-03, 2.28168648e-02, -4.64725010e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.26129675e+00, 2.57254314e+00, -1.15766430e+00, -1.63642681e+00
-9.88497119e-03, 2.31064167e-02, -4.65168692e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.34063864e+00, 2.72596526e+00, -1.06671512e+00, -1.60968935e+00
-9.58846975e-03, 2.27239765e-02, -4.66061123e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.86039829e+00, 2.21750641e+00, -1.24183202e+00, -1.31240106e+00
-9.65435617e-03, 2.30075233e-02, -4.66432944e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.89490724e+00, 2.36280513e+00, -1.10562813e+00, -1.25508034e+00
-9.75357462e-03, 2.34542675e-02, -4.71698642e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.74657249e+00, 2.32085228e+00, -8.86057854e-01, -1.17141235e+00
-9.86952614e-03, 2.35080943e-02, -4.73585874e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.77047849e+00, 2.20261025e+00, -8.95674825e-01, -1.42190897e+00
-1.01275509e-02, 2.35861409e-02, -4.73688133e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.88803291e+00, 2.20604038e+00, -9.10938025e-01, -1.62613404e+00
2.30644625e-02, 1.92772243e-02, -6.06850870e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.07903171e-01, 2.24325836e-01, 2.06818908e-01, 4.13306803e-02
2.28885543e-02, 1.94748249e-02, -6.05922006e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.72073889e-01, 2.66563326e-01, 2.53429115e-01, 5.61839826e-02
2.31062938e-02, 1.95485950e-02, -6.06221296e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.22853595e-01, 2.26404384e-01, 2.23574087e-01, 5.46819568e-02
2.33747866e-02, 1.94607545e-02, -6.06279336e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.98636407e-01, 2.13072255e-01, 2.04782978e-01, 4.29865904e-02
2.19697040e-02, 1.82758681e-02, -5.93818352e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.39912641e-01, 4.01101083e-01, 3.48598748e-01, 9.54068080e-02
