
[Name]
rca_wall

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
-2.20575240e-02, -1.80488545e-02, 7.35042710e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.67294521e+01, -1.25173509e+00, -7.53873110e+00, -1.48820448e+01
-2.20733266e-02, -1.80580579e-02, 7.19955470e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.76879158e+01, -2.19139695e+00, -6.98620319e+00, -1.61013374e+01
-2.20700596e-02, -1.78640671e-02, 7.28685549e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.77390079e+01, -1.98814416e+00, -6.22669601e+00, -1.64908447e+01
-2.68265978e-02, 8.57726485e-03, 3.03895064e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.13466358e+00, -4.02075827e-01, -2.06306314e+00, 3.56055474e+00
-2.68817283e-02, 8.78521800e-03, 3.05371340e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.25760508e+00, -4.76273984e-01, -1.77022064e+00, 3.84274435e+00
-2.68429387e-02, 8.81252997e-03, 3.02623697e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.20754862e+00, -5.17509162e-01, -1.90022707e+00, 3.71816969e+00
-2.68845987e-02, 8.51624925e-03, 3.06538418e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.60979414e+00, -3.92190427e-01, -1.70463800e+00, 3.15769053e+00
-2.60627382e-02, 8.02171137e-03, 2.99545005e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.71133757e+00, -8.40330962e-03, -2.70961070e+00, 3.85417199e+00
-2.62768827e-02, 8.13532621e-03, 3.00590508e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.10728264e+00, -4.20141071e-02, -2.98060465e+00, 4.14711571e+00
-2.61851680e-02, 8.22534226e-03, 2.98182797e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.27264833e+00, -1.11308537e-01, -3.05117726e+00, 4.29869127e+00
-2.61583216e-02, 7.92487245e-03, 3.02010495e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.68169832e+00, 1.06364958e-01, -2.72919631e+00, 3.80242991e+00
-2.66083404e-02, 8.74151289e-03, 2.97086798e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.94334888e+00, -5.73197603e-01, -2.44379401e+00, 4.25863981e+00
-2.64173504e-02, 8.63125175e-03, 2.95902416e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.83380365e+00, -4.37888950e-01, -3.17411375e+00, 4.87509155e+00
-2.64927465e-02, 8.54225084e-03, 2.98152827e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.36749792e+00, -3.80784661e-01, -2.88011146e+00, 4.51331282e+00
-2.66786516e-02, 8.66074488e-03, 2.99268477e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.28602743e+00, -5.05545139e-01, -2.06549978e+00, 3.72131228e+00
-2.33612675e-02, -1.92805175e-02, 6.27243659e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.38581333e+01, -4.15035248e+00, -6.00677824e+00, -1.17788391e+01
-2.31505129e-02, -1.92303415e-02, 6.40443526e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.77806454e+01, -5.94896078e+00, -7.75125742e+00, -1.48552771e+01
