
[Name]
g1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
-1.79991871e-02, 1.44943120e-02, -2.42124945e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.16943312e+00, 1.79539847e+00, -1.49305677e-02, -1.21768713e+00
-1.81195047e-02, 1.44280251e-02, -2.44226642e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.17911553e+00, 1.82643652e+00, 2.95264013e-02, -1.18819273e+00
-1.82698388e-02, 1.44323371e-02, -2.43116710e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.22307944e+00, 1.83469391e+00, -2.84123812e-02, -1.25505912e+00
3.90024334e-02, 1.29080378e-02, -5.12790270e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.96320176e-01, 6.93389475e-01, -1.55045623e-02, 6.19064197e-02
3.92217450e-02, 1.29344389e-02, -5.12850732e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.65218413e-01, 6.62575960e-01, -1.60192084e-02, 5.70265427e-02
3.91755961e-02, 1.28004225e-02, -5.11610471e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.42715538e-01, 7.39749968e-01, -1.38486000e-02, 6.48426712e-02
3.49188000e-02, 1.31168412e-02, -5.13730533e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.62291384e-01, 5.57937682e-01, -8.67569633e-03, -6.92954063e-02
3.47797349e-02, 1.32490341e-02, -5.13903946e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.50650239e-01, 5.46216309e-01, -8.58503114e-03, -6.92080706e-02
3.49662043e-02, 1.33144921e-02, -5.14244288e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.31208813e-01, 5.27238071e-01, -5.70333423e-03, -6.45780861e-02
1.29480371e-02, 1.37805240e-02, -4.16719839e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.27806306e+00, 1.15130365e+00, -7.23731667e-02, -5.50188303e-01
