
[Name]
Streamline 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
3.99262551e-03, 3.42196459e-03, 2.62727719e-02, 3.74008954e-01, 3.16180855e-01, -4.13257144e-02, 1.95459843e-01
3.99262551e-03, 3.42196459e-03, 2.62727719e-02, 3.74008954e-01, 3.16180855e-01, -4.13257144e-02, 1.95459843e-01
4.27809125e-03, 3.57643072e-03, 2.60216743e-02, 6.34531558e-01, 5.31095803e-01, -1.00304231e-01, 3.32425356e-01
4.27809125e-03, 3.57643072e-03, 2.60216743e-02, 6.34531558e-01, 5.31095803e-01, -1.00304231e-01, 3.32425356e-01
4.41446155e-03, 4.09660349e-03, 2.63021234e-02, 3.02778691e-01, 2.53094792e-01, -6.61657564e-03, 1.66054741e-01
4.41446155e-03, 4.09660349e-03, 2.63021234e-02, 3.02778691e-01, 2.53094792e-01, -6.61657564e-03, 1.66054741e-01
4.12694272e-03, 3.77544877e-03, 2.64065061e-02, 1.08012386e-01, 9.22704935e-02, 5.36991237e-03, 5.58927283e-02
4.12694272e-03, 3.77544877e-03, 2.64065061e-02, 1.08012386e-01, 9.22704935e-02, 5.36991237e-03, 5.58927283e-02
3.96100897e-03, 3.00033158e-03, 2.59377267e-02, 5.71294248e-01, 4.72802371e-01, -1.23184383e-01, 2.96075374e-01
3.96100897e-03, 3.00033158e-03, 2.59377267e-02, 5.71294248e-01, 4.72802371e-01, -1.23184383e-01, 2.96075374e-01
3.84902908e-03, 2.56277574e-03, 2.56980918e-02, 4.48608577e-01, 3.64274532e-01, -9.80198532e-02, 2.42787629e-01
3.84902908e-03, 2.56277574e-03, 2.56980918e-02, 4.48608577e-01, 3.64274532e-01, -9.80198532e-02, 2.42787629e-01
4.54819063e-03, 3.73586477e-03, 2.57960092e-02, 6.82646096e-01, 5.69139004e-01, -1.12271518e-01, 3.59835505e-01
4.54819063e-03, 3.73586477e-03, 2.57960092e-02, 6.82646096e-01, 5.69139004e-01, -1.12271518e-01, 3.59835505e-01
4.31979634e-03, 3.14440392e-03, 2.55772248e-02, 7.14795828e-01, 5.92341542e-01, -1.56690419e-01, 3.68120521e-01
4.31979634e-03, 3.14440392e-03, 2.55772248e-02, 7.14795828e-01, 5.92341542e-01, -1.56690419e-01, 3.68120521e-01
4.75288089e-03, 4.28638887e-03, 2.60104276e-02, 3.96153629e-01, 3.26856315e-01, -2.87397504e-02, 2.21983492e-01
4.75288089e-03, 4.28638887e-03, 2.60104276e-02, 3.96153629e-01, 3.26856315e-01, -2.87397504e-02, 2.21983492e-01
5.33248438e-03, 4.48352378e-03, 2.53961142e-02, 1.86403200e-01, 1.51834846e-01, 4.15843632e-03, 1.08051114e-01
5.33248438e-03, 4.48352378e-03, 2.53961142e-02, 1.86403200e-01, 1.51834846e-01, 4.15843632e-03, 1.08051114e-01
4.96455282e-03, 4.33634035e-03, 2.57663075e-02, 4.05038118e-01, 3.35158587e-01, -3.43782827e-02, 2.24817097e-01
4.96455282e-03, 4.33634035e-03, 2.57663075e-02, 4.05038118e-01, 3.35158587e-01, -3.43782827e-02, 2.24817097e-01
4.29556938e-03, 2.46292003e-03, 2.49990076e-02, 4.85823214e-01, 4.21452433e-01, -8.28347206e-02, 2.27025196e-01
4.29556938e-03, 2.46292003e-03, 2.49990076e-02, 4.85823214e-01, 4.21452433e-01, -8.28347206e-02, 2.27025196e-01
4.09841724e-03, 2.61668488e-03, 2.54060403e-02, 6.03306651e-01, 5.05444646e-01, -1.34643376e-01, 3.00625622e-01
4.09841724e-03, 2.61668488e-03, 2.54060403e-02, 6.03306651e-01, 5.05444646e-01, -1.34643376e-01, 3.00625622e-01
4.69081849e-03, 3.52608971e-03, 2.54131593e-02, 6.98581219e-01, 5.75864315e-01, -1.32532150e-01, 3.72600675e-01
4.69081849e-03, 3.52608971e-03, 2.54131593e-02, 6.98581219e-01, 5.75864315e-01, -1.32532150e-01, 3.72600675e-01
4.97719832e-03, 4.00131615e-03, 2.54485328e-02, 5.76305389e-01, 4.79637682e-01, -7.78650269e-02, 3.09858978e-01
4.97719832e-03, 4.00131615e-03, 2.54485328e-02, 5.76305389e-01, 4.79637682e-01, -7.78650269e-02, 3.09858978e-01
4.40612156e-03, 2.84031359e-03, 2.51866262e-02, 6.60537779e-01, 5.56929350e-01, -1.36696428e-01, 3.27801704e-01
4.40612156e-03, 2.84031359e-03, 2.51866262e-02, 6.60537779e-01, 5.56929350e-01, -1.36696428e-01, 3.27801704e-01
5.35608502e-03, 4.24552988e-03, 2.51504201e-02, 2.76566446e-01, 2.25088805e-01, 2.94423825e-03, 1.60671607e-01
5.35608502e-03, 4.24552988e-03, 2.51504201e-02, 2.76566446e-01, 2.25088805e-01, 2.94423825e-03, 1.60671607e-01
5.47555415e-03, 3.84689542e-03, 2.46297773e-02, 2.28871003e-01, 1.81498587e-01, 2.15918366e-02, 1.37746096e-01
5.47555415e-03, 3.84689542e-03, 2.46297773e-02, 2.28871003e-01, 1.81498587e-01, 2.15918366e-02, 1.37746096e-01
5.30600036e-03, 3.32716503e-03, 2.43950207e-02, 2.93993682e-01, 2.44175971e-01, 1.68127380e-03, 1.63730145e-01
5.30600036e-03, 3.32716503e-03, 2.43950207e-02, 2.93993682e-01, 2.44175971e-01, 1.68127380e-03, 1.63730145e-01
