
[Name]
lca

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
3.71847046e-03, 2.40480481e-03, 2.57346034e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.58473682e+00, 7.19124794e+00, -1.44601297e+00, 6.16945553e+00
3.56897549e-03, 2.41114688e-03, 2.55317483e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.08907757e+01, 8.07005882e+00, -1.71945465e+00, 7.10820818e+00
3.78847122e-03, 2.32341816e-03, 2.55660508e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.10838270e+01, 8.38290405e+00, -1.78883684e+00, 7.02696228e+00
3.65009718e-03, 2.34184344e-03, 2.53643356e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.22215710e+01, 9.31660366e+00, -1.99200046e+00, 7.65504026e+00
3.88505287e-03, 2.28122645e-03, 2.53963750e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.34713840e+01, 1.05465012e+01, -2.08991814e+00, 8.11675739e+00
5.02159959e-03, 4.70276177e-03, 2.60171164e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.76452613e+00, 2.95657206e+00, 7.86736459e-02, 2.32898021e+00
4.81319055e-03, 4.69347043e-03, 2.60212719e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.18099189e+00, 2.52785158e+00, 1.48460284e-01, 1.92526257e+00
4.89906408e-03, 4.69235843e-03, 2.61750426e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.38363767e+00, 2.68922138e+00, 1.54867724e-01, 2.04770803e+00
5.16764494e-03, 2.97039258e-03, 2.42638495e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.01342354e+01, 8.40545559e+00, -8.17319080e-02, 5.66077423e+00
5.07651968e-03, 3.10939993e-03, 2.41203085e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.04796124e+00, 7.59384727e+00, 6.21549010e-01, 4.87983227e+00
5.28366119e-03, 3.13329650e-03, 2.42516138e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.61880875e+00, 7.13276339e+00, 3.23931605e-01, 4.82727814e+00
5.19394968e-03, 3.30484728e-03, 2.41297465e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.46163321e+00, 6.15167904e+00, 6.89934075e-01, 4.16615009e+00
5.38547663e-03, 3.30441003e-03, 2.42661256e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.71523523e+00, 5.46048212e+00, 4.97746438e-01, 3.87682414e+00
5.58582041e-03, 4.28091129e-03, 2.48685759e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.67496300e+00, 3.60788751e+00, 8.88136506e-01, 2.83718848e+00
5.38629061e-03, 4.38429322e-03, 2.49061324e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.58845663e+00, 3.53688717e+00, 7.97848701e-01, 2.81208158e+00
5.55797387e-03, 4.40785149e-03, 2.50204504e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.46009874e+00, 3.54285598e+00, 6.43169880e-01, 2.63191628e+00
5.59520163e-03, 4.13890556e-03, 2.47283932e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.79653645e+00, 3.62425780e+00, 1.03944647e+00, 2.96497393e+00
5.41202910e-03, 4.23964858e-03, 2.47340035e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.70635605e+00, 3.55457044e+00, 9.74400282e-01, 2.92666388e+00
5.58870938e-03, 3.98596283e-03, 2.46000662e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.99766159e+00, 3.78618026e+00, 1.08921552e+00, 3.07490993e+00
5.42612700e-03, 4.10414441e-03, 2.46027969e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.86121893e+00, 3.55475569e+00, 1.19388950e+00, 3.09350777e+00
