
[Name]
Streamline 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
6.51638657e-02, -8.39956512e-04, -5.37734292e-02, 3.89830209e-02, 3.33151743e-02, -1.58199128e-02, 1.26295462e-02
6.51638657e-02, -8.39956512e-04, -5.37734292e-02, 3.89830209e-02, 3.33151743e-02, -1.58199128e-02, 1.26295462e-02
1.84398741e-02, -3.94737273e-02, -2.42039487e-02, 2.30932683e-01, 2.02116236e-01, 2.46087648e-02, 1.08964868e-01
1.84398741e-02, -3.94737273e-02, -2.42039487e-02, 2.30932683e-01, 2.02116236e-01, 2.46087648e-02, 1.08964868e-01
1.85121335e-02, -3.89067531e-02, -2.41594128e-02, 2.84550428e-01, 2.50522733e-01, 2.13985778e-02, 1.33226916e-01
1.85121335e-02, -3.89067531e-02, -2.41594128e-02, 2.84550428e-01, 2.50522733e-01, 2.13985778e-02, 1.33226916e-01
1.80991981e-02, -3.91184390e-02, -2.34634969e-02, 2.29333192e-01, 2.08162531e-01, 2.01921761e-02, 9.40975770e-02
1.80991981e-02, -3.91184390e-02, -2.34634969e-02, 2.29333192e-01, 2.08162531e-01, 2.01921761e-02, 9.40975770e-02
1.84049085e-02, -3.86578068e-02, -2.38833278e-02, 2.40448475e-01, 2.14659855e-01, 1.42808594e-02, 1.07390277e-01
1.84049085e-02, -3.86578068e-02, -2.38833278e-02, 2.40448475e-01, 2.14659855e-01, 1.42808594e-02, 1.07390277e-01
5.64244241e-02, 1.21889478e-02, -3.47545631e-02, 1.30348941e-02, 1.07490085e-02, -1.43319345e-03, 7.23278848e-03
5.64244241e-02, 1.21889478e-02, -3.47545631e-02, 1.30348941e-02, 1.07490085e-02, -1.43319345e-03, 7.23278848e-03
5.63782007e-02, 1.15906214e-02, -3.48113626e-02, 1.22152437e-02, 9.87349916e-03, -1.65271759e-03, 6.99962303e-03
5.63782007e-02, 1.15906214e-02, -3.48113626e-02, 1.22152437e-02, 9.87349916e-03, -1.65271759e-03, 6.99962303e-03
5.67906499e-02, 1.19890189e-02, -3.52984406e-02, 2.27039084e-02, 1.88718289e-02, -2.33942806e-03, 1.24035738e-02
5.67906499e-02, 1.19890189e-02, -3.52984406e-02, 2.27039084e-02, 1.88718289e-02, -2.33942806e-03, 1.24035738e-02
5.71253411e-02, 1.24837253e-02, -3.56592089e-02, 1.10365516e-02, 9.16968100e-03, -6.34705124e-04, 6.10897504e-03
5.71253411e-02, 1.24837253e-02, -3.56592089e-02, 1.10365516e-02, 9.16968100e-03, -6.34705124e-04, 6.10897504e-03
5.71546592e-02, 1.19156903e-02, -3.58137973e-02, 1.41976373e-02, 1.20346574e-02, -1.20290578e-03, 7.43592251e-03
5.71546592e-02, 1.19156903e-02, -3.58137973e-02, 1.41976373e-02, 1.20346574e-02, -1.20290578e-03, 7.43592251e-03
-3.64743965e-03, -3.96616459e-02, -6.55589066e-03, 1.87051103e-01, 1.16469063e-01, -8.49922597e-02, 1.19161174e-01
