
[Name]
rca

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
6.53253794e-02, -1.43387134e-03, -5.42026386e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.30732608e-01, 3.40139300e-01, -2.28829041e-01, 1.32185906e-01
6.51686043e-02, -1.27559691e-03, -5.43129630e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.20258307e-01, 4.08233255e-01, -2.65626073e-01, 1.82912827e-01
6.54003173e-02, -1.28383667e-03, -5.43062091e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.31132162e-01, 4.24058527e-01, -2.48884454e-01, 2.00829029e-01
6.53861463e-02, -4.34361922e-04, -5.40894903e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.02264059e-01, 6.44538939e-01, -4.75350618e-01, 4.15562093e-01
6.52122349e-02, -3.02576576e-04, -5.40994518e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.51708806e-01, 5.59239268e-01, -4.09064353e-01, 2.91520029e-01
6.52988851e-02, -3.87387845e-04, -5.39191179e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.43634391e-01, 7.09133267e-01, -5.26381493e-01, 3.32413137e-01
6.51308745e-02, -2.89248186e-04, -5.39113805e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.53041565e-01, 5.78241825e-01, -4.24319476e-01, 2.29479909e-01
6.52026758e-02, -4.15554328e-04, -5.37492149e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.00586367e-01, 7.29621172e-01, -4.96044457e-01, 1.80689245e-01
6.50211796e-02, -1.26966881e-03, -5.36085963e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.89850485e-01, 4.89213169e-01, -2.69309342e-01, 1.89912006e-01
6.49197325e-02, -1.31537893e-03, -5.38011566e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.32355726e-01, 4.15233523e-01, -2.75950223e-01, 1.86641946e-01
6.50709793e-02, -1.41473021e-03, -5.37323840e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.83401924e-01, 3.77988100e-01, -2.42580578e-01, 1.78765416e-01
6.52312785e-02, -1.51149393e-03, -5.40477149e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.61179352e-01, 2.77763128e-01, -1.98531181e-01, 1.17828466e-01
6.50907606e-02, -1.40493352e-03, -5.41121401e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.63644058e-01, 3.55673045e-01, -2.57596910e-01, 1.48681998e-01
6.50213435e-02, -8.87960719e-04, -5.35231829e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.41983020e-01, 7.81703830e-01, -2.86408216e-01, 1.25876561e-01
6.47956729e-02, -9.93295223e-04, -5.35831936e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.19379818e-01, 5.43767035e-01, -2.77165800e-01, 1.05488800e-01
6.50073290e-02, -1.08420430e-03, -5.35415709e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.01814711e-01, 6.29158139e-01, -2.68116623e-01, 1.57535374e-01
6.50506243e-02, -6.93051727e-04, -5.35330400e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.12670016e-01, 8.25766087e-01, -3.75941753e-01, 9.87148359e-02
6.48264512e-02, -7.78972986e-04, -5.35477437e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.25258112e-01, 6.41803801e-01, -3.23177695e-01, 9.82011333e-02
6.54550344e-02, -5.42658207e-04, -5.42399883e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.04364026e-01, 5.85193098e-01, -3.80725056e-01, 3.99498433e-01
6.52899519e-02, -3.88815184e-04, -5.42677790e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.04463303e-01, 5.07274449e-01, -3.63589227e-01, 3.26717049e-01
