
[Name]
Streamline 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
7.87509326e-03, 4.89837267e-02, -3.79430540e-02, 4.62622285e-01, 4.33384389e-01, 1.14908077e-01, -1.13988981e-01
7.87509326e-03, 4.89837267e-02, -3.79430540e-02, 4.62622285e-01, 4.33384389e-01, 1.14908077e-01, -1.13988981e-01
8.04026052e-03, 4.86060195e-02, -3.77246700e-02, 5.89235961e-01, 5.27427673e-01, 1.67186916e-01, -2.02651501e-01
8.04026052e-03, 4.86060195e-02, -3.77246700e-02, 5.89235961e-01, 5.27427673e-01, 1.67186916e-01, -2.02651501e-01
8.01939517e-03, 4.88961935e-02, -3.73845659e-02, 5.72364748e-01, 4.94362116e-01, 1.65036425e-01, -2.36580893e-01
8.01939517e-03, 4.88961935e-02, -3.73845659e-02, 5.72364748e-01, 4.94362116e-01, 1.65036425e-01, -2.36580893e-01
7.87616428e-03, 4.91886735e-02, -3.76023725e-02, 5.78430653e-01, 5.29174030e-01, 1.41545296e-01, -1.85800374e-01
7.87616428e-03, 4.91886735e-02, -3.76023725e-02, 5.78430653e-01, 5.29174030e-01, 1.41545296e-01, -1.85800374e-01
-9.12667532e-03, 4.30533737e-02, 3.71501856e-02, 1.27645999e-01, 9.21698213e-02, -3.76083795e-03, 8.82274434e-02
-9.12667532e-03, 4.30533737e-02, 3.71501856e-02, 1.27645999e-01, 9.21698213e-02, -3.76083795e-03, 8.82274434e-02
-9.29522421e-03, 4.29815054e-02, 3.73326987e-02, 1.82051539e-01, 1.28194213e-01, -1.73465591e-02, 1.28094107e-01
-9.29522421e-03, 4.29815054e-02, 3.73326987e-02, 1.82051539e-01, 1.28194213e-01, -1.73465591e-02, 1.28094107e-01
-9.51352250e-03, 4.29788604e-02, 3.75352427e-02, 1.33848697e-01, 9.96863246e-02, -1.41623598e-02, 8.81903470e-02
-9.51352250e-03, 4.29788604e-02, 3.75352427e-02, 1.33848697e-01, 9.96863246e-02, -1.41623598e-02, 8.81903470e-02
-9.43629071e-03, 4.37787250e-02, 3.75155583e-02, 8.31294581e-02, 6.34360984e-02, 9.52867884e-03, 5.28731719e-02
-9.43629071e-03, 4.37787250e-02, 3.75155583e-02, 8.31294581e-02, 6.34360984e-02, 9.52867884e-03, 5.28731719e-02
-9.06317588e-03, 4.38480079e-02, 3.70793380e-02, 9.99377966e-02, 7.82117769e-02, 1.16566541e-02, 6.11114055e-02
-9.06317588e-03, 4.38480079e-02, 3.70793380e-02, 9.99377966e-02, 7.82117769e-02, 1.16566541e-02, 6.11114055e-02
-9.04907100e-03, 4.34037074e-02, 3.70923914e-02, 1.80062249e-01, 1.38410404e-01, 3.29048699e-03, 1.15126647e-01
-9.04907100e-03, 4.34037074e-02, 3.70923914e-02, 1.80062249e-01, 1.38410404e-01, 3.29048699e-03, 1.15126647e-01
-9.27543640e-03, 4.34146002e-02, 3.73559967e-02, 2.51895338e-01, 1.86052218e-01, -6.89167250e-03, 1.69671267e-01
-9.27543640e-03, 4.34146002e-02, 3.73559967e-02, 2.51895338e-01, 1.86052218e-01, -6.89167250e-03, 1.69671267e-01
-9.29489732e-03, 4.38377783e-02, 3.73536907e-02, 1.43769130e-01, 1.07822716e-01, 1.23523921e-02, 9.42933857e-02
-9.29489732e-03, 4.38377783e-02, 3.73536907e-02, 1.43769130e-01, 1.07822716e-01, 1.23523921e-02, 9.42933857e-02
5.69191687e-02, 5.49178347e-02, 6.19201772e-02, 3.42965215e-01, 3.03719759e-01, -1.29595786e-01, 9.26519334e-02
5.69191687e-02, 5.49178347e-02, 6.19201772e-02, 3.42965215e-01, 3.03719759e-01, -1.29595786e-01, 9.26519334e-02
5.70513979e-02, 5.51115684e-02, 6.22762889e-02, 3.82390112e-01, 3.09928417e-01, -2.07577601e-01, 8.41314644e-02
5.70513979e-02, 5.51115684e-02, 6.22762889e-02, 3.82390112e-01, 3.09928417e-01, -2.07577601e-01, 8.41314644e-02
5.72417229e-02, 5.54472618e-02, 6.20333254e-02, 4.58797038e-01, 3.67362499e-01, -2.65450090e-01, 7.12443814e-02
5.72417229e-02, 5.54472618e-02, 6.20333254e-02, 4.58797038e-01, 3.67362499e-01, -2.65450090e-01, 7.12443814e-02
5.70525900e-02, 5.51100075e-02, 6.18789867e-02, 4.96463299e-01, 4.34725165e-01, -2.25318640e-01, 8.19837525e-02
5.70525900e-02, 5.51100075e-02, 6.18789867e-02, 4.96463299e-01, 4.34725165e-01, -2.25318640e-01, 8.19837525e-02
1.68448109e-02, 4.36754972e-02, -4.32389975e-02, 4.96525794e-01, 4.05339837e-01, 2.80959934e-01, -5.74368536e-02
1.68448109e-02, 4.36754972e-02, -4.32389975e-02, 4.96525794e-01, 4.05339837e-01, 2.80959934e-01, -5.74368536e-02
1.71069056e-02, 4.33591306e-02, -4.33415361e-02, 4.17037576e-01, 3.43368441e-01, 2.27186263e-01, -6.63691312e-02
1.71069056e-02, 4.33591306e-02, -4.33415361e-02, 4.17037576e-01, 3.43368441e-01, 2.27186263e-01, -6.63691312e-02
1.68843847e-02, 4.36915495e-02, -4.35736850e-02, 6.70252621e-01, 6.02623641e-01, 2.93395668e-01, -1.50668714e-03
1.68843847e-02, 4.36915495e-02, -4.35736850e-02, 6.70252621e-01, 6.02623641e-01, 2.93395668e-01, -1.50668714e-03
1.66850556e-02, 4.38275449e-02, -4.36770320e-02, 2.44702056e-01, 2.21154541e-01, 1.04461238e-01, -7.59025989e-03
1.66850556e-02, 4.38275449e-02, -4.36770320e-02, 2.44702056e-01, 2.21154541e-01, 1.04461238e-01, -7.59025989e-03
1.72402598e-02, 4.30099331e-02, -4.34893817e-02, 4.62118179e-01, 3.66406113e-01, 2.79547453e-01, -3.39556634e-02
1.72402598e-02, 4.30099331e-02, -4.34893817e-02, 4.62118179e-01, 3.66406113e-01, 2.79547453e-01, -3.39556634e-02
1.69728063e-02, 4.34139818e-02, -4.39113304e-02, 4.66777414e-01, 3.98445964e-01, 2.42216155e-01, 2.12910660e-02
1.69728063e-02, 4.34139818e-02, -4.39113304e-02, 4.66777414e-01, 3.98445964e-01, 2.42216155e-01, 2.12910660e-02
1.71701815e-02, 4.31278199e-02, -4.38431539e-02, 4.23817098e-01, 3.30644071e-01, 2.64580905e-01, 1.70984771e-02
1.71701815e-02, 4.31278199e-02, -4.38431539e-02, 4.23817098e-01, 3.30644071e-01, 2.64580905e-01, 1.70984771e-02
7.72559503e-03, 4.89453636e-02, -3.79038528e-02, 4.73339021e-01, 4.45345253e-01, 1.10637084e-01, -1.16089948e-01
7.57537363e-03, 4.89100516e-02, -3.78667675e-02, 4.32033926e-01, 4.11241770e-01, 9.17216837e-02, -9.55020338e-02
7.49036763e-03, 4.88919020e-02, -3.78477201e-02, 4.30984139e-01, 4.13142771e-01, 8.44059289e-02, -8.90844315e-02
7.32208183e-03, 4.88608479e-02, -3.78151536e-02, 4.12683874e-01, 4.01548803e-01, 6.62832856e-02, -6.83598295e-02
7.15493597e-03, 4.88362908e-02, -3.77894156e-02, 3.86392772e-01, 3.79740149e-01, 4.89510559e-02, -5.19670695e-02
6.86581340e-03, 4.88095395e-02, -3.77571881e-02, 3.46311301e-01, 3.44694495e-01, 1.86751671e-02, -2.77212970e-02
6.55061472e-03, 4.88017276e-02, -3.77354361e-02, 2.86869854e-01, 2.86455810e-01, -1.99929182e-03, -1.52768837e-02
6.20105956e-03, 4.88115028e-02, -3.77096497e-02, 2.33929813e-01, 2.32666925e-01, -1.18584242e-02, -2.11809855e-02
