
[Name]
lca geom_geom_geom_patch_body

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
2.68247386e-04, 3.85875963e-02, -4.12739068e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.25329936e-01, 7.18924403e-01, -7.27826878e-02, 6.28801435e-02
3.47562600e-04, 3.87028977e-02, -4.14116606e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.86785722e-01, 7.76580453e-01, -1.04947783e-01, 7.02889562e-02
4.16537107e-04, 3.86202112e-02, -4.13220637e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.29226732e-01, 8.21932316e-01, -8.42451677e-02, 7.03348070e-02
-3.13040204e-02, 1.68099105e-02, -1.33637488e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.25258726e-01, 8.68163332e-02, 3.65956008e-01, 1.98454261e-01
-3.13538425e-02, 1.68597903e-02, -1.32168140e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.15218145e-01, 8.85090306e-02, 3.57812405e-01, 1.91161036e-01
-3.12518179e-02, 1.69534739e-02, -1.33157410e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.31242019e-01, 9.46057215e-02, 3.71781439e-01, 1.96972042e-01
-3.18070613e-02, 1.38470521e-02, -1.26460744e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.35973722e-01, 3.21915857e-02, 1.16982862e-01, 6.13805056e-02
-3.19099613e-02, 1.39346747e-02, -1.27337817e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.33839294e-01, 2.84642782e-02, 1.16214901e-01, 5.99736385e-02
-3.18975411e-02, 1.37607064e-02, -1.27630662e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.18961059e-01, 2.30390485e-02, 1.02425672e-01, 5.59456646e-02
-3.17903236e-02, 1.36806052e-02, -1.26764793e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.20636597e-01, 2.70384457e-02, 1.02638192e-01, 5.73368259e-02
-3.12856734e-02, 1.28091490e-02, -1.27559640e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.29553393e-01, 4.02045995e-02, 9.32694152e-02, 8.04269239e-02
-3.12306453e-02, 1.26719149e-02, -1.28088696e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.30848527e-01, 4.17742282e-02, 9.11430269e-02, 8.40785280e-02
-3.11424509e-02, 1.27631323e-02, -1.27055896e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.31646708e-01, 5.34154288e-02, 9.13724527e-02, 7.82861561e-02
-3.13347727e-02, 1.29548358e-02, -1.27026225e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.31406918e-01, 3.95046212e-02, 9.58338603e-02, 8.07652920e-02
-3.14204320e-02, 1.28627345e-02, -1.28133278e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.27041236e-01, 2.97507383e-02, 9.28973630e-02, 8.13907012e-02
-3.07025481e-02, 1.16773993e-02, -1.31432246e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.44873679e-01, 1.21769458e-01, 3.05859149e-02, 7.22847283e-02
-3.05959843e-02, 1.17753083e-02, -1.30499145e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.27026424e-01, 1.16045609e-01, 1.63915772e-02, 4.89943326e-02
-3.07489429e-02, 1.18208630e-02, -1.30864140e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.44733667e-01, 1.13059983e-01, 4.55114767e-02, 7.80639574e-02
-3.07980683e-02, 1.19554242e-02, -1.30314026e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.41804680e-01, 1.02193512e-01, 5.68668358e-02, 8.01948681e-02
-3.08915880e-02, 1.18709775e-02, -1.31309964e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.66876256e-01, 1.03990242e-01, 7.48865679e-02, 1.06891148e-01
-3.06468643e-02, 1.19130071e-02, -1.29947439e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.25064194e-01, 1.08708538e-01, 3.03534567e-02, 5.38718477e-02
-3.14993598e-02, 1.23798363e-02, -1.33156301e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.28294089e-01, -1.34404739e-02, 1.59173161e-01, 1.63099512e-01
-3.14463675e-02, 1.24395359e-02, -1.31766377e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.83858335e-01, 3.41423787e-03, 1.29312143e-01, 1.30654514e-01
-3.15634310e-02, 1.25159994e-02, -1.32573852e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.89097986e-01, -1.69527028e-02, 1.34579182e-01, 1.31753922e-01
-3.11937481e-02, 1.68984234e-02, -1.34569844e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.42611694e-01, 9.50290039e-02, 3.82150054e-01, 2.02079043e-01
