
[Name]
Streamline 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
4.61649299e-02, -2.51143984e-02, -1.69579929e-03, 4.19779271e-01, -9.54074934e-02, 3.76854092e-01, -1.58407852e-01
4.61649299e-02, -2.51143984e-02, -1.69579929e-03, 4.19779271e-01, -9.54074934e-02, 3.76854092e-01, -1.58407852e-01
4.62867878e-02, -2.50927676e-02, -1.84219354e-03, 6.00758433e-01, -1.22369990e-01, 5.73070168e-01, -1.32389158e-01
4.62867878e-02, -2.50927676e-02, -1.84219354e-03, 6.00758433e-01, -1.22369990e-01, 5.73070168e-01, -1.32389158e-01
4.58703749e-02, -2.52007004e-02, -1.69841049e-03, 4.30565953e-01, -8.18699375e-02, 3.95059586e-01, -1.50373772e-01
4.58703749e-02, -2.52007004e-02, -1.69841049e-03, 4.30565953e-01, -8.18699375e-02, 3.95059586e-01, -1.50373772e-01
4.64169569e-02, -2.51270067e-02, -2.09433795e-03, 5.34083307e-01, -1.27562135e-01, 5.18615603e-01, 3.27907479e-03
4.64169569e-02, -2.51270067e-02, -2.09433795e-03, 5.34083307e-01, -1.27562135e-01, 5.18615603e-01, 3.27907479e-03
4.59750928e-02, -2.51580980e-02, -1.84506108e-03, 6.48954213e-01, -1.18741944e-01, 6.10134125e-01, -1.86489418e-01
4.59750928e-02, -2.51580980e-02, -1.84506108e-03, 6.48954213e-01, -1.18741944e-01, 6.10134125e-01, -1.86489418e-01
4.62860055e-02, -2.51080785e-02, -1.97634078e-03, 6.36119783e-01, -1.26054451e-01, 6.19018197e-01, -7.46665448e-02
4.62860055e-02, -2.51080785e-02, -1.97634078e-03, 6.36119783e-01, -1.26054451e-01, 6.19018197e-01, -7.46665448e-02
4.56056185e-02, -2.52934583e-02, -1.78205373e-03, 5.01472473e-01, -1.01655506e-01, 4.73596841e-01, -1.29795358e-01
4.56056185e-02, -2.52934583e-02, -1.78205373e-03, 5.01472473e-01, -1.01655506e-01, 4.73596841e-01, -1.29795358e-01
4.61205207e-02, -2.52332892e-02, -2.27264664e-03, 4.62416083e-01, -9.85372066e-02, 4.51265752e-01, -2.18694378e-02
