
[Name]
lca

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
-2.01092958e-02, -3.18441540e-02, 8.41256813e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.76903534e-01, -1.34488605e-02, -7.98216313e-02, -3.68108541e-01
-2.00170260e-02, -3.17436531e-02, 9.30386246e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.95874411e-01, -3.06938682e-02, -9.98305231e-02, -3.81848514e-01
-1.99963693e-02, -3.17605697e-02, 7.59650953e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.49743664e-01, -3.20554408e-03, -7.39680231e-02, -3.41817319e-01
-2.01078914e-02, -3.35312076e-02, 1.88847678e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.35380065e-01, -1.83844879e-01, -1.54587433e-01, -4.78472143e-01
-2.00121012e-02, -3.36355530e-02, 1.80313084e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.41029572e-01, -1.67470157e-01, -1.65307745e-01, -4.87175614e-01
-1.99657045e-02, -3.35847400e-02, 1.94700027e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.51527083e-01, -1.61421895e-01, -1.80605486e-01, -4.95486379e-01
-2.01564245e-02, -3.35804522e-02, 1.74689398e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.22469938e-01, -1.82265997e-01, -1.49452329e-01, -4.66280997e-01
-2.07823236e-02, -3.28433551e-02, 8.63150461e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.97188431e-01, -1.99746303e-02, -2.81724054e-02, -2.95175016e-01
-2.08067037e-02, -3.29990499e-02, 8.48160300e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.07804525e-01, -2.27594841e-02, -3.24216112e-02, -3.05244923e-01
-2.07826048e-02, -3.29124220e-02, 1.01275917e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.89965242e-01, -3.24618295e-02, -2.30773166e-02, -2.87216842e-01
