
[Name]
rca

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
3.43443267e-02, 3.88732702e-02, -1.56513304e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.01320672e+00, 1.97745335e+00, -3.31592739e-01, -1.80902615e-01
3.45140919e-02, 3.88267040e-02, -1.56691484e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.04834223e+00, 2.01147699e+00, -3.27425629e-01, -2.06055433e-01
3.44857089e-02, 3.89830880e-02, -1.56627018e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.04798126e+00, 2.02279496e+00, -2.76486069e-01, -1.61503613e-01
3.43215130e-02, 3.90340053e-02, -1.56530216e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.02213001e+00, 2.00201035e+00, -2.45761037e-01, -1.43409595e-01
3.41980606e-02, 3.89483720e-02, -1.56377852e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.07986450e+00, 2.05423355e+00, -2.87144989e-01, -1.53325394e-01
3.41674089e-02, 3.88026088e-02, -1.56453457e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.08141184e+00, 2.04547215e+00, -3.33918691e-01, -1.91878289e-01
3.36890295e-02, 3.89217436e-02, -1.56017514e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.26717710e+00, 2.24685836e+00, -2.51565456e-01, -1.68625399e-01
3.35473530e-02, 3.89097854e-02, -1.55929700e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.30547142e+00, 2.28600335e+00, -2.49806479e-01, -1.64265200e-01
3.36111970e-02, 3.87674235e-02, -1.56145934e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.28810787e+00, 2.26011157e+00, -2.94001549e-01, -2.02230319e-01
3.41869667e-02, 3.96736041e-02, -1.77034084e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.76890528e+00, 1.68606198e+00, -8.86251777e-02, -5.27604342e-01
3.42863165e-02, 3.97739634e-02, -1.75879803e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.79661739e+00, 1.71368861e+00, -5.37679940e-02, -5.36855936e-01
3.43532935e-02, 3.96951661e-02, -1.77191850e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.67273605e+00, 1.59347308e+00, -5.70562370e-02, -5.05602777e-01
3.42617035e-02, 3.95861715e-02, -1.78206991e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.67125452e+00, 1.58621252e+00, -9.72121805e-02, -5.17273128e-01
