
[Name]
aorta

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
-2.71523520e-02, -2.52167066e-03, 1.68094914e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.96917021e-01, 4.78787243e-01, -6.32635951e-01, -7.49085322e-02
-2.70794071e-02, -2.67926045e-03, 1.67879201e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.46067679e+00, 6.82026744e-01, -1.21901083e+00, 4.27116781e-01
-2.69832499e-02, -2.59478553e-03, 1.68011859e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.41715407e+00, 6.48771703e-01, -1.19871247e+00, 3.87955219e-01
-2.72708703e-02, -2.64182081e-03, 1.67907346e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.03849161e-01, 5.16169548e-01, -6.12139702e-01, -7.09048659e-02
-2.71832161e-02, -2.77450029e-03, 1.67724490e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.65686977e+00, 8.65406930e-01, -1.29272985e+00, 5.70208430e-01
-2.69950535e-02, -2.04203068e-03, 1.68726407e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.85912716e-01, 1.55635014e-01, -3.51017147e-01, -3.86436991e-02
-2.72637736e-02, -2.11529969e-03, 1.68637130e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.81875402e-01, 1.52759835e-01, -2.35293627e-01, -2.74787061e-02
-2.70412788e-02, -2.23439001e-03, 1.68495905e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.10638893e-01, 2.49458745e-01, -4.42718357e-01, -5.02276607e-02
-2.68498547e-02, -2.14136392e-03, 1.68612562e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.74756503e-01, 2.14063674e-01, -5.30628324e-01, -5.43637462e-02
-2.68554538e-02, -2.31355918e-03, 1.68422163e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.96494746e-01, 3.99564981e-01, -7.97607124e-01, -8.87330547e-02
-2.70266794e-02, -2.42360262e-03, 1.68243609e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.66077542e-01, 4.51691538e-01, -7.34085917e-01, -8.47519785e-02
-2.77403183e-02, -1.94390595e-03, 1.68831144e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.97612604e-02, 1.23336706e-02, -2.69326996e-02, -2.87104351e-03
-2.75076516e-02, -1.85129256e-03, 1.68945044e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.03459738e-01, 3.75985876e-02, -9.58228260e-02, -1.04043670e-02
