
[Name]
rca

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
1.72746219e-02, -1.72634292e-02, 4.18494754e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.26151514e+00, 1.18930471e+00, 4.31552458e+00, 5.71763945e+00
1.72293670e-02, -1.72581822e-02, 4.19757701e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.48198223e+00, 1.14475965e+00, 4.91969252e+00, 6.81396914e+00
1.73269864e-02, -1.71679240e-02, 4.19149362e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.18379164e+00, 9.39042628e-01, 4.04701376e+00, 5.86060953e+00
1.73639283e-02, -1.71926860e-02, 4.17752117e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.69316387e+00, 6.76439762e-01, 2.63201904e+00, 3.82631564e+00
1.71868876e-02, -1.73714664e-02, 4.18609530e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.52989340e+00, 7.39528060e-01, 4.78729343e+00, 5.76491213e+00
1.74176972e-02, -1.70871038e-02, 4.18600515e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.90260267e+00, 1.22578517e-01, 1.28516781e+00, 3.68288302e+00
1.72800925e-02, -1.73224844e-02, 4.17138487e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.47523355e+00, 9.56947386e-01, 4.27532196e+00, 4.76807308e+00
1.71326492e-02, -1.73452795e-02, 4.20347862e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.09336233e+00, 6.61858678e-01, 4.31206369e+00, 5.59319592e+00
1.74592119e-02, -1.70888752e-02, 4.16853726e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.97397041e+00, 4.62903202e-01, 5.91693521e-01, 1.82542562e+00
1.73853245e-02, -1.72568355e-02, 4.15652990e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.77320147e+00, 9.74656880e-01, 2.50949430e+00, 2.64377236e+00
1.70960613e-02, -1.74502824e-02, 4.19563800e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.05441952e+00, 3.85051876e-01, 4.03346395e+00, 4.49876642e+00
1.72121786e-02, -1.74451284e-02, 4.17143404e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.46473694e+00, 9.34226453e-01, 5.76950884e+00, 6.12305260e+00
1.75954960e-02, -1.71040036e-02, 4.18470092e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.44010019e+00, 1.09968710e+00, 1.01148272e+00, 3.09869003e+00
1.72811113e-02, -1.74271055e-02, 4.15645465e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.50876188e+00, 1.16990089e+00, 4.54438114e+00, 4.51042271e+00
1.71324406e-02, -1.75204724e-02, 4.17967625e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.93108702e+00, 6.48180246e-01, 5.27351475e+00, 5.88829756e+00
1.70132201e-02, -1.74671113e-02, 4.21153307e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.81319571e+00, 5.43849647e-01, 3.40123010e+00, 3.36195135e+00
1.75092854e-02, -1.72733199e-02, 4.16419879e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.90799999e+00, 1.45516419e+00, 2.32614350e+00, 2.78280759e+00
1.73421092e-02, -1.73999947e-02, 4.13786396e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.51152968e+00, 7.50077605e-01, 2.62419057e+00, 2.20949078e+00
1.69967227e-02, -1.76419578e-02, 4.19624150e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.22211504e+00, 2.65786469e-01, 3.64796019e+00, 3.72722793e+00
1.71727855e-02, -1.75612997e-02, 4.16209958e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.75271511e+00, 1.29701436e+00, 5.94169378e+00, 6.29476357e+00
1.74499732e-02, -1.74292978e-02, 4.15006392e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.05942297e+00, 1.35148180e+00, 3.64459705e+00, 3.23854446e+00
1.76060423e-02, -1.73695870e-02, 4.17642854e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.12248421e+00, 1.73068917e+00, 3.21682715e+00, 3.59118104e+00
1.72331315e-02, -1.75924134e-02, 4.13853079e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.63481283e+00, 1.02451205e+00, 4.27634001e+00, 3.52340817e+00
1.70709435e-02, -1.76854581e-02, 4.16967534e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.93141270e+00, 5.58856785e-01, 5.46615314e+00, 5.71980429e+00
1.72522962e-02, -1.76232364e-02, 4.21697646e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.83469486e+00, 8.62033248e-01, 3.96712184e+00, 4.19076443e+00
1.75750591e-02, -1.74525119e-02, 4.18662205e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.58089924e+00, 1.31527579e+00, 4.28916073e+00, 4.81470490e+00
1.75847355e-02, -1.73775516e-02, 4.19958606e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.27841473e+00, 1.25552452e+00, 4.61735582e+00, 5.48443270e+00
1.75058488e-02, -1.74857657e-02, 4.20640409e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.80634594e+00, 1.00684464e+00, 4.78196335e+00, 6.08753824e+00
1.74586661e-02, -1.76078901e-02, 4.19966392e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.98251295e+00, 1.40983903e+00, 4.35513163e+00, 5.27263403e+00
1.75389927e-02, -1.74527764e-02, 4.16321307e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.92887735e+00, 1.62364280e+00, 4.03150988e+00, 4.03265429e+00
1.76740624e-02, -1.72711350e-02, 4.19273451e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.22907400e+00, 1.55279422e+00, 3.03659892e+00, 3.96372437e+00
1.74071826e-02, -1.75958276e-02, 4.13919538e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.48599052e+00, 1.30146456e+00, 4.20592356e+00, 3.27299428e+00
1.73332896e-02, -1.75589677e-02, 4.12665084e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.81596518e+00, 6.68945670e-01, 2.25778770e+00, 1.54420424e+00
1.70292631e-02, -1.78720541e-02, 4.17864062e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.60114574e+00, 7.87947655e-01, 4.64975214e+00, 4.61888170e+00
1.71872843e-02, -1.77896284e-02, 4.19738479e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.87106895e+00, 3.91840041e-01, 4.11907768e+00, 4.16522694e+00
1.71279497e-02, -1.77078713e-02, 4.15240377e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.07535172e+00, 1.05811143e+00, 6.84552288e+00, 5.86355114e+00
1.74315125e-02, -1.75849795e-02, 4.21268046e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.34127188e+00, 9.75959063e-01, 4.11169004e+00, 4.72792149e+00
1.74582526e-02, -1.76658873e-02, 4.18386012e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.37229061e+00, 1.49231863e+00, 5.66664028e+00, 5.97975111e+00
1.75475162e-02, -1.75616294e-02, 4.17180508e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.13847589e+00, 1.55198550e+00, 4.92915201e+00, 4.92469740e+00
1.75162721e-02, -1.76319927e-02, 4.15312909e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.97330284e+00, 1.56356847e+00, 5.20005274e+00, 4.37511778e+00
1.72606595e-02, -1.76638495e-02, 4.11999673e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.88982987e+00, 1.11328590e+00, 2.18359542e+00, 1.53088915e+00
1.70459896e-02, -1.78245027e-02, 4.16205972e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.78735161e+00, 1.17649364e+00, 6.60606050e+00, 5.67392111e+00
1.73632316e-02, -1.77207980e-02, 4.20167819e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.65869904e+00, 1.11736989e+00, 4.49916077e+00, 4.77988577e+00
1.71868876e-02, -1.77358724e-02, 4.13356349e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.78127146e+00, 1.41682816e+00, 6.17875624e+00, 4.51262236e+00
1.74915697e-02, -1.77169442e-02, 4.16427180e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.13488007e+00, 1.21889138e+00, 5.92624044e+00, 5.43785334e+00
1.73418447e-02, -1.77244786e-02, 4.12506424e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.63261223e+00, 1.54685390e+00, 3.71714306e+00, 2.29154634e+00
1.74252354e-02, -1.77902170e-02, 4.13562655e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.52992296e+00, 1.98784733e+00, 6.01169157e+00, 4.07526255e+00
1.73558295e-02, -1.78618748e-02, 4.18655202e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.19197273e+00, 7.49671757e-01, 5.14063072e+00, 4.97356796e+00
1.69628672e-02, -1.80281904e-02, 4.16162014e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.02580929e+00, 1.43024075e+00, 5.94438982e+00, 5.19925594e+00
1.71979833e-02, -1.79712344e-02, 4.18149792e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.98630285e+00, 9.65438008e-01, 5.05102491e+00, 4.72900677e+00
1.70751382e-02, -1.78835876e-02, 4.14565019e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.09589634e+01, 1.86179936e+00, 8.49957466e+00, 6.66256809e+00
1.74041837e-02, -1.78540852e-02, 4.16978151e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.14413261e+00, 1.02981246e+00, 5.71613407e+00, 5.70895720e+00
