
[Name]
Streamline 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
-5.87199209e-03, -3.38334925e-02, -9.78029426e-03, 7.20813751e-01, 7.02966988e-01, 1.43063813e-01, -7.03038722e-02
-5.87199209e-03, -3.38334925e-02, -9.78029426e-03, 7.20813751e-01, 7.02966988e-01, 1.43063813e-01, -7.03038722e-02
-5.89998811e-03, -3.36509794e-02, -9.68676526e-03, 7.91673124e-01, 7.81201005e-01, 1.05597064e-01, -7.29422420e-02
-5.89998811e-03, -3.36509794e-02, -9.68676526e-03, 7.91673124e-01, 7.81201005e-01, 1.05597064e-01, -7.29422420e-02
4.00050543e-02, -5.48850819e-02, 1.50917275e-02, 2.50859410e-01, 2.32117996e-01, -7.73561448e-02, -5.53868078e-02
4.00050543e-02, -5.48850819e-02, 1.50917275e-02, 2.50859410e-01, 2.32117996e-01, -7.73561448e-02, -5.53868078e-02
3.99453826e-02, -5.49231581e-02, 1.53177707e-02, 3.35302949e-01, 3.27335924e-01, -6.08049408e-02, -3.97747643e-02
3.99453826e-02, -5.49231581e-02, 1.53177707e-02, 3.35302949e-01, 3.27335924e-01, -6.08049408e-02, -3.97747643e-02
3.98856774e-02, -5.51139861e-02, 1.49596389e-02, 1.95942655e-01, 1.87342197e-01, -4.67057563e-02, -3.33915278e-02
3.98856774e-02, -5.51139861e-02, 1.49596389e-02, 1.95942655e-01, 1.87342197e-01, -4.67057563e-02, -3.33915278e-02
3.97455916e-02, -5.53585775e-02, 1.48965307e-02, 7.94309899e-02, 7.69564211e-02, -1.39204124e-02, -1.39001058e-02
3.97455916e-02, -5.53585775e-02, 1.48965307e-02, 7.94309899e-02, 7.69564211e-02, -1.39204124e-02, -1.39001058e-02
3.98414545e-02, -5.49605973e-02, 1.58219524e-02, 2.81457514e-01, 2.46552780e-01, -1.31860584e-01, -3.22931744e-02
3.98414545e-02, -5.49605973e-02, 1.58219524e-02, 2.81457514e-01, 2.46552780e-01, -1.31860584e-01, -3.22931744e-02
3.97875905e-02, -5.51037043e-02, 1.56099778e-02, 3.51582199e-01, 3.47022593e-01, -5.36203347e-02, -1.76130272e-02
3.97875905e-02, -5.51037043e-02, 1.56099778e-02, 3.51582199e-01, 3.47022593e-01, -5.36203347e-02, -1.76130272e-02
3.95717397e-02, -5.55023290e-02, 1.54295824e-02, 2.03604192e-01, 1.98286101e-01, 1.87407415e-02, -4.22619358e-02
3.95717397e-02, -5.55023290e-02, 1.54295824e-02, 2.03604192e-01, 1.98286101e-01, 1.87407415e-02, -4.22619358e-02
1.03574782e-03, -4.58387099e-02, -1.72057394e-02, 6.07729435e-01, 4.88604009e-02, -5.60186446e-01, 2.30518624e-01
1.03574782e-03, -4.58387099e-02, -1.72057394e-02, 6.07729435e-01, 4.88604009e-02, -5.60186446e-01, 2.30518624e-01
1.21714023e-03, -4.58313040e-02, -1.75266974e-02, 8.01655054e-01, 1.93326436e-02, -7.60550141e-01, 2.52666831e-01
1.21714023e-03, -4.58313040e-02, -1.75266974e-02, 8.01655054e-01, 1.93326436e-02, -7.60550141e-01, 2.52666831e-01
1.50966551e-03, -4.58114780e-02, -1.75416693e-02, 6.51648402e-01, -3.00285872e-02, -6.17753685e-01, 2.05242068e-01
1.50966551e-03, -4.58114780e-02, -1.75416693e-02, 6.51648402e-01, -3.00285872e-02, -6.17753685e-01, 2.05242068e-01
1.12723256e-03, -4.58407067e-02, -1.77334864e-02, 6.76634490e-01, -2.40601157e-03, -6.17234886e-01, 2.77217448e-01
1.12723256e-03, -4.58407067e-02, -1.77334864e-02, 6.76634490e-01, -2.40601157e-03, -6.17234886e-01, 2.77217448e-01
1.39555149e-02, -3.52567844e-02, 3.47076803e-02, 3.04423928e-01, 2.96847552e-01, 6.60087168e-02, 1.40822548e-02
1.39555149e-02, -3.52567844e-02, 3.47076803e-02, 3.04423928e-01, 2.96847552e-01, 6.60087168e-02, 1.40822548e-02
1.38925761e-02, -3.47940288e-02, 3.45115103e-02, 2.11356044e-01, 2.01783001e-01, 6.26891851e-02, 5.00641484e-03
1.38925761e-02, -3.47940288e-02, 3.45115103e-02, 2.11356044e-01, 2.01783001e-01, 6.26891851e-02, 5.00641484e-03
1.39496615e-02, -3.56772318e-02, 3.45487893e-02, 2.71964073e-01, 2.69853801e-01, 3.15844491e-02, -1.20749455e-02
1.39496615e-02, -3.56772318e-02, 3.45487893e-02, 2.71964073e-01, 2.69853801e-01, 3.15844491e-02, -1.20749455e-02
1.39246937e-02, -3.54770347e-02, 3.44760120e-02, 4.17182624e-01, 4.10612881e-01, 6.60888702e-02, 3.27207558e-02
1.39246937e-02, -3.54770347e-02, 3.44760120e-02, 4.17182624e-01, 4.10612881e-01, 6.60888702e-02, 3.27207558e-02
1.38248401e-02, -3.48379649e-02, 3.41359302e-02, 2.66703993e-01, 2.61089891e-01, 5.14057204e-02, 1.79035980e-02
1.38248401e-02, -3.48379649e-02, 3.41359302e-02, 2.66703993e-01, 2.61089891e-01, 5.14057204e-02, 1.79035980e-02
1.37639539e-02, -3.49162295e-02, 3.37865613e-02, 1.77691251e-01, 1.75429925e-01, 2.02233139e-02, 1.97367147e-02
1.37639539e-02, -3.49162295e-02, 3.37865613e-02, 1.77691251e-01, 1.75429925e-01, 2.02233139e-02, 1.97367147e-02
1.37849608e-02, -3.54418457e-02, 3.37394103e-02, 2.03135729e-01, 1.97623402e-01, 3.59026827e-02, 3.03333476e-02
