
[Name]
lca

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
3.94850112e-02, -5.56102619e-02, 1.55568849e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.18592501e+01, 1.06870203e+01, 3.81030154e+00, -3.45123410e+00
3.94629873e-02, -5.56102730e-02, 1.56940408e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.17473116e+01, 1.04930334e+01, 3.35174894e+00, -4.08183193e+00
3.93592045e-02, -5.56535013e-02, 1.55819990e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.07202320e+01, 9.34259510e+00, 3.74106383e+00, -3.69374251e+00
3.93500887e-02, -5.56514300e-02, 1.57388225e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.60676765e+00, 8.51508808e+00, 2.25407052e+00, -3.83437347e+00
3.94589789e-02, -5.55811860e-02, 1.58303045e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.14574833e+01, 9.88460827e+00, 1.84232628e+00, -5.49311113e+00
3.94855104e-02, -5.53145334e-02, 1.61120761e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.54161072e+00, 6.87610531e+00, -2.97414136e+00, -5.90897655e+00
3.95327620e-02, -5.54163903e-02, 1.60011537e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.20171156e+01, 8.96496773e+00, -1.70632029e+00, -7.81849623e+00
3.95899229e-02, -5.53121716e-02, 1.60438083e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.27430248e+01, 8.90804768e+00, -4.32660627e+00, -8.01946640e+00
3.94059755e-02, -5.55208027e-02, 1.59818437e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.01200304e+01, 8.17253017e+00, 1.09493196e-01, -5.96764517e+00
3.94871682e-02, -5.55096306e-02, 1.59284584e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.34685040e+01, 1.07708654e+01, 7.05041885e-01, -8.05555534e+00
3.99742909e-02, -5.47680855e-02, 1.57309603e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.56560011e+01, 9.92173767e+00, -1.10832930e+01, -4.88160753e+00
3.98773253e-02, -5.47089055e-02, 1.58193260e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.55534077e+00, 6.56640339e+00, -5.96090841e+00, -3.55731034e+00
3.99190634e-02, -5.48302419e-02, 1.58372186e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.53420734e+01, 9.30456734e+00, -1.10652227e+01, -5.13469315e+00
