
[Name]
Streamline 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
4.87008505e-02, 1.03528639e-02, 1.68434181e-03, 4.35964577e-02, -1.16459941e-02, -3.95244993e-02, 1.42420474e-02
4.87008505e-02, 1.03528639e-02, 1.68434181e-03, 4.35964577e-02, -1.16459941e-02, -3.95244993e-02, 1.42420474e-02
4.90197614e-02, 1.03489561e-02, 1.71140116e-03, 1.79312691e-01, -3.38694528e-02, -1.54207438e-01, 8.50056708e-02
4.90197614e-02, 1.03489561e-02, 1.71140116e-03, 1.79312691e-01, -3.38694528e-02, -1.54207438e-01, 8.50056708e-02
4.89481091e-02, 1.03694964e-02, 2.02412833e-03, 1.30034566e-01, -3.13420929e-02, -1.20668799e-01, 3.69553789e-02
4.89481091e-02, 1.03694964e-02, 2.02412833e-03, 1.30034566e-01, -3.13420929e-02, -1.20668799e-01, 3.69553789e-02
4.87448499e-02, 1.03349332e-02, 1.40610372e-03, 1.10589946e-02, -3.06926272e-03, -7.66235450e-03, 7.35998107e-03
4.87448499e-02, 1.03349332e-02, 1.40610372e-03, 1.10589946e-02, -3.06926272e-03, -7.66235450e-03, 7.35998107e-03
4.91086617e-02, 1.03226537e-02, 1.31016294e-03, 1.14381261e-01, -2.12418828e-02, -9.14203972e-02, 6.53771162e-02
4.91086617e-02, 1.03226537e-02, 1.31016294e-03, 1.14381261e-01, -2.12418828e-02, -9.14203972e-02, 6.53771162e-02
4.94049713e-02, 1.03399316e-02, 1.67432032e-03, 3.43010217e-01, -4.64659855e-02, -2.82636762e-01, 1.88715070e-01
4.94049713e-02, 1.03399316e-02, 1.67432032e-03, 3.43010217e-01, -4.64659855e-02, -2.82636762e-01, 1.88715070e-01
4.92845215e-02, 1.03771714e-02, 2.24395795e-03, 2.58105040e-01, -4.72937562e-02, -2.34945104e-01, 9.58244056e-02
4.92845215e-02, 1.03771714e-02, 2.24395795e-03, 2.58105040e-01, -4.72937562e-02, -2.34945104e-01, 9.58244056e-02
4.95780557e-02, 1.03939120e-02, 2.59861141e-03, 1.64318800e-01, -1.52577255e-02, -1.56409040e-01, 4.80008647e-02
4.95780557e-02, 1.03939120e-02, 2.59861141e-03, 1.64318800e-01, -1.52577255e-02, -1.56409040e-01, 4.80008647e-02
4.98338230e-02, 1.02901589e-02, 9.88922082e-04, 9.01021063e-02, -1.28497649e-02, -7.06812590e-02, 5.43822795e-02
4.98338230e-02, 1.02901589e-02, 9.88922082e-04, 9.01021063e-02, -1.28497649e-02, -7.06812590e-02, 5.43822795e-02
4.94386479e-02, 1.03100296e-02, 1.19904347e-03, 1.70492545e-01, -2.81941835e-02, -1.35028750e-01, 1.00199960e-01
4.94386479e-02, 1.03100296e-02, 1.19904347e-03, 1.70492545e-01, -2.81941835e-02, -1.35028750e-01, 1.00199960e-01
4.98239212e-02, 1.03212334e-02, 1.48994289e-03, 4.00456250e-01, -5.39260991e-02, -3.22629482e-01, 2.31013864e-01
