
[Name]
Streamline 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
7.10661802e-03, -3.08207478e-02, 2.22628508e-02, 1.66530147e-01, -6.41032904e-02, 5.58923073e-02, 1.43175095e-01
7.10661802e-03, -3.08207478e-02, 2.22628508e-02, 1.66530147e-01, -6.41032904e-02, 5.58923073e-02, 1.43175095e-01
7.45828869e-03, -3.00702043e-02, 2.22708788e-02, 1.97144091e-01, -8.21285993e-02, 7.83459395e-02, 1.61191180e-01
7.45828869e-03, -3.00702043e-02, 2.22708788e-02, 1.97144091e-01, -8.21285993e-02, 7.83459395e-02, 1.61191180e-01
7.90750608e-03, -3.10911685e-02, 2.29358841e-02, 1.14556447e-01, -4.86019775e-02, 4.36440334e-02, 9.41075161e-02
7.90750608e-03, -3.10911685e-02, 2.29358841e-02, 1.14556447e-01, -4.86019775e-02, 4.36440334e-02, 9.41075161e-02
7.39967218e-03, -3.08964457e-02, 2.25014314e-02, 2.39831477e-01, -9.22674090e-02, 8.41954425e-02, 2.04736397e-01
7.39967218e-03, -3.08964457e-02, 2.25014314e-02, 2.39831477e-01, -9.22674090e-02, 8.41954425e-02, 2.04736397e-01
7.29770632e-03, -3.05382088e-02, 2.23086495e-02, 2.86424130e-01, -1.14951849e-01, 1.03428587e-01, 2.41096228e-01
7.29770632e-03, -3.05382088e-02, 2.23086495e-02, 2.86424130e-01, -1.14951849e-01, 1.03428587e-01, 2.41096228e-01
7.66186137e-03, -3.01339049e-02, 2.24402882e-02, 2.98276693e-01, -1.22722581e-01, 1.22596338e-01, 2.42648512e-01
7.66186137e-03, -3.01339049e-02, 2.24402882e-02, 2.98276693e-01, -1.22722581e-01, 1.22596338e-01, 2.42648512e-01
8.41660425e-03, -2.98973005e-02, 2.29120068e-02, 1.40143305e-01, -5.59405684e-02, 5.85091300e-02, 1.14400536e-01
8.41660425e-03, -2.98973005e-02, 2.29120068e-02, 1.40143305e-01, -5.59405684e-02, 5.85091300e-02, 1.14400536e-01
7.94839393e-03, -2.99855638e-02, 2.26000194e-02, 2.64125675e-01, -1.06369346e-01, 1.13214120e-01, 2.13612959e-01
7.94839393e-03, -2.99855638e-02, 2.26000194e-02, 2.64125675e-01, -1.06369346e-01, 1.13214120e-01, 2.13612959e-01
7.87417684e-03, -3.08810119e-02, 2.28420924e-02, 2.19610274e-01, -9.13020521e-02, 8.47807154e-02, 1.80844784e-01
7.87417684e-03, -3.08810119e-02, 2.28420924e-02, 2.19610274e-01, -9.13020521e-02, 8.47807154e-02, 1.80844784e-01
8.47801473e-03, -3.06356326e-02, 2.32009459e-02, 9.36158076e-02, -4.13480625e-02, 3.41014452e-02, 7.67551214e-02
8.47801473e-03, -3.06356326e-02, 2.32009459e-02, 9.36158076e-02, -4.13480625e-02, 3.41014452e-02, 7.67551214e-02
8.21551774e-03, -3.07249185e-02, 2.30391975e-02, 1.81224272e-01, -7.93328956e-02, 6.96509182e-02, 1.47299960e-01
8.21551774e-03, -3.07249185e-02, 2.30391975e-02, 1.81224272e-01, -7.93328956e-02, 6.96509182e-02, 1.47299960e-01
7.68612977e-03, -3.05603351e-02, 2.25990079e-02, 3.58673871e-01, -1.47595957e-01, 1.40865624e-01, 2.94990242e-01
7.68612977e-03, -3.05603351e-02, 2.25990079e-02, 3.58673871e-01, -1.47595957e-01, 1.40865624e-01, 2.94990242e-01
8.34700838e-03, -2.99971197e-02, 2.28943061e-02, 1.86514139e-01, -7.54932389e-02, 7.69978687e-02, 1.52182862e-01
8.34700838e-03, -2.99971197e-02, 2.28943061e-02, 1.86514139e-01, -7.54932389e-02, 7.69978687e-02, 1.52182862e-01
7.55791813e-02, -3.75070646e-02, 5.75365033e-04, 1.10760450e-01, 7.40724802e-02, 7.71376789e-02, 2.88257319e-02
7.55791813e-02, -3.75070646e-02, 5.75365033e-04, 1.10760450e-01, 7.40724802e-02, 7.71376789e-02, 2.88257319e-02
7.55240098e-02, -3.72953229e-02, 4.46422637e-04, 1.44425482e-01, 1.00099392e-01, 9.79187563e-02, 3.53659466e-02
7.55240098e-02, -3.72953229e-02, 4.46422637e-04, 1.44425482e-01, 1.00099392e-01, 9.79187563e-02, 3.53659466e-02
7.52291381e-02, -3.72949280e-02, 7.40468677e-04, 1.22775085e-01, 8.62406790e-02, 8.23852867e-02, 2.91364193e-02
7.52291381e-02, -3.72949280e-02, 7.40468677e-04, 1.22775085e-01, 8.62406790e-02, 8.23852867e-02, 2.91364193e-02
7.52068907e-02, -3.70803587e-02, 5.76187333e-04, 1.10666074e-01, 7.93151408e-02, 7.15694502e-02, 2.88773663e-02
7.52068907e-02, -3.70803587e-02, 5.76187333e-04, 1.10666074e-01, 7.93151408e-02, 7.15694502e-02, 2.88773663e-02
7.19376560e-03, -3.08966748e-02, 2.20678020e-02, 1.60967767e-01, -6.17856495e-02, 5.37917651e-02, 1.38562620e-01
7.36614875e-03, -3.10465861e-02, 2.16800068e-02, 1.64079949e-01, -6.27346635e-02, 5.44983968e-02, 1.41479746e-01
7.56409392e-03, -3.12183984e-02, 2.12311484e-02, 1.61808610e-01, -6.13864660e-02, 5.32338917e-02, 1.39928132e-01
7.70421606e-03, -3.13400142e-02, 2.09134854e-02, 1.66531742e-01, -6.36696070e-02, 5.53468913e-02, 1.43581763e-01
7.91557226e-03, -3.15249451e-02, 2.04410739e-02, 1.83218539e-01, -7.08290190e-02, 6.22647069e-02, 1.57084018e-01
8.09297804e-03, -3.16804908e-02, 2.00531688e-02, 1.78131223e-01, -7.03817829e-02, 6.15737475e-02, 1.51610717e-01
8.28861445e-03, -3.18549462e-02, 1.96367167e-02, 1.89245671e-01, -7.56132826e-02, 6.86198696e-02, 1.59335718e-01
8.46040901e-03, -3.20135877e-02, 1.92757156e-02, 1.90032229e-01, -7.58089423e-02, 7.11857677e-02, 1.59052938e-01
8.65494646e-03, -3.21965292e-02, 1.88794881e-02, 1.97992563e-01, -8.21182653e-02, 7.73795992e-02, 1.62696168e-01
8.91084038e-03, -3.24422121e-02, 1.83873717e-02, 2.06780091e-01, -8.84681493e-02, 8.66282880e-02, 1.65610790e-01
9.00030043e-03, -3.25302891e-02, 1.82203986e-02, 2.09508419e-01, -8.97930712e-02, 8.88825580e-02, 1.67125314e-01
9.17354878e-03, -3.27033736e-02, 1.79057103e-02, 1.92352042e-01, -8.44640434e-02, 8.53539333e-02, 1.50265902e-01
9.35250707e-03, -3.28831635e-02, 1.75947081e-02, 2.15665668e-01, -9.75922644e-02, 9.75820869e-02, 1.65726185e-01
9.60002840e-03, -3.31361108e-02, 1.71888471e-02, 2.10982323e-01, -9.80670303e-02, 1.02577046e-01, 1.56122863e-01
9.86253284e-03, -3.34147327e-02, 1.67964604e-02, 2.31602937e-01, -1.13824919e-01, 1.22706443e-01, 1.60084143e-01
1.01173297e-02, -3.36903594e-02, 1.64611042e-02, 2.23132595e-01, -1.15948856e-01, 1.26190037e-01, 1.42898887e-01
1.03402426e-02, -3.39350030e-02, 1.61985755e-02, 2.24021271e-01, -1.19754553e-01, 1.32705361e-01, 1.35032073e-01
1.05796466e-02, -3.42023633e-02, 1.59432888e-02, 2.16698304e-01, -1.19359374e-01, 1.34630263e-01, 1.20773293e-01
1.08625712e-02, -3.45203429e-02, 1.56831555e-02, 2.08309963e-01, -1.21139213e-01, 1.35996029e-01, 1.01110898e-01
1.11342911e-02, -3.48253064e-02, 1.54766338e-02, 2.02409089e-01, -1.21961810e-01, 1.37794912e-01, 8.43049139e-02
1.13786757e-02, -3.51042114e-02, 1.53240021e-02, 2.04431266e-01, -1.25384539e-01, 1.45291895e-01, 7.04352558e-02
1.16728907e-02, -3.54482755e-02, 1.51750315e-02, 1.83413118e-01, -1.13558836e-01, 1.34609655e-01, 5.12347519e-02
1.19949533e-02, -3.58273797e-02, 1.50566213e-02, 1.78558528e-01, -1.13671936e-01, 1.33868158e-01, 3.22669856e-02
1.22803254e-02, -3.61685343e-02, 1.49908531e-02, 1.72562942e-01, -1.08613864e-01, 1.32744029e-01, 1.89741738e-02
1.25922626e-02, -3.65552455e-02, 1.49560440e-02, 1.65906817e-01, -1.02921978e-01, 1.30032808e-01, 4.85873781e-03
1.29146697e-02, -3.69667448e-02, 1.49587197e-02, 1.68017015e-01, -1.02641590e-01, 1.32849917e-01, -6.73200982e-03
1.32204378e-02, -3.73654664e-02, 1.49923973e-02, 1.69042230e-01, -1.01880088e-01, 1.33954823e-01, -1.58690326e-02
1.35344798e-02, -3.77762467e-02, 1.50538338e-02, 1.73334926e-01, -1.04545787e-01, 1.36037573e-01, -2.46769972e-02
1.38466889e-02, -3.81765999e-02, 1.51381632e-02, 1.73803985e-01, -1.06017262e-01, 1.33883029e-01, -3.23032960e-02
1.41755827e-02, -3.85844111e-02, 1.52456257e-02, 1.85625836e-01, -1.14994869e-01, 1.40028954e-01, -4.03115340e-02
1.45002063e-02, -3.89737077e-02, 1.53659517e-02, 1.90209851e-01, -1.19168222e-01, 1.40727103e-01, -4.66326550e-02
1.48376347e-02, -3.93628776e-02, 1.55052403e-02, 2.02189058e-01, -1.28684923e-01, 1.45398185e-01, -5.63912578e-02
1.51849426e-02, -3.97482589e-02, 1.56696681e-02, 2.16709450e-01, -1.38155356e-01, 1.51140392e-01, -7.09412619e-02
1.53592741e-02, -3.99399698e-02, 1.57657024e-02, 2.16395319e-01, -1.34920150e-01, 1.49086073e-01, -7.99801648e-02
1.55582288e-02, -4.01608311e-02, 1.58948358e-02, 2.15739906e-01, -1.29837692e-01, 1.45042449e-01, -9.29976702e-02
1.58238467e-02, -4.04653177e-02, 1.61279384e-02, 2.04867065e-01, -1.07218690e-01, 1.28256127e-01, -1.18427321e-01
1.59739088e-02, -4.06579114e-02, 1.63362063e-02, 1.92539215e-01, -7.68330991e-02, 1.09168142e-01, -1.38745606e-01
