
[Name]
graft_2_wall

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
-2.68872529e-02, -2.74986066e-02, 3.25656943e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.12639868e+00, 1.12216341e+00, -1.08010676e-02, 9.69872400e-02
-2.66214311e-02, -2.73273755e-02, 3.25834528e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.16200995e+00, 1.15938640e+00, -4.37484793e-02, 6.46256059e-02
-2.66180225e-02, -2.76294854e-02, 3.25974748e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.13698268e+00, 1.13485754e+00, -7.51656573e-03, 6.90747872e-02
-2.69569848e-02, -2.72690356e-02, 3.25626731e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.14661336e+00, 1.14209175e+00, -3.46192122e-02, 9.56554413e-02
-2.80309916e-02, -2.82615274e-02, 3.28008682e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00668001e+00, 1.00226104e+00, 7.10866600e-02, 6.18395545e-02
-2.82340422e-02, -2.84155309e-02, 3.30010988e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.02653956e+00, 1.02379739e+00, 6.93877637e-02, 2.84182820e-02
-2.83533912e-02, -2.82570515e-02, 3.27443108e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.77653265e-01, 9.72164273e-01, 8.91272873e-02, 5.25255725e-02
-2.81644650e-02, -2.80868504e-02, 3.26262787e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.74274635e-01, 9.67172265e-01, 8.09523761e-02, 8.50624964e-02
-2.86607891e-02, -2.82372423e-02, 3.26788574e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.64194357e-01, 9.57758844e-01, 8.58847126e-02, 7.06578046e-02
-2.84682792e-02, -2.80372631e-02, 3.25497612e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.69942749e-01, 9.62824523e-01, 7.66319633e-02, 8.88004676e-02
-1.84356701e-02, -2.86381822e-02, 3.22039910e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.21337247e+00, 1.18176043e+00, -1.37204126e-01, -2.38516748e-01
-1.85555108e-02, -2.87635308e-02, 3.23826782e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.23803437e+00, 1.20944023e+00, -1.28360495e-01, -2.31315702e-01
