
[Name]
g3_wall

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
-3.94723304e-02, 1.94674749e-02, 1.77162606e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.10828602e-01, -1.99322298e-01, 5.75235248e-01, -3.66949975e-01
-3.92244272e-02, 1.95870660e-02, 1.78608969e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.66354525e+00, -6.09969258e-01, 1.29688394e+00, -8.44637215e-01
-3.93125825e-02, 1.92865487e-02, 1.78915411e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.07407224e+00, -4.75140512e-01, 7.71173716e-01, -5.77203393e-01
-3.95849384e-02, 1.92067865e-02, 1.78274233e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.98840183e-01, -1.90756828e-01, 3.55174929e-01, -2.93775648e-01
-4.37122993e-02, 3.73776257e-02, 1.05642295e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.51504540e+00, 4.16108757e-01, 1.32835817e+00, -5.98064125e-01
-4.34383079e-02, 3.75033282e-02, 1.06741469e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.64042282e+00, 5.16988814e-01, 1.41466939e+00, -6.49938285e-01
-4.35994007e-02, 3.76531854e-02, 1.04625123e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.50071204e+00, 4.63954151e-01, 1.29696667e+00, -5.95617712e-01
-4.39391732e-02, 3.72255296e-02, 1.04013793e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.40401256e+00, 3.08595419e-01, 1.24265599e+00, -5.76043546e-01
-4.38263193e-02, 3.71025056e-02, 1.06579186e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.55728459e+00, 3.88990015e-01, 1.36581266e+00, -6.39044464e-01
-3.74070182e-02, 1.63191520e-02, 2.10779905e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.76737070e+00, -7.10422158e-01, 5.49264574e+00, -1.60894656e+00
-3.73697914e-02, 1.58995483e-02, 2.09791344e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.52020741e+00, -4.01836127e-01, 6.13217688e+00, -2.17900038e+00
-3.74362953e-02, 1.62155498e-02, 2.07430590e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.61550617e+00, -4.68770921e-01, 6.25046492e+00, -2.11586118e+00
-3.76267694e-02, 1.60872247e-02, 2.04522796e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.75102186e+00, -4.91173059e-01, 7.18846226e+00, -2.85711408e+00
-3.75134684e-02, 1.59129221e-02, 2.06796620e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.49620724e+00, -2.81124175e-01, 6.97992563e+00, -2.71932554e+00
-3.90688442e-02, 1.93650890e-02, 1.80513058e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.14531207e+00, -9.24162328e-01, 1.53628016e+00, -1.17818975e+00
-3.91838923e-02, 1.91160999e-02, 1.80392396e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.29964209e+00, -6.22471809e-01, 8.77845168e-01, -7.28688121e-01
-3.94185409e-02, 1.90315880e-02, 1.79875325e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.70571232e-01, -4.11883265e-01, 4.95129615e-01, -4.23058838e-01
-3.98970917e-02, 1.79793146e-02, 2.00366676e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.32667398e+00, -5.55598795e-01, 9.89369154e-01, -6.87402725e-01
-4.00197133e-02, 1.82608068e-02, 2.01451443e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.68994391e-01, -3.56171966e-01, 5.11304498e-01, -4.50623631e-01
-4.00071964e-02, 1.81791577e-02, 1.98714063e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.95608866e-01, -3.10315400e-01, 6.68114543e-01, -6.69749498e-01
-4.01604623e-02, 1.84506662e-02, 1.98616795e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.36679214e-01, -7.77797922e-02, 1.76399305e-01, -3.91819239e-01
-4.01318334e-02, 1.85594019e-02, 2.02386715e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.93474555e-01, -1.48512438e-01, 1.51831552e-01, -2.02530369e-01
-3.87937911e-02, 1.84707511e-02, 1.85036939e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.14188671e+00, -1.53753161e+00, 2.21513605e+00, -1.61264431e+00
-3.85595374e-02, 1.86316837e-02, 1.86804216e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.97360253e+00, -1.68688226e+00, 2.85082078e+00, -2.19471335e+00
-3.86015549e-02, 1.82785243e-02, 1.86996944e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.90632963e+00, -1.68258786e+00, 2.87652898e+00, -2.03810978e+00
-3.83939072e-02, 1.84331778e-02, 1.88960582e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.52424717e+00, -1.69351017e+00, 3.40772724e+00, -2.44708586e+00
6.83869943e-02, 6.68322742e-02, 3.39719355e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.17864752e+00, 1.82319570e+00, 1.27328381e-01, 1.18585420e+00
6.82174936e-02, 6.67736083e-02, 3.36842239e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.17412806e+00, 1.84778762e+00, 1.79893449e-01, 1.13143778e+00
6.80670738e-02, 6.68216869e-02, 3.39257456e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.21854925e+00, 1.88084924e+00, 1.41019762e-01, 1.16810954e+00
-3.90887521e-02, 1.60757732e-02, 2.11889576e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.36234188e+00, -2.41308868e-01, 8.53282642e+00, -3.84526920e+00
-3.92569713e-02, 1.62444003e-02, 2.09694095e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.96022892e+00, -1.71617344e-01, 8.34906578e+00, -3.24797559e+00
-3.93145233e-02, 1.59326866e-02, 2.10223533e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.71509361e+00, 9.84811068e-01, 8.90386295e+00, -3.75957656e+00
-4.38320450e-02, 3.75073068e-02, 1.03255501e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.36295652e+00, 3.62000436e-01, 1.20116436e+00, -5.32738566e-01
-4.39189672e-02, 3.75916623e-02, 1.00569604e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.34063983e+00, 3.49863231e-01, 1.16301179e+00, -5.67727506e-01
-4.37292233e-02, 3.77746299e-02, 1.02226445e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.44254923e+00, 4.15211231e-01, 1.24072278e+00, -6.07581198e-01
-4.39820848e-02, 3.73510644e-02, 1.01672672e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.29786325e+00, 2.82630146e-01, 1.14714134e+00, -5.37248611e-01
-4.30499502e-02, 3.52722779e-02, 1.21982927e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.73453557e+00, 4.64271009e-01, 1.48451245e+00, -7.67651439e-01
-4.31630388e-02, 3.49896923e-02, 1.23344380e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.79941082e+00, 4.23251718e-01, 1.55117774e+00, -8.07827115e-01
-4.27800789e-02, 3.50476056e-02, 1.23412041e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.53869975e+00, 3.39511275e-01, 1.31444061e+00, -7.24275410e-01
-4.27663550e-02, 3.53399664e-02, 1.21841645e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.51681256e+00, 3.73964787e-01, 1.29205239e+00, -7.01050103e-01
