
[Name]
g1_wall

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
-5.45827970e-02, 4.98619117e-02, -1.70373786e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.88922977e-01, 4.97952998e-01, 1.44846691e-02, 3.14107090e-01
-5.47376908e-02, 4.98216338e-02, -1.73215549e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.36914945e-01, 4.59354162e-01, -6.29218295e-03, 2.77906120e-01
-5.44312187e-02, 4.98152710e-02, -1.72983855e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.48311591e-01, 4.70179141e-01, 4.75197006e-03, 2.82054216e-01
-5.42862751e-02, 5.11698090e-02, -1.52886901e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.54212272e-01, 4.74621683e-01, 2.21796259e-02, 2.85295606e-01
-5.41915521e-02, 5.08645400e-02, -1.53663848e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.84256589e-01, 4.95036572e-01, 3.05780526e-02, 3.08803380e-01
-5.40193692e-02, 5.10499068e-02, -1.51739465e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.64951837e-01, 4.83063698e-01, 2.18420178e-02, 2.92135209e-01
5.96469902e-02, 4.68265042e-02, 6.80213496e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.17401928e-01, 9.16539654e-02, -2.42906101e-02, 6.92295358e-02
5.94728291e-02, 4.66744564e-02, 6.78065121e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.18446551e-01, 9.18785110e-02, -2.40723342e-02, 7.07703829e-02
5.94066270e-02, 4.69782129e-02, 6.78964034e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.16972111e-01, 9.06101614e-02, -2.39634383e-02, 6.99859038e-02
-5.45524918e-02, 5.13056219e-02, -1.54126221e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.51037908e-01, 4.73538101e-01, 1.88284647e-02, 2.81158209e-01
-5.44723980e-02, 5.09805009e-02, -1.54704414e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.74073851e-01, 4.88588214e-01, 2.68483814e-02, 3.00202519e-01
-5.43572903e-02, 5.06888814e-02, -1.55812269e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.00760162e-01, 5.05320251e-01, 3.56878452e-02, 3.22940499e-01
5.18781915e-02, 5.42843081e-02, 6.02071248e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.51835662e-01, 4.03552681e-01, 1.85573712e-01, 8.28439295e-02
5.17296195e-02, 5.43210022e-02, 6.05560392e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.49251533e-01, 3.99388641e-01, 1.83811754e-01, 9.23520625e-02
5.20799309e-02, 5.44483326e-02, 6.04686029e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.43671852e-01, 3.97386283e-01, 1.77223474e-01, 8.67218748e-02
5.38339280e-02, 4.87450100e-02, 6.55284673e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.45147979e-01, 1.22916490e-01, -1.46344453e-02, 7.57978112e-02
5.40725961e-02, 4.87019829e-02, 6.57929853e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.52985856e-01, 1.30317152e-01, -1.71904173e-02, 7.82726109e-02
5.41349500e-02, 4.87079769e-02, 6.53923750e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.55650049e-01, 1.31327569e-01, -1.98690295e-02, 8.11494291e-02
5.44489361e-02, 4.86560650e-02, 6.59525320e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.67947814e-01, 1.47816211e-01, -1.85140967e-02, 7.75503963e-02
5.45491241e-02, 4.86351922e-02, 6.55408055e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.98057801e-01, 1.66252106e-01, -2.44277287e-02, 1.04835175e-01
5.31325452e-02, 4.87206131e-02, 6.55775219e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.32327393e-01, 1.11969337e-01, -9.54147428e-03, 6.98739439e-02
5.29640540e-02, 4.87952270e-02, 6.52405620e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.37555853e-01, 1.16566651e-01, -6.38224371e-03, 7.27536604e-02
5.27499542e-02, 4.86312211e-02, 6.56033084e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.30619779e-01, 1.11223631e-01, -6.77822903e-03, 6.81534111e-02
5.27417026e-02, 4.84235473e-02, 6.58459738e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.29115909e-01, 1.10008180e-01, -6.09556399e-03, 6.73198327e-02
5.29994369e-02, 4.85537685e-02, 6.58478886e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.28646910e-01, 1.09248549e-01, -8.09825864e-03, 6.74477741e-02
