
[Name]
Streamline 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
5.46517558e-02, 1.03504155e-02, -3.79361473e-02, 4.76589084e-01, 4.25847054e-01, -1.97945908e-01, 8.12948346e-02
5.46517558e-02, 1.03504155e-02, -3.79361473e-02, 4.76589084e-01, 4.25847054e-01, -1.97945908e-01, 8.12948346e-02
5.46665564e-02, 1.03071723e-02, -3.75845209e-02, 4.70807254e-01, 4.14607882e-01, -1.93069905e-01, 1.11730948e-01
5.46665564e-02, 1.03071723e-02, -3.75845209e-02, 4.70807254e-01, 4.14607882e-01, -1.93069905e-01, 1.11730948e-01
5.47594279e-02, 1.05911028e-02, -3.72177064e-02, 2.62177378e-01, 2.27145955e-01, -1.07773252e-01, 7.43411779e-02
5.47594279e-02, 1.05911028e-02, -3.72177064e-02, 2.62177378e-01, 2.27145955e-01, -1.07773252e-01, 7.43411779e-02
1.97216943e-02, -1.05170198e-02, -4.89786081e-02, 2.72272658e-02, -8.19388777e-03, -2.00113505e-02, 1.65447891e-02
1.97216943e-02, -1.05170198e-02, -4.89786081e-02, 2.72272658e-02, -8.19388777e-03, -2.00113505e-02, 1.65447891e-02
2.02946700e-02, -9.70747415e-03, -4.93092313e-02, 6.64283782e-02, 5.78165241e-02, -3.13974619e-02, -9.17487033e-03
2.02946700e-02, -9.70747415e-03, -4.93092313e-02, 6.64283782e-02, 5.78165241e-02, -3.13974619e-02, -9.17487033e-03
1.95831917e-02, -9.96570103e-03, -4.99452427e-02, 6.61234036e-02, 5.06344438e-03, -4.22534943e-02, -5.06093651e-02
1.95831917e-02, -9.96570103e-03, -4.99452427e-02, 6.61234036e-02, 5.06344438e-03, -4.22534943e-02, -5.06093651e-02
1.95460916e-02, -1.04267327e-02, -4.93513681e-02, 5.92801943e-02, 1.78600550e-02, -5.23510240e-02, -2.13197190e-02
1.95460916e-02, -1.04267327e-02, -4.93513681e-02, 5.92801943e-02, 1.78600550e-02, -5.23510240e-02, -2.13197190e-02
1.98904835e-02, -1.00770611e-02, -4.93582785e-02, 3.41019966e-02, -2.43771309e-03, -3.04481126e-02, 1.51629886e-02
1.98904835e-02, -1.00770611e-02, -4.93582785e-02, 3.41019966e-02, -2.43771309e-03, -3.04481126e-02, 1.51629886e-02
5.57090677e-02, 5.11552580e-03, 2.97993403e-02, 4.15950567e-02, 1.83704384e-02, -3.73013727e-02, 1.13287289e-03
5.57090677e-02, 5.11552580e-03, 2.97993403e-02, 4.15950567e-02, 1.83704384e-02, -3.73013727e-02, 1.13287289e-03
5.56495264e-02, 4.99806926e-03, 3.01943477e-02, 2.77261473e-02, 1.74437240e-02, 1.02810860e-02, 1.89408287e-02
5.56495264e-02, 4.99806926e-03, 3.01943477e-02, 2.77261473e-02, 1.74437240e-02, 1.02810860e-02, 1.89408287e-02
5.52283116e-02, 4.85641602e-03, 2.98369434e-02, 1.23982206e-01, 3.85436490e-02, -1.17456526e-01, -9.48366523e-03
5.52283116e-02, 4.85641602e-03, 2.98369434e-02, 1.23982206e-01, 3.85436490e-02, -1.17456526e-01, -9.48366523e-03
5.48761934e-02, 4.79055149e-03, 3.00859548e-02, 2.34816801e-02, 7.73302163e-04, 2.18222267e-04, 2.34679282e-02
5.48761934e-02, 4.79055149e-03, 3.00859548e-02, 2.34816801e-02, 7.73302163e-04, 2.18222267e-04, 2.34679282e-02
5.55336811e-02, 5.27248299e-03, 3.08459401e-02, 5.00313379e-02, 4.23186645e-02, 3.71484552e-03, 2.64284946e-02
5.55336811e-02, 5.27248299e-03, 3.08459401e-02, 5.00313379e-02, 4.23186645e-02, 3.71484552e-03, 2.64284946e-02
2.20809001e-02, 2.80464645e-02, -1.25079025e-02, 3.82264256e-01, 3.52431953e-01, 6.18491601e-03, -1.47916973e-01
2.20809001e-02, 2.80464645e-02, -1.25079025e-02, 3.82264256e-01, 3.52431953e-01, 6.18491601e-03, -1.47916973e-01
2.21373457e-02, 2.76306700e-02, -1.22153005e-02, 3.89540046e-01, 3.67641479e-01, 7.92322494e-03, -1.28523976e-01
2.21373457e-02, 2.76306700e-02, -1.22153005e-02, 3.89540046e-01, 3.67641479e-01, 7.92322494e-03, -1.28523976e-01
1.18531091e-02, 1.11587103e-02, -3.24372426e-02, 7.31025100e-01, 5.09657443e-01, 2.11586028e-01, -4.79456306e-01
1.18531091e-02, 1.11587103e-02, -3.24372426e-02, 7.31025100e-01, 5.09657443e-01, 2.11586028e-01, -4.79456306e-01
1.22342994e-02, 1.12024779e-02, -3.19998302e-02, 7.22916663e-01, 4.50807244e-01, 2.22174391e-01, -5.19634366e-01
1.22342994e-02, 1.12024779e-02, -3.19998302e-02, 7.22916663e-01, 4.50807244e-01, 2.22174391e-01, -5.19634366e-01
1.23073524e-02, 1.17892036e-02, -3.18157189e-02, 7.16010571e-01, 5.05087614e-01, 1.10048771e-01, -4.95425969e-01
1.23073524e-02, 1.17892036e-02, -3.18157189e-02, 7.16010571e-01, 5.05087614e-01, 1.10048771e-01, -4.95425969e-01
6.88865362e-03, 1.83501635e-02, -5.96776837e-03, 3.98902670e-02, 3.03863492e-02, 2.19900860e-03, 2.57500969e-02
6.88865362e-03, 1.83501635e-02, -5.96776837e-03, 3.98902670e-02, 3.03863492e-02, 2.19900860e-03, 2.57500969e-02
6.05438557e-03, 1.81062371e-02, -6.01972733e-03, 5.83064854e-01, 3.31233382e-01, -4.73181039e-01, 7.96794072e-02
6.05438557e-03, 1.81062371e-02, -6.01972733e-03, 5.83064854e-01, 3.31233382e-01, -4.73181039e-01, 7.96794072e-02
6.68559596e-03, 1.78368073e-02, -6.17012940e-03, 1.55026615e-01, 1.39079466e-01, -6.36296123e-02, -2.53263563e-02
6.68559596e-03, 1.78368073e-02, -6.17012940e-03, 1.55026615e-01, 1.39079466e-01, -6.36296123e-02, -2.53263563e-02
3.72808203e-02, 2.48853508e-02, 2.89332611e-03, 7.26017833e-01, 5.52274346e-01, -2.39049658e-01, 4.06140655e-01
3.72808203e-02, 2.48853508e-02, 2.89332611e-03, 7.26017833e-01, 5.52274346e-01, -2.39049658e-01, 4.06140655e-01
5.46193235e-02, 1.03655234e-02, -3.79422978e-02, 4.80568051e-01, 4.29246306e-01, -2.00380072e-01, 8.08769539e-02
5.45529537e-02, 1.03967367e-02, -3.79544646e-02, 5.00125349e-01, 4.46233988e-01, -2.11349189e-01, 7.95745850e-02
5.44116497e-02, 1.04643684e-02, -3.79783958e-02, 5.48356950e-01, 4.88699019e-01, -2.35960409e-01, 7.86847994e-02
5.42028509e-02, 1.05646830e-02, -3.80110033e-02, 6.19834125e-01, 5.54286718e-01, -2.64542669e-01, 8.35330859e-02
5.39370216e-02, 1.06853712e-02, -3.80520113e-02, 6.39177084e-01, 5.81205487e-01, -2.49666646e-01, 9.17285308e-02
5.37018999e-02, 1.07855899e-02, -3.80903669e-02, 5.79486787e-01, 5.27956724e-01, -2.21628591e-01, 8.91483501e-02
5.34982532e-02, 1.08750025e-02, -3.81247811e-02, 4.96548474e-01, 4.45856452e-01, -2.04982802e-01, 7.58582354e-02
5.32617085e-02, 1.09921135e-02, -3.81655209e-02, 4.15864229e-01, 3.62386525e-01, -1.93841234e-01, 6.35974258e-02
5.30380495e-02, 1.11180590e-02, -3.82047221e-02, 3.63097876e-01, 3.08635384e-01, -1.83464408e-01, 5.40840179e-02
5.28068170e-02, 1.12587819e-02, -3.82448398e-02, 3.21695000e-01, 2.69997537e-01, -1.68694615e-01, 4.61642146e-02
5.25718071e-02, 1.14070699e-02, -3.82845104e-02, 2.91297108e-01, 2.43214324e-01, -1.55125111e-01, 4.04598415e-02
5.23370840e-02, 1.15568694e-02, -3.83242629e-02, 2.66541868e-01, 2.22284779e-01, -1.42020002e-01, 3.82670127e-02
5.20958528e-02, 1.17098242e-02, -3.83666344e-02, 2.56477565e-01, 2.14606345e-01, -1.35077000e-01, 3.84585932e-02
5.18499278e-02, 1.18603464e-02, -3.84122133e-02, 2.51699418e-01, 2.13382110e-01, -1.27064869e-01, 4.09291945e-02
5.15922606e-02, 1.20056160e-02, -3.84624563e-02, 2.60916829e-01, 2.26734519e-01, -1.20997272e-01, 4.50412370e-02
