
[Name]
Streamline 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
2.37807445e-02, -5.83879426e-02, -2.30799764e-02, 3.65493804e-01, 2.79861003e-01, 2.14306667e-01, -9.66239944e-02
2.37807445e-02, -5.83879426e-02, -2.30799764e-02, 3.65493804e-01, 2.79861003e-01, 2.14306667e-01, -9.66239944e-02
2.39394587e-02, -5.86560033e-02, -2.32108124e-02, 3.83090943e-01, 2.29743913e-01, 2.25810200e-01, -2.07331002e-01
2.39394587e-02, -5.86560033e-02, -2.32108124e-02, 3.83090943e-01, 2.29743913e-01, 2.25810200e-01, -2.07331002e-01
2.41708700e-02, -5.90503812e-02, -2.34090257e-02, 4.11901742e-01, 3.02986145e-01, 1.70672193e-01, -2.20756501e-01
2.41708700e-02, -5.90503812e-02, -2.34090257e-02, 4.11901742e-01, 3.02986145e-01, 1.70672193e-01, -2.20756501e-01
2.45802719e-02, -5.95148504e-02, -2.32680105e-02, 3.93572718e-01, 3.02921653e-01, 1.52825266e-01, -1.99455276e-01
2.45802719e-02, -5.95148504e-02, -2.32680105e-02, 3.93572718e-01, 3.02921653e-01, 1.52825266e-01, -1.99455276e-01
2.41434406e-02, -5.84963672e-02, -2.23161876e-02, 3.80484849e-01, 2.84133226e-01, 2.15552658e-01, -1.32567227e-01
2.41434406e-02, -5.84963672e-02, -2.23161876e-02, 3.80484849e-01, 2.84133226e-01, 2.15552658e-01, -1.32567227e-01
2.38206256e-02, -5.83097786e-02, -2.28060856e-02, 4.51335818e-01, 3.37616533e-01, 2.47232184e-01, -1.69101626e-01
2.38206256e-02, -5.83097786e-02, -2.28060856e-02, 4.51335818e-01, 3.37616533e-01, 2.47232184e-01, -1.69101626e-01
2.40538698e-02, -5.87578937e-02, -2.31125616e-02, 2.43086144e-01, 1.41388714e-01, 1.23871371e-01, -1.54129773e-01
2.40538698e-02, -5.87578937e-02, -2.31125616e-02, 2.43086144e-01, 1.41388714e-01, 1.23871371e-01, -1.54129773e-01
2.40062866e-02, -5.85562624e-02, -2.28177067e-02, 3.76491517e-01, 2.00823143e-01, 2.82565176e-01, -1.46877006e-01
2.40062866e-02, -5.85562624e-02, -2.28177067e-02, 3.76491517e-01, 2.00823143e-01, 2.82565176e-01, -1.46877006e-01
2.42478754e-02, -5.90631515e-02, -2.32252553e-02, 2.91327327e-01, 2.03770816e-01, 4.16529924e-02, -2.03995347e-01
2.42478754e-02, -5.90631515e-02, -2.32252553e-02, 2.91327327e-01, 2.03770816e-01, 4.16529924e-02, -2.03995347e-01
2.44439617e-02, -5.93057759e-02, -2.32002214e-02, 2.96285391e-01, 1.35182008e-01, 1.54126406e-01, -2.13906318e-01
2.44439617e-02, -5.93057759e-02, -2.32002214e-02, 2.96285391e-01, 1.35182008e-01, 1.54126406e-01, -2.13906318e-01
2.46770047e-02, -5.95631450e-02, -2.31051501e-02, 2.99881756e-01, 2.59023368e-01, 7.31051117e-02, -1.32255808e-01
2.46770047e-02, -5.95631450e-02, -2.31051501e-02, 2.99881756e-01, 2.59023368e-01, 7.31051117e-02, -1.32255808e-01
2.48802286e-02, -5.96624576e-02, -2.27584764e-02, 3.97615969e-01, 3.09504628e-01, 1.70713797e-01, -1.82104781e-01
2.48802286e-02, -5.96624576e-02, -2.27584764e-02, 3.97615969e-01, 3.09504628e-01, 1.70713797e-01, -1.82104781e-01
2.48832516e-02, -5.94650917e-02, -2.23341398e-02, 3.58714581e-01, 3.24725688e-01, 1.52266189e-01, -6.66145142e-03
2.48832516e-02, -5.94650917e-02, -2.23341398e-02, 3.58714581e-01, 3.24725688e-01, 1.52266189e-01, -6.66145142e-03
2.45016366e-02, -5.88926896e-02, -2.21716091e-02, 4.15444106e-01, 3.58651131e-01, 2.07144350e-01, -3.24713774e-02
2.45016366e-02, -5.88926896e-02, -2.21716091e-02, 4.15444106e-01, 3.58651131e-01, 2.07144350e-01, -3.24713774e-02
2.41991431e-02, -5.85991293e-02, -2.23804042e-02, 2.91733354e-01, 1.99491754e-01, 2.12558657e-01, 1.14109684e-02
2.41991431e-02, -5.85991293e-02, -2.23804042e-02, 2.91733354e-01, 1.99491754e-01, 2.12558657e-01, 1.14109684e-02
2.41100043e-02, -5.85845895e-02, -2.25936435e-02, 1.07839182e-01, 3.73817384e-02, 8.82924199e-02, -4.93593290e-02
2.41100043e-02, -5.85845895e-02, -2.25936435e-02, 1.07839182e-01, 3.73817384e-02, 8.82924199e-02, -4.93593290e-02
2.42153350e-02, -5.88569567e-02, -2.28796266e-02, 2.65657544e-01, 2.08972424e-01, 5.05301952e-02, -1.56048566e-01
2.42153350e-02, -5.88569567e-02, -2.28796266e-02, 2.65657544e-01, 2.08972424e-01, 5.05301952e-02, -1.56048566e-01
2.43911166e-02, -5.91197833e-02, -2.29527205e-02, 3.44097763e-01, 2.85670072e-01, 1.44743949e-01, -1.25877231e-01
2.43911166e-02, -5.91197833e-02, -2.29527205e-02, 3.44097763e-01, 2.85670072e-01, 1.44743949e-01, -1.25877231e-01
2.45850608e-02, -5.93251958e-02, -2.28551067e-02, 3.01115334e-01, 2.43802235e-01, 1.44148231e-01, -1.02236032e-01
2.45850608e-02, -5.93251958e-02, -2.28551067e-02, 3.01115334e-01, 2.43802235e-01, 1.44148231e-01, -1.02236032e-01
2.47937702e-02, -5.94992638e-02, -2.26510055e-02, 1.95682123e-01, 1.62971511e-01, -1.78616960e-02, -1.06830426e-01
2.47937702e-02, -5.94992638e-02, -2.26510055e-02, 1.95682123e-01, 1.62971511e-01, -1.78616960e-02, -1.06830426e-01
2.47607529e-02, -5.92918098e-02, -2.23040190e-02, 4.20918524e-01, 3.49932432e-01, 2.33792186e-01, 7.80472159e-03
2.47607529e-02, -5.92918098e-02, -2.23040190e-02, 4.20918524e-01, 3.49932432e-01, 2.33792186e-01, 7.80472159e-03
2.43923645e-02, -5.88739067e-02, -2.24309862e-02, 1.04851954e-01, 9.57078412e-02, -4.27030399e-02, -3.22355516e-03
2.43923645e-02, -5.88739067e-02, -2.24309862e-02, 1.04851954e-01, 9.57078412e-02, -4.27030399e-02, -3.22355516e-03
2.45899539e-02, -5.91024570e-02, -2.23721694e-02, 3.57381850e-01, 3.20307255e-01, 1.45585448e-01, -6.26891330e-02
2.45899539e-02, -5.91024570e-02, -2.23721694e-02, 3.57381850e-01, 3.20307255e-01, 1.45585448e-01, -6.26891330e-02
2.44675986e-02, -5.90662844e-02, -2.26306841e-02, 2.66768754e-01, 2.15061337e-01, 1.52684152e-01, -4.00216877e-02
2.44675986e-02, -5.90662844e-02, -2.26306841e-02, 2.66768754e-01, 2.15061337e-01, 1.52684152e-01, -4.00216877e-02
2.37117894e-02, -5.84396906e-02, -2.30565872e-02, 3.20381373e-01, 2.49203801e-01, 1.83669060e-01, -8.25067535e-02
2.36016139e-02, -5.85139319e-02, -2.30202861e-02, 2.78814584e-01, 2.29473755e-01, 1.39975399e-01, -7.40692541e-02
2.35012602e-02, -5.85721470e-02, -2.29879189e-02, 2.44304240e-01, 2.06206277e-01, 1.13001548e-01, -6.62886351e-02
2.33248733e-02, -5.86672202e-02, -2.29303576e-02, 2.08501622e-01, 1.77147076e-01, 9.31910276e-02, -5.83718345e-02
2.31706239e-02, -5.87507300e-02, -2.28778664e-02, 1.90007731e-01, 1.58575937e-01, 8.85187611e-02, -5.58662266e-02
2.29311809e-02, -5.88936955e-02, -2.27894709e-02, 1.67354837e-01, 1.33858994e-01, 8.58112276e-02, -5.22096157e-02
2.27048080e-02, -5.90521991e-02, -2.26964485e-02, 1.52788028e-01, 1.14724450e-01, 8.76838788e-02, -4.99401689e-02
2.25081388e-02, -5.92125915e-02, -2.26076525e-02, 1.52008519e-01, 1.08091101e-01, 9.40918401e-02, -5.06915040e-02
2.23075096e-02, -5.93959652e-02, -2.25112289e-02, 1.46781430e-01, 9.98035669e-02, 9.57359746e-02, -4.91798893e-02
2.21092049e-02, -5.95912859e-02, -2.24105977e-02, 1.45633355e-01, 9.61225033e-02, 9.72097516e-02, -5.01976237e-02
2.18565892e-02, -5.98483235e-02, -2.22730730e-02, 1.55207247e-01, 1.00857086e-01, 1.03152931e-01, -5.72416671e-02
2.16658693e-02, -6.00422546e-02, -2.21589915e-02, 1.60513178e-01, 1.03299804e-01, 1.04319677e-01, -6.48925155e-02
2.14708392e-02, -6.02373742e-02, -2.20335443e-02, 1.71962991e-01, 1.10726535e-01, 1.09651968e-01, -7.27141872e-02
2.12647617e-02, -6.04393743e-02, -2.19003558e-02, 1.83885306e-01, 1.19980529e-01, 1.16540208e-01, -7.63993114e-02
2.11008713e-02, -6.05962314e-02, -2.18003429e-02, 1.91168651e-01, 1.28006473e-01, 1.20668508e-01, -7.48258755e-02
2.09293030e-02, -6.07583374e-02, -2.17050724e-02, 1.91768914e-01, 1.30051732e-01, 1.23153344e-01, -6.85209185e-02
2.07175948e-02, -6.09598309e-02, -2.15975363e-02, 1.91372320e-01, 1.30410284e-01, 1.24704748e-01, -6.37593195e-02
