
[Name]
rca

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
1.72746219e-02, -1.72634292e-02, 4.18494754e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.88171768e+00, 1.61597598e+00, 5.87165499e+00, 7.78207111e+00
1.72293670e-02, -1.72581822e-02, 4.19757701e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.15399065e+01, 1.55919445e+00, 6.69163370e+00, 9.27148247e+00
1.73269864e-02, -1.71679240e-02, 4.19149362e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.87325668e+00, 1.30189884e+00, 5.56759691e+00, 8.04910660e+00
1.73639283e-02, -1.71926860e-02, 4.17752117e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.43009758e+00, 9.15649235e-01, 3.59666896e+00, 5.25087738e+00
1.71868876e-02, -1.73714664e-02, 4.18609530e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00993471e+01, 9.51140404e-01, 6.37419224e+00, 7.77571964e+00
1.74176972e-02, -1.70871038e-02, 4.18600515e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.45371485e+00, 1.63512424e-01, 1.78353441e+00, 5.15123987e+00
1.72800925e-02, -1.73224844e-02, 4.17138487e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.74123192e+00, 1.25789201e+00, 5.73707247e+00, 6.47401237e+00
1.71326492e-02, -1.73452795e-02, 4.20347862e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.44631100e+00, 8.42812181e-01, 5.69548559e+00, 7.48891830e+00
1.74592119e-02, -1.70888752e-02, 4.16853726e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.74082184e+00, 6.43046498e-01, 8.10532749e-01, 2.53803706e+00
1.73853245e-02, -1.72568355e-02, 4.15652990e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.14695883e+00, 1.32840919e+00, 3.40916991e+00, 3.61995506e+00
1.70960613e-02, -1.74502824e-02, 4.19563800e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.00081444e+00, 4.72203612e-01, 5.29080534e+00, 5.98309612e+00
1.72121786e-02, -1.74451284e-02, 4.17143404e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.14546680e+01, 1.19955301e+00, 7.74111176e+00, 8.35737324e+00
